,Реестровый номер закупки,Наименование закупки,Классификация по ОКПД2,Дата размещения
14,№0318200004924000001,Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»,62.02.30.000: Услуги по технической поддержке информационных технологий,25.01.2024
15,№0128200000124000054,Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) Киржачского района Владимирской области для нужд Законодательного Собрания Владимирской области,"63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",23.01.2024
16,№0128200000124000052,Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) г. Ковров Владимирской области для нужд Законодательного Собрания Владимирской области,"63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",23.01.2024
17,№0128200000124000055,Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) Кольчугинского района Владимирской области для нужд Законодательного Собрания Владимирской области,"63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",23.01.2024
18,№0128200000124000056,Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) Ковровского района Владимирской области для нужд Законодательного Собрания Владимирской области,"63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",23.01.2024
19,№0873500000824000115,Оказание услуг по приобретению и установке локального электронного ключа и по обновлению программного обеспечения «Smeta.ru» для нужд ГКУ Дирекция ДОНМ в 2024 году (среди СМП и СОНО),63.11.11.000: Услуги по обработке данных,25.01.2024
20,№0128200000124000041,Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) Ковровского района Владимирской области для нужд Законодательного Собрания Владимирской области,"63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",23.01.2024
21,№0121200001124000010,"Оказание услуг по продлению неисключительных (пользовательских прав) на программное обеспечение ИМАС ""Палладиум""",63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя,28.01.2024
22,№0744200000224000121,Оказание услуг по сопровождению и обслуживанию информационных систем,62.03.12.130: Услуги по сопровождению компьютерных систем,24.01.2024
23,№0826500000924000153,Оказание услуг по предоставлению прав пользования справочно-правовой системой в 2024 году,62.02.30.000: Услуги по технической поддержке информационных технологий,24.01.2024
24,№32413223411,Подписка на ТП по программному обеспечению для резервного копирования VEEAM,63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет,29.01.2024
25,№0818500000824000295,"Услуги по обеспечению продления сервисных сертификатов, мониторингу событий информационной безопасности объектов ЗСПД и комплексному техническому сопровождению СОИБ",62.02.30.000: Услуги по технической поддержке информационных технологий,24.01.2024
26,№0152200004724000023,"Выполнение работ по доработке и сопровождению государственной информационной системы Омской области ""Электронный социальный регистр населения Омской области"" (Реестровый номер 24.34.0014)",62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,23.01.2024
27,№0165300010524000010,"оказание   услуг по обслуживанию, сопровождению  и адаптации программного продукта «Парус-Бюджет 8»",62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,25.01.2024
28,№32413236616,Оказание услуг по сопровождению автоматизированных информационных систем отчетности и управления имуществом ППК «Роскадастр».,62.03.12.130: Услуги по сопровождению компьютерных систем; 62.03.12.120: Услуги по управлению компьютерными системами дистанционно,31.01.2024
29,№0352300013424000002,Оказание услуг по программному сопровождению (технической поддержке) модуля «Интеграция» Медицинской информационной системы «Медея». (Реестровый номер 2024.005765),62.03.1: Услуги по управлению компьютерным оборудованием,25.01.2024
30,№0352300013424000001,"Оказание услуг по обслуживанию программного продукта ""МИС Медея: Учет работы ЛПУ"" (Реестровый номер 2024.005761)",62.03.1: Услуги по управлению компьютерным оборудованием,25.01.2024
31,№0816500000624000147,Оказание услуг (ЕГИСЗ) по технической поддержке централизованной системы «Управление скорой и неотложной помощью» Министерства здравоохранения Республики Саха (Якутия),62.02.3: Услуги по технической поддержке информационных технологий,25.01.2024
32,№0319200064424000006,"Оказание услуг по сопровождению программного обеспечения медицинской информационной системы «Программный комплекс «Госпиталь»»,эксплуатируемого в системе здравоохранения Красноярского края ",62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
33,№0190300000224000009,Приобретение права использования антивирусного программного обеспечения в пределах простой (неисключительной) лицензии,62.01.29.000: Оригиналы программного обеспечения прочие,26.01.2024
34,№0152300011924000010,Оказание услуг по изготовлению и размещению информационных материалов (текстовых и фотоматериалов) в сетевом издании в сети Интернет (с анонсом на главной странице сетевого издания в сети Интернет) (Реестровый номер 12.0010.24),"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",15.01.2024
35,№0167200003424000165,Оказание услуг по предоставлению доступа к сервисам технической поддержки программного обеспечения «Cервер видеоконференций IVA MCU»,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",25.01.2024
36,№0111200000924000017,Право заключения государственного контракта на оказание услуг по предоставлению неисключительных прав на использование программного обеспечения для государственных нужд Республики Татарстан,62.01.29.000: Оригиналы программного обеспечения прочие,26.01.2024
37,№0164200001924000032,Оказание услуг по технической поддержке (сопровождению) государственной информационной системы обеспечения градостроительной деятельности Тамбовской области,62.02.3: Услуги по технической поддержке информационных технологий,25.01.2024
38,№0175200000424000013,"Оказание услуг по сопровождению, технической поддержки и сервисного обслуживания программного комплекса ЕАИС","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",24.01.2024
39,№0352300183824000005,Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ» (Реестровый номер 2024.006073),62.03.12.130: Услуги по сопровождению компьютерных систем,25.01.2024
40,№0380200000124000063,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного програмного обеспечения, обеспечивающего совместимость  (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс",62.03.12.130: Услуги по сопровождению компьютерных систем,24.01.2024
41,№0373200640924000003,Оказание комплексных услуг по технической поддержке и системному сопровождению городской информационной системы «Единое хранилище данных города Москвы» в 2024-2025 гг.,62.02.30.000: Услуги по технической поддержке информационных технологий,25.01.2024
42,№0816500000624000121,Оказание услуг по сопровождению экземпляров Систем Консультант Плюс,62.03.1: Услуги по управлению компьютерным оборудованием,25.01.2024
43,№0318200018824000004,Услуги по передаче неисключительных (пользовательских) прав на использование Программного обеспечения «Информационная система консолидации отчетности»,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",29.01.2024
44,№0176200005524000028,"Оказание услуг по обработке материалов, необходимых для формирования постановлений по делам об административных правонарушениях в области дорожного движения",63.11.11.000: Услуги по обработке данных,29.01.2024
45,№32413226702,"Лот № 2024-2 / МСП Права на использование программы для ЭВМ ""Платформа nano CAD"" 24",62.01: Продукты программные и услуги по разработке и тестированию программного обеспечения,30.01.2024
46,№0860200000824000069,Оказание услуг по технической поддержке модуля интеграции с участками мировых судей (модуль «АМИРС») и модуля сопряжения сайта с базой данных модуля «АМИРС» (Веб-модуль «Справочная АМИРС») подсистемы «Судебное делопроизводство и статистика» Государственной автоматизированной системы Российской Федерации «Правосудие» на судебных участках мировых судей Саратовской области,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",24.01.2024
47,№0179200001924000006,Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс.,62.03.12.130: Услуги по сопровождению компьютерных систем,24.01.2024
48,№0816500000624000317,"Оказание услуг (ЕГИСЗ) по техническому сопровождению при эксплуатации специального программного обеспечения информационной системы, выполняющей функции региональной государственной информационной системы в сфере здравоохранения",62.02.3: Услуги по технической поддержке информационных технологий,30.01.2024
49,№0848300041224000004,"Оказание услуг по сопровождению и обслуживанию учетно-управленческих систем на базе используемых программных продуктов ""1С"" на 2024 год",62.02.3: Услуги по технической поддержке информационных технологий,24.01.2024
50,№0173200001424000008,"Выполнение работ по развитию государственных информационных систем: Автоматизированная информационная система «Система управления доступом к информационным системам и ресурсам города Москвы», Государственная информационная система «Система централизованного ведения профиля заявителя» в части модернизации систем защиты информации",62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,15.01.2024
51,№0149200002324000230,Оказание услуг по адаптации и сопровождению установленных экземпляров Систем КонсультантПлюс,62.03.12.130: Услуги по сопровождению компьютерных систем,25.01.2024
52,№0179200001924000007,"Оказание услуг по сопровождению и развитию Регионального информационного регистра социального обеспечения «Регион-АВК», предназначенного для взаимодействия с Единой государственной информационной системы социального обеспечения (ЕГИССО)",62.03.12.130: Услуги по сопровождению компьютерных систем,24.01.2024
53,№0318200055024000029,Услуга по обеспечению продления сервисных сертификатов производителей и доступа к обновлениям баз решающих правил на имеющиеся системы обнаружения вторжений,62.02.30.000: Услуги по технической поддержке информационных технологий,24.01.2024
54,№0318200055024000030,Передача Сертификата на оказание услуг по мониторингу событий информационной безопасности объектов ЗСПД и комплексному техническому сопровождению СОИБ,62.02.30.000: Услуги по технической поддержке информационных технологий,24.01.2024
55,№0168500000624000066,Услуги по сопровождению портала «Открытый бюджет Ульяновской области»,62.02.30.000: Услуги по технической поддержке информационных технологий,25.01.2024
56,№0168500000624000087,Оказание услуг по предоставлению доступа для размещения вакансий на сайте по подбору персонала,63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет,29.01.2024
57,№0806500000224000027,"оказание услуг по предоставлению ключа активации сервиса технической поддержки (совместный, расширенный) на средство защиты информации от несанкционированного доступа Secret Net Studio 8 в сфере ИКТ в соответствии с НПА","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",23.01.2024
58,№0165300015524000001,"Оказание услуг по опубликованию и распространению информационных материалов о деятельности Муниципального казённого учреждения «Администрация Шегарского района», нормативных правовых актов муниципального образования «Шегарский район» и иной информации, официальное опубликование которой предусмотрено действующим законодательством в периодическом печатном издании","63.99.10.130: Услуги по сбору и обобщению фактов и информации, кроме списков адресатов",24.01.2024
59,№0380200000124000086,Оказание услуг по передаче прав использования экземпляров программного продукта «1С:ЦГУ»,62.03.12.130: Услуги по сопровождению компьютерных систем,24.01.2024
60,№0316100018024000010,Оказание услуг по сопровождению и технической поддержке ЕРМИС для нужд клиники ЯНЦ КМП,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",25.01.2024
61,№0153300018424000005,Оказание услуг по сопровождению электронного периодического справочника «Система ГАРАНТ»,62.03.12.130: Услуги по сопровождению компьютерных систем,25.01.2024
62,№0318100063424000004,"Услуги по сопровождению, тех.поддержке и сервисному обслуживанию программного комплекса ""Катарсис""",62.03.12.130: Услуги по сопровождению компьютерных систем,24.01.2024
63,№0818500007024000001,Оказание услуг по предоставлению неисключительных прав (лицензий) на использование лицензионного программного продукта «Парус-Бюджет 8»,62.02.30.000: Услуги по технической поддержке информационных технологий,30.01.2024
64,№0375200037424000005,Оказание консультационных услуг по сопровождению и модификации (изменению программного кода) единого комплекса программных средств,62.02.30.000: Услуги по технической поддержке информационных технологий,25.01.2024
65,№0190200000324000324,Оказание услуг технической поддержки системы хранения данных с дедупликацией,62.02.30.000: Услуги по технической поддержке информационных технологий,24.01.2024
66,№0190200000324000325,Оказание услуг по технической поддержке оборудования DWDM и программного обеспечения системы управления «Фрактал»,62.02.30.000: Услуги по технической поддержке информационных технологий,24.01.2024
67,№0190200000324000306,оказание услуг по адаптации и сопровождению экземпляров справочно-правовой системы,62.03.12.130: Услуги по сопровождению компьютерных систем,24.01.2024
68,№0133200001724000032,"Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс","63.99.1: Услуги информационные прочие, не включенные в другие группировки",19.01.2024
69,№0351100033224000006,Оказание услуг по предоставлению сертификата на осуществление технической поддержки программного средства защиты информации от несанкционированного доступа,"62.09.2: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки",29.01.2024
70,№0132600003524000009,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс для нужд администрации Уренского муниципального округа Нижегородской области",62.03.1: Услуги по управлению компьютерным оборудованием,31.01.2024
71,№0190200000324000277,Оказание услуг по адаптации и сопровождению экземпляров системы «Консультант Плюс»,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",23.01.2024
72,№0108500000424000090,"Оказание услуг по обеспечению безопасности информации, обрабатываемой в информационной системе Государственного бюджетного учреждения Республики Марий Эл «Станция скорой медицинской помощи»",63.11.11.000: Услуги по обработке данных; 62.03.12.130: Услуги по сопровождению компьютерных систем; 58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение,22.01.2024
73,№0819300042624000001,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс",62.02.30.000: Услуги по технической поддержке информационных технологий,26.01.2024
74,№0137200001224000050,"Оказание услуг по предоставлению виртуального центра обработки данных для размещения и эксплуатации в нем государственной информационной системы централизованного бухгалтерского учета и отчетности Калужской области, включая выполнение требований о защите информации",63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий,24.01.2024
75,№0221100003024000003,"Оказание услуг по предоставлению доступа к ""1С:Комплект поддержки"" (1С:КП ГУ ПРОФ на 12 месяцев) для нужд ТФОМС СК  ",62.02.30.000: Услуги по технической поддержке информационных технологий,24.01.2024
76,№0845200000324000001,"Выполнение работ по развитию государственной информационной системы обеспечения градостроительной деятельности Ленинградской области в части интеграции с федеральной государственной информационной системы ""Единая цифровая платформа ""Национальная система пространственных данных""",62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,17.01.2024
77,№0380300033924000004,"Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс",62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,23.01.2024
78,№32413222923,"Оказание услуг на предоставление права использования программного обеспечения для ЭВМ (12 месяцев) для нужд ГБУ ""МосСпортОбъект""",63.11.11.000: Услуги по обработке данных,29.01.2024
79,№0152300023124000003,"Оказание услуг по адаптации и сопровождению экземпляров Систем «КонсультантПлюс», оказываемых на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Муниципального заказчика экземплярами Систем «КонсультантПлюс»   ",62.02.30.000: Услуги по технической поддержке информационных технологий,24.01.2024
80,№0813500000124000600,зз-0016-01705 - 2024 Оказание услуг по адаптации и сопровождению экземпляров Системы Консультант Плюс,62.03.12.130: Услуги по сопровождению компьютерных систем,31.01.2024
81,№0120600008224000001,Оказание услуг по технической поддержке и сопровождению программного обеспечения для нужд администрации Черниговского округа,62.02.30.000: Услуги по технической поддержке информационных технологий,26.01.2024
82,№0332200066724000001,Оказание услуг по предоставлению неисключительных (пользовательских) прав на антивирусное программное обеспечение для рабочих станций и серверов Windows сроком на один год,62.01.29.000: Оригиналы программного обеспечения прочие,24.01.2024
83,№0116300021824000002,"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс для нужд Администрации МР ""Сунтарский улус (район)"" Республики Саха (Якутия) на 2024 год","63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки",30.01.2024
84,№0145200000424000028,Оказание услуг по информационному сопровождению социально-экономического развития Ленинградской области и иных социально-значимых тем на базе федерального информационного агентства,"63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",26.01.2024
85,№0342200011524000001,"Оказание услуг по сопровождению системы ""Консультант плюс"" для нужд Государственного бюджетного учреждения здравоохранения ""Тольяттинский кожно-венерологический диспансер"" Самарской области",62.03.12.130: Услуги по сопровождению компьютерных систем,26.01.2024
86,№0859300019624000022,Оказание услуг по предоставлению неисключительного права использования электронной Базы данных «Система Госзаказ Плюс» на условиях простой (неисключительной) лицензии,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,25.01.2024
87,№0318200070224000004,"Передача неисключительных прав использования (простая неисключительная лицензия) электронной базы данных электронной системы ""Главная медсестра""",62.03.12.130: Услуги по сопровождению компьютерных систем,24.01.2024
88,№0376200000624000001,Оказание услуг по сопровождению и обновлению электронного периодического справочника «Система ГАРАНТ»,62.02.30.000: Услуги по технической поддержке информационных технологий,25.01.2024
89,№0118300000624000007,Оказание услуг по техническому обслуживанию и дополнительному сопровождению программного продукта «Единая система учета объектов и неналоговых доходов в Краснодарском крае» путем предоставления абонемента,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",23.01.2024
90,№0345200013324000001,"Оказание услуг поставки, адаптации и сопровождения экземпляра СПС КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения",62.03.12.130: Услуги по сопровождению компьютерных систем,26.01.2024
