,sentiment,okpd_2,name,number,fz,date,preproccessed_name,preproccessed_okpd_2,preproccessed_name_stem,preproccessed_okpd_2_stem
10,0,62.02.30.000: Услуги по технической поддержке информационных технологий,"""ежемесячные услуги по обслуживанию, поддержке и информационно-консультативному сопровождению программных продуктов «1С: Предприятие 8» в составе: «1С: Бухгалтерия государственного учреждения», «1С: Зарплата и кадры бюджетного учреждения» 												",№32312714340,223,29.08.2023, ежемесячные услуги по обслуживанию поддержке и информационно консультативному сопровождению программных продуктов с предприятие в составе с бухгалтерия государственного учреждения с зарплата и кадры бюджетного учреждения , услуги по технической поддержке информационных технологий,ежемесячн услуг обслуживан поддержк информацион консультативн сопровожден программн продукт предприят состав бухгалтер государствен учрежден зарплат кадр бюджетн учрежден,услуг техническ поддержк информацион технолог
11,0,62.02.30.000: Услуги по технической поддержке информационных технологий,"""Оказание услуг по предоставлению сертификата на техническое сопровождение программных комплексов ViPNet Client""",№0318200057723000065,44,23.08.2023, оказание услуг по предоставлению сертификата на техническое сопровождение программных комплексов vipnet client , услуги по технической поддержке информационных технологий,оказан услуг предоставлен сертификат техническ сопровожден программн комплекс vipnet client,услуг техническ поддержк информацион технолог
12,0,62.02.3: Услуги по технической поддержке информационных технологий,"""Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «Парус-Бюджет 8»",№0318200057723000078,44,20.09.2023, оказание услуги по предоставлению сертификата на техническую поддержку программного продукта парус бюджет , услуги по технической поддержке информационных технологий,оказан услуг предоставлен сертификат техническ поддержк программн продукт парус бюджет,услуг техническ поддержк информацион технолог
13,0,62.03.12.130: Услуги по сопровождению компьютерных систем,"""Оказание услуги по содержанию и эксплуатации программно-аппаратного комплекса автоматизированной системы управления наружным освещением (далее – АСУНО) «Кулон» на действующей сети автомобильных дорог общего пользования федерального значения."" (лот 121)",№0348100042423000091,44,08.09.2023, оказание услуги по содержанию и эксплуатации программно аппаратного комплекса автоматизированной системы управления наружным освещением далее – асуно кулон на действующей сети автомобильных дорог общего пользования федерального значения лот , услуги по сопровождению компьютерных систем,оказан услуг содержан эксплуатац программн аппаратн комплекс автоматизирова систем управлен наружн освещен дал – асун кулон действ сет автомобильн дорог общ пользован федеральн значен лот,услуг сопровожден компьютерн сист
14,0,62.03.1: Услуги по управлению компьютерным оборудованием,(0870-р) Услуги по передаче неисключительных прав на модули,№0163200000323005205,44,09.08.2023, р услуги по передаче неисключительных прав на модули, услуги по управлению компьютерным оборудованием,р услуг передач неисключительн прав модул,услуг управлен компьютерн оборудован
15,0,62.02.30.000: Услуги по технической поддержке информационных технологий,"(1161-р) Оказание услуг по техническому сопровождению региональной централизованной системы «Управление скорой и неотложной медицинской помощью (в том числе, санитарной авиацией)»",№0163200000323006181,44,25.09.2023, р оказание услуг по техническому сопровождению региональной централизованной системы управление скорой и неотложной медицинской помощью в том числе санитарной авиацией , услуги по технической поддержке информационных технологий,р оказан услуг техническ сопровожден региональн централизова систем управлен скор неотложн медицинск помощ числ санитарн авиац,услуг техническ поддержк информацион технолог
16,0,62.03.12.130: Услуги по сопровождению компьютерных систем,"«Оказание услуг по передаче неисключительных (пользовательских) лицензионных прав, сопровождению и технической поддержке программного обеспечения «Парус-Бюджет 8»»",№0301300247623000790,44,05.09.2023,оказание услуг по передаче неисключительных пользовательских лицензионных прав сопровождению и технической поддержке программного обеспечения парус бюджет , услуги по сопровождению компьютерных систем,оказан услуг передач неисключительн пользовательск лицензион прав сопровожден техническ поддержк программн обеспечен парус бюджет,услуг сопровожден компьютерн сист
17,0,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,"«ОКАЗАНИЕ УСЛУГ ПО ПЕРЕДАЧЕ СРОЧНЫХ НЕИСКЛЮЧИТЕЛЬНЫХ ЛИЦЕНЗИОННЫХ ПРАВ НА ПО «ЭКОНОМ-ЭКСПЕРТ. ДОГОВОРЫ"", ""ЭКОНОМ-ЭКСПЕРТ. ОНЛАЙН +РАСЧЁТ НМЦК ДЛЯ ЛЕКАРСТВЕННЫХ ПРЕПАРАТОВ, 6 РАБОЧИХ МЕСТ, 1 ЗАКАЗЧИК + СОПРОВОЖДЕНИЕ»",№0371500000723000257,44,22.08.2023,оказание услуг по передаче срочных неисключительных лицензионных прав на по эконом эксперт договоры эконом эксперт онлайн расчёт нмцк для лекарственных препаратов рабочих мест заказчик сопровождение, услуги консультативные в области компьютерных технологий прочие,оказан услуг передач срочн неисключительн лицензион прав экон эксперт договор экон эксперт онлайн расчет нмцк лекарствен препарат рабоч мест заказчик сопровожден,услуг консультативн област компьютерн технолог проч
18,0,62.03.12.130: Услуги по сопровождению компьютерных систем,«Оказание услуг по подписке 1С» для субъектов малого и среднего предпринимательства,№32312762637,223,14.09.2023,оказание услуг по подписке с для субъектов малого и среднего предпринимательства, услуги по сопровождению компьютерных систем,оказан услуг подписк субъект мал средн предпринимательств,услуг сопровожден компьютерн сист
19,0,62.02.30.000: Услуги по технической поддержке информационных технологий,«Услуга по сопровождению и консультационной поддержке АИС «Имущество» в городском округе город Уфа Республики Башкортостан»,№0301300247623000803,44,06.09.2023,услуга по сопровождению и консультационной поддержке аис имущество в городском округе город уфа республики башкортостан, услуги по технической поддержке информационных технологий,услуг сопровожден консультацион поддержк аис имуществ городск округ город уф республик башкортоста,услуг техническ поддержк информацион технолог
20,0,62.02.1: Услуги консультативные по компьютерному оборудованию,"1127-р Услуги по техническому освидетельствованию в целях списания компьютерной техники, оргтехники, и прочей техники",№0163200000323006014,44,18.09.2023, р услуги по техническому освидетельствованию в целях списания компьютерной техники оргтехники и прочей техники, услуги консультативные по компьютерному оборудованию,р услуг техническ освидетельствован цел списан компьютерн техник оргтехник проч техник,услуг консультативн компьютерн оборудован
21,0,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",13_Оказание услуг по информационно-техническому сопровождению программы «1С: Предприятие» уровня ИТС Бюджет ПРОФ для нужд Лениногорского филиала КНИТУ-КАИ ,№32312675586,223,15.08.2023, оказание услуг по информационно техническому сопровождению программы с предприятие уровня итс бюджет проф для нужд лениногорского филиала книту каи , услуги по технической поддержке в области информационных технологий прочие не включенные в другие группировки,оказан услуг информацион техническ сопровожден программ предприят уровн итс бюджет проф нужд лениногорск филиа книт ка,услуг техническ поддержк област информацион технолог проч включен друг группировк
22,0,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",14_Оказание услуг в области информационных технологий по продлению неисключительных (пользовательских) лицензионных прав электронной базы данных «Госфинансы»,№32312735782,223,05.09.2023, оказание услуг в области информационных технологий по продлению неисключительных пользовательских лицензионных прав электронной базы данных госфинансы, услуги по технической поддержке в области информационных технологий прочие не включенные в другие группировки,оказан услуг област информацион технолог продлен неисключительн пользовательск лицензион прав электрон баз дан госфинанс,услуг техническ поддержк област информацион технолог проч включен друг группировк
23,0,62.02.30.000: Услуги по технической поддержке информационных технологий,2023/244/226 Закупка услуг по развитию МИС Интерин ,№0373100023823000282,44,12.09.2023, закупка услуг по развитию мис интерин , услуги по технической поддержке информационных технологий,закупк услуг развит мис интерин,услуг техническ поддержк информацион технолог
24,0,62.02.30.000: Услуги по технической поддержке информационных технологий,2023/9-68 Оказание услуг по сопровождению автоматизированной системы «Управление и мониторинг электрозарядными станциями»,№32312649597,223,07.08.2023, оказание услуг по сопровождению автоматизированной системы управление и мониторинг электрозарядными станциями, услуги по технической поддержке информационных технологий,оказан услуг сопровожден автоматизирова систем управлен мониторинг электрозарядн станц,услуг техническ поддержк информацион технолог
25,0,Сведения включены в описание каждого лота,"2023/9-71 Предоставление неисключительного права на лицензии и сертификаты ViPNet, UserGate",№32312711095,223,28.08.2023, предоставление неисключительного права на лицензии и сертификаты vipnet usergate,сведения включены в описание каждого лота,предоставлен неисключительн прав лиценз сертификат vipnet usergate,сведен включ описан кажд лот
26,0,62.03.12.130: Услуги по сопровождению компьютерных систем,"2023-09879 = Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс  на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс",№0131200001023009304,44,29.08.2023, оказание услуг по адаптации и сопровождению экземпляров систем консультантплюс на основе специального лицензионного программного обеспечения обеспечивающего совместимость услуг с установленными у заказчика экземплярами систем консультантплюс, услуги по сопровождению компьютерных систем,оказан услуг адаптац сопровожден экземпляр сист консультантплюс основ специальн лицензион программн обеспечен обеспечива совместим услуг установлен заказчик экземпляр сист консультантплюс,услуг сопровожден компьютерн сист
27,0,62.02.30.000: Услуги по технической поддержке информационных технологий,2023-10039 = Оказание услуг по информационному сопровождению систем «КонсультантПлюс»,№0131200001023009303,44,29.08.2023, оказание услуг по информационному сопровождению систем консультантплюс, услуги по технической поддержке информационных технологий,оказан услуг информацион сопровожден сист консультантплюс,услуг техническ поддержк информацион технолог
28,0,62.02.30.000: Услуги по технической поддержке информационных технологий,2023-10043 = Оказание информационных услуг по сопровождению и обновлению ранее установленных  у заказчика версий электронного периодического справочника «Система ГАРАНТ»,№0131200001023009048,44,22.08.2023, оказание информационных услуг по сопровождению и обновлению ранее установленных у заказчика версий электронного периодического справочника система гарант, услуги по технической поддержке информационных технологий,оказан информацион услуг сопровожден обновлен ран установлен заказчик верс электрон периодическ справочник систем гарант,услуг техническ поддержк информацион технолог
29,0,62.03.12.130: Услуги по сопровождению компьютерных систем,2023-10395 = Оказание услуг по информационно-техническому сопровождению программы «1С Бухгалтерия государственного учреждения 2.0»,№0131200001023009584,44,06.09.2023, оказание услуг по информационно техническому сопровождению программы с бухгалтерия государственного учреждения , услуги по сопровождению компьютерных систем,оказан услуг информацион техническ сопровожден программ бухгалтер государствен учрежден,услуг сопровожден компьютерн сист
30,0,62.02.30.000: Услуги по технической поддержке информационных технологий,2023-10657 Оказание услуг по предоставлению сертификатов на полную техническую поддержку ПО TrueConf,№0131200001023009864,44,13.09.2023, оказание услуг по предоставлению сертификатов на полную техническую поддержку по trueconf, услуги по технической поддержке информационных технологий,оказан услуг предоставлен сертификат полн техническ поддержк trueconf,услуг техническ поддержк информацион технолог
31,0,62.02.30.000: Услуги по технической поддержке информационных технологий,2023-11200 = Оказание услуг по адаптации и сопровождению комплекта СПС КонсультантПлюс в 2024 году,№0131200001023010668,44,26.09.2023, оказание услуг по адаптации и сопровождению комплекта спс консультантплюс в году, услуги по технической поддержке информационных технологий,оказан услуг адаптац сопровожден комплект спс консультантплюс год,услуг техническ поддержк информацион технолог
32,0,62.01.29.000: Оригиналы программного обеспечения прочие,2023-11204 = Оказание услуг по передаче неисключительных лицензионных прав на использование антивирусного программного обеспечения,№0131200001023010362,44,21.09.2023, оказание услуг по передаче неисключительных лицензионных прав на использование антивирусного программного обеспечения, оригиналы программного обеспечения прочие,оказан услуг передач неисключительн лицензион прав использован антивирусн программн обеспечен,оригинал программн обеспечен проч
33,0,62.02.30.000: Услуги по технической поддержке информационных технологий,"2023-11341 = Оказание услуг по обслуживанию програмного обеспечения ""1С:Бухгалтерия 8 ПРОФ"" и ""1С: Зарплата и управление персоналом""",№0131200001023010666,44,26.09.2023, оказание услуг по обслуживанию програмного обеспечения с бухгалтерия проф и с зарплата и управление персоналом , услуги по технической поддержке информационных технологий,оказан услуг обслуживан програмн обеспечен бухгалтер проф зарплат управлен персонал,услуг техническ поддержк информацион технолог
34,0,62.02.30.000: Услуги по технической поддержке информационных технологий,"2023-11421 = Оказание услуг по сопровождению информационной базы на платформе «1С: Предприятие 8.3» (конфигурации «Зарплата и кадры государственного учреждения (ред. 3.1)», «Бухгалтерия государственного учреждения (ред. 2)», «Больничная аптека (ред. 2»)",№0131200001023011001,44,29.09.2023, оказание услуг по сопровождению информационной базы на платформе с предприятие конфигурации зарплата и кадры государственного учреждения ред бухгалтерия государственного учреждения ред больничная аптека ред , услуги по технической поддержке информационных технологий,оказан услуг сопровожден информацион баз платформ предприят конфигурац зарплат кадр государствен учрежден ред бухгалтер государствен учрежден ред больничн аптек ред,услуг техническ поддержк информацион технолог
35,0,62.03.12.130: Услуги по сопровождению компьютерных систем,"2023-11586 = Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Государственного Заказчика экземплярами Систем КонсультантПлюс",№0131200001023010998,44,29.09.2023, оказание услуг по адаптации и сопровождению экземпляров систем консультантплюс оказываемых на основе специального лицензионного сервисного программного обеспечения обеспечивающего совместимость взаимодействие услуг с ранее установленными у государственного заказчика экземплярами систем консультантплюс, услуги по сопровождению компьютерных систем,оказан услуг адаптац сопровожден экземпляр сист консультантплюс оказыва основ специальн лицензион сервисн программн обеспечен обеспечива совместим взаимодейств услуг ран установлен государствен заказчик экземпляр сист консультантплюс,услуг сопровожден компьютерн сист
36,0,62.03.12.130: Услуги по сопровождению компьютерных систем,"2023-11587 = Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Государственного Заказчика экземплярами систем КонсультантПлюс",№0131200001023010997,44,29.09.2023, услуги по адаптации и сопровождению экземпляров систем консультантплюс оказываемых на основе специального лицензионного сервисного программного обеспечения обеспечивающего совместимость взаимодействие услуг с ранее установленными у государственного заказчика экземплярами систем консультантплюс, услуги по сопровождению компьютерных систем,услуг адаптац сопровожден экземпляр сист консультантплюс оказыва основ специальн лицензион сервисн программн обеспечен обеспечива совместим взаимодейств услуг ран установлен государствен заказчик экземпляр сист консультантплюс,услуг сопровожден компьютерн сист
37,0,62.02.30.000: Услуги по технической поддержке информационных технологий,2024/9-10 Оказание услуг по сопровождению ИАС Контрагент,№32312696049,223,22.08.2023, оказание услуг по сопровождению иас контрагент, услуги по технической поддержке информационных технологий,оказан услуг сопровожден иас контрагент,услуг техническ поддержк информацион технолог
38,0,62.02.30.000: Услуги по технической поддержке информационных технологий,2024/9-11 Оказание услуг по сопровождению справочников и услуг по сопровождению Системы управления мастер данными 1С МДМ,№32312687970,223,18.08.2023, оказание услуг по сопровождению справочников и услуг по сопровождению системы управления мастер данными с мдм, услуги по технической поддержке информационных технологий,оказан услуг сопровожден справочник услуг сопровожден систем управлен мастер дан мдм,услуг техническ поддержк информацион технолог
39,0,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,"2024/9-13 Предоставление права использования: ФСС ""Система Финансовый директор"", КСС ""Система Кадры"", ЭС ""Госзаказ"", ЭС ""Охрана труда"", ЮСС ""Система Юрист"",ЭС ""Промбезопасность""",№32312710932,223,28.08.2023, предоставление права использования фсс система финансовый директор ксс система кадры эс госзаказ эс охрана труда юсс система юрист эс промбезопасность , услуги консультативные в области компьютерных технологий прочие,предоставлен прав использован фсс систем финансов директор ксс систем кадр эс госзаказ эс охра труд юсс систем юрист эс промбезопасн,услуг консультативн област компьютерн технолог проч
40,0,62.02.30.000: Услуги по технической поддержке информационных технологий,2024/9-8 Оказание услуг по сопровождению ПО: Автоматизированная система учёта ресурсов (АСУР) электрической сети на базе программного продукта GE Smallworld Electric Office,№32312663341,223,10.08.2023, оказание услуг по сопровождению по автоматизированная система учёта ресурсов асур электрической сети на базе программного продукта ge smallworld electric office, услуги по технической поддержке информационных технологий,оказан услуг сопровожден автоматизирова систем учет ресурс асур электрическ сет баз программн продукт ge smallworld electric office,услуг техническ поддержк информацион технолог
41,0,62.02.30.000: Услуги по технической поддержке информационных технологий,2024/9-9 Оказание услуг по сопровождению ПК Энергобилинг,№32312696045,223,22.08.2023, оказание услуг по сопровождению пк энергобилинг, услуги по технической поддержке информационных технологий,оказан услуг сопровожден пк энергобилинг,услуг техническ поддержк информацион технолог
42,0,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",208471_«Покопийное обслуживание МФУ и принтеров для нужд АО «ТГК-11»»,№32312751057,223,11.09.2023, покопийное обслуживание мфу и принтеров для нужд ао тгк , услуги по технической поддержке в области информационных технологий прочие не включенные в другие группировки,покопийн обслуживан мфу принтер нужд а тгк,услуг техническ поддержк област информацион технолог проч включен друг группировк
43,0,62.09.20.120: Услуги по установке программного обеспечения,208540_ОЗП_Сервисное обслуживание ЭГСР ТА-3 СП ТЭЦ-3 для нужд АО «ТГК-11»,№32312774347,223,19.09.2023, озп сервисное обслуживание эгср та сп тэц для нужд ао тгк , услуги по установке программного обеспечения,озп сервисн обслуживан эгср та сп тэц нужд а тгк,услуг установк программн обеспечен
44,0,62.09.20.120: Услуги по установке программного обеспечения,208541_ОЗП_Сервисное обслуживание ЭГСР ТА-10 СП ТЭЦ-3 для нужд АО «ТГК-11»,№32312772417,223,18.09.2023, озп сервисное обслуживание эгср та сп тэц для нужд ао тгк , услуги по установке программного обеспечения,озп сервисн обслуживан эгср та сп тэц нужд а тгк,услуг установк программн обеспечен
45,0,62.02.30.000: Услуги по технической поддержке информационных технологий,208588_Оказание информационных услуг по сопровождению системы Консультант плюс для нужд ООО «Северная сбытовая компания»,№32312789712,223,22.09.2023, оказание информационных услуг по сопровождению системы консультант плюс для нужд ооо северная сбытовая компания, услуги по технической поддержке информационных технологий,оказан информацион услуг сопровожден систем консультант плюс нужд оо северн сбытов компан,услуг техническ поддержк информацион технолог
