,ord_id,ord_no,ord_title
32,31,103100007324000007,"Поставка лицензий, обеспечивающей продление техподдержки и обновление антивирусных баз антивирусного продукта к основной лицензии Kaspersky Endpoint Security для бизнеса – Расширенный, предустановленной у Заказчика"
33,32,816500000624002718,Оказание услуг по передаче сертификатов активации сервиса технической поддержки
34,33,816500000624002716,"Передача неисключительных прав на использование программного обеспечения (программного продукта) для центрального программно-технического комплекса автоматизированной дактилоскопической информационной системы ""Папилон"""
35,34,187200001724000197,Выполнение работ по развитию программно-аппаратного комплекса дистанционного мониторинга и раннего обнаружения пожаров в Ханты-Мансийском автономном округе – Югре (ПАК «Лесохранитель»)
36,36,137300002324000008,Поставка почтовых марок (44зк-05/24ртс)
37,37,820500000824001157,Оказание услуг по сопровождению и обеспечению эксплуатации Единой централизованной информационной системы Приморского края по бухгалтерскому учету и отчетности с предоставлением неисключительных (пользовательских) прав на использование программ для ЭВМ
38,38,149200002324001201,Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение (операционная система)
39,39,869200000224001654,Оказание услуги по приобретению программного обеспечения СКЗИ «КриптоПро CSP» версии 5.0
40,1424,304200015124000018,Оказание услуг по передаче неисключительных прав (лицензий) на антивирусное программное обеспечение
41,40,149200002324001200,Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение
42,41,221100003024000024,"Оказание услуг по продлению неисключительных (пользовательских) лицензионных прав на программное компьютерное обеспечение ""1С -Битрикс: Управление сайтом - Стандарт"" для нужд ТФОМС СК"
43,42,859200001124001466,Приобретение знаков почтовой оплаты
44,43,344300032824000003,"Услуги по поставке и внедрению программного обеспечения, предназначенного для автоматизации деятельности административных комиссий"
45,1926,128100001424000001,Лицензии на программное обеспечение
46,44,168300013024000079,Поставка учебников
47,45,129200005324000614,Оказание услуг по сопровождению государственной информационной системы обеспечения градостроительной деятельности Волгоградской области и предоставлению неисключительных прав на дополнительные модули
48,46,372200020424000003,Поставка почтовых марок и маркированных конвертов для нужд СПб ГКУЗ «ПНД № 4» в 2024 году.
49,47,335300022424000047,Оказание услуг по продлению неисключительного права на использование антивирусного программного обеспечения
50,48,372200123424000030,Оказание услуг по передаче неисключительных прав использования программного комплекса «Web-система СБИС»
51,49,856200000524000001,Предоставление лицензия простой (неисключительной) на программное обеспечение Эконом-Эксперт
52,50,120600008224000023,"Поставка знаков почтовой оплаты, маркированных почтовых конвертов с литерой А и литерой Д для нужд администрации Черниговского округа"
53,51,372200000924000074,"Оказание услуг по сопровождению программного обеспечения ""Медицинская информационная система qMS"""
54,52,869200000224001632,"Оказание услуг по передаче права использования электронной базы данных на условиях простой (неисключительной) лицензии, содержащей методические и справочные материалы, нормативно-правовые документы по основным направлениям деятельности главного бухгалтера и финансового специалиста государственного и муниципального учреждения для принятия квалифицированных решений по тематике учета, отчетности, бюджетного контроля, применения бюджетной классификации."
55,94,179300012624000001,"Оказание услуг по продлению неисключительного права на использование действующего лицензионного антивирусного программного обеспечения ""Kaspersky Endpoint Security"" для бизнеса - расширенный"
56,53,141100000624000007,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении выборочного обследования сельскохозяйственной деятельности личных подсобных и других индивидуальных хозяйств граждан
57,54,141100000624000006,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении выборочного статистического наблюдения рабочей силы
58,55,141100000624000004,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении выборочного наблюдения использования суточного фонда времени населением
59,56,141100000624000005,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении выборочного наблюдения доходов населения и участия в социальных программах
60,58,141100000624000003,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении комплексного наблюдения условий жизни населения
61,59,141100000624000002,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении выборочного федерального статистического наблюдения по вопросам использования населением информационных технологий и информационно-телекоммуникационных сетей
62,60,141100000624000001,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении выборочного наблюдения состояния здоровья населения
63,61,121300045724000036,Поставка конвертов маркированных почтовых и государственных знаков почтовой оплаты в целях обеспечения деятельности администрации Минераловодского муниципального округа Ставропольского края
64,95,137100001124000007,услуги по обновлению и сопровождению справочно-правовых систем
65,62,335200014924000570,Оказание услуг по расширению простых неисключительных лицензий на имеющееся у заказчика программное обеспечение СУО «Дамаск».
66,63,301200067524000037,Оказание услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение «Крипто-Про»
67,64,141300007424000015,На поставку программного обеспечения Kaspersky Endpoint Security для бизнеса - Стандартный продление на 1 год для нужд администрации городского округа город Буй Костромской области
68,65,169300028124000061,Оказание услуг по предоставлению неисключительных (пользовательских) прав на использование программы для ЭВМ «Подсистема формирования реестра расходных обязательств (РРО-СМАРТ)»
69,66,319200043024000026,"«Поставка государственных знаков почтовой оплаты Российской Федерации (марки почтовые, маркированные почтовые конверты) для нужд КГБУЗ «Красноярское краевое бюро судебно-медицинской экспертизы» в 2024 году»"
70,67,307200015924000151,"Поставка почтовых марок для нужд ГУ РК ""Клинический кардиологический диспансер"" в 2024 году"
71,68,332200021124000020,"Поставка канцелярских товаров для нужд ГБУЗ НО ""НОКПД"""
72,69,301200058824000012,Поставка почтовых марок
73,70,335300045424000010,на передачу неисключительных прав на использование Dallas Lock Linux/Dallas Lock 8.0-K
74,71,169300000324000410,Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение контент-фильтрации с ограниченным сроком действия
75,106,851200000624001206,Оказание услуг по предоставлению (передаче) права использования программного обеспечения (программ для ЭВМ) для нужд участников взаимодействия в рамках ТИС НСО на условиях простой (неисключительной) лицензии (неисключительного (пользовательского) права)
76,72,356500003024000004,"Оказание услуг по продлению неисключительных прав на использование программного обеспечения ""Платформа NanoCAD"" и  ""NanoCAD СПДС"""
77,73,349100009324000004,Оказание услуг по обновлению Автоматизированной информационной системы «Социально - гигиенический мониторинг»
78,74,861300006424000005,Оказание услуг по предоставлению неисключительных прав пользования лицензионным программным обеспечением.
79,75,301200081224000016,Оказание услуг по продлению неисключительных (пользовательских) прав на использование антивирусного программного обеспечения на условиях простой (неисключительной) лицензии
80,114,361200015024001058,"Оказание услуг по сопровождению региональной информационной системы в сфере закупок товаров, работ, услуг для обеспечения нужд Сахалинской области с предоставлением неисключительных прав на использование программ для ЭВМ в 2024 году"
81,76,372200107524000005,"Поставка учебных пособий и прописей для нужд ГБОУ школа №684 ""Берегиня"" Московского района Санкт-Петербурга в 2024г."
82,77,318300300524000009,Оказание услуг по предоставлению неисключительных прав (лицензия) на продление антивирусного программного обеспечения
83,78,368300000124000364,Поставка учебников для надлежащего обеспечения учебного процесса.
84,79,372200007224000011,Предоставление неисключительных прав на использование лицензионного программного обеспечения Dallas Lock для для нужд СПб ГБУ «ЦБС Петроградского района» в рамках реализации мероприятий по модернизации общедоступных библиотек Санкт-Петербурга на 2024 год
85,80,149200002324001122,Оказание услуг по предоставлению лицензии на использование программного обеспечения модулей Directum RX
86,81,367100008824000013,"Закупка в сфере ИКТ. Предоставление неисключительного (пользовательского) права на использование и сопровождение программ для эвм: ""Учет и администрирование поступлений в бюджетную систему (Администратор - Д) в архитектуре СМАРТ"""
87,82,358200055824000026,Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение (Закупка программного обеспечения - системы управления инцидентами на 1 год)
88,83,158200003824000018,Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение  на подсистему «EOSmobile» для межведомственной системы электронного документооборота и делопроизводства «Дело»
89,84,162300002724000030,Услуги по передаче прав на использование (простая неисключительная лицензия) новых версий программного обеспечения DIRECTUMRX
90,107,862300039624000050,Поставка государственных знаков почтовой оплаты (марки почтовые)
91,85,162300002724000028,"Услуги по продлению лицензии и сопровождение ПК ""Плательщики и уплаченные доходы"""
92,86,162300002724000026,Предоставление неисключительных (пользовательских) прав на использование автоматизированной информационной системы управления муниципальными закупками
93,87,190200000324002473,Оказание услуг по предоставлению простой (неисключительной) лицензии на право использовать компьютерное программное обеспечение
94,88,303500002824000005,оказание услуг по представлению доступа к информации системы высокоточного позиционирования на основе систем ГЛОНАСС/GPS
95,89,145200002124000016,Предоставление права использования (простая (неисключительная) лицензия) программы для ЭВМ для проверки контрагентов
96,90,162300018024000064,оказание услуг по предоставлению прав использования программных продуктов облачных сервисов
97,91,826500000924001268,Оказание услуг по продлению неисключительных прав (лицензии) на использование антивирусного программного обеспечения Kaspersky
98,92,358600004924000004,Услуга по продлению неисключительных (ограниченных) прав на программное обеспечение для антивирусной защиты Dr.Web
99,93,162300003624000009,"Предоставление неисключительных прав на использование программы для ЭВМ ""WEB-Торги-КС"""
100,108,851200000624001204,Оказание услуг по предоставлению (передаче) права использования программного обеспечения (программ для ЭВМ) для нужд участников взаимодействия в рамках ТИС НСО на условиях простой (неисключительной) лицензии (неисключительного (пользовательского) права)
101,96,372200052824000012,"Поставка средств защиты информации, оказание услуг и выполнение работ в сфере информационной безопасности"
102,97,368300000124000372,Поставка учебников печатных общеобразовательного назначения
103,98,351200023724000040,"Поставка полиграфической продукции в рамках программы развития студенческих инициатив ""Действуй"""
104,99,175200002824000001,Поставка государственных знаков почтовой оплаты (марка почтовая)
105,100,162200010024000001,Поставка марок почтовых и маркированных конвертов.
106,101,369300149924000003,печатная продукция
107,102,869600056224000065,Оказание услуг по предоставлению лицензий на право использовать антивирусное программное обеспечение
108,103,366200035624001297,Оказание услуг по передаче неисключительных прав (лицензии) на использование программного обеспечения (ПО)
109,104,204100000424000010,Оказание услуг по передаче неисключительного права (лицензии) использования Базы данных электронной системы «Госфинансы»
110,105,204100000424000008,Оказание услуг по передаче неисключительного права (лицензии) использования Базы данных электронной системы «Охрана труда»
111,109,108500000424000775,"Оказание услуг по предоставлению лицензия на «Межсетевой экран с системой обнаружения вторжений Ideco UTM» 100 пользователей с сертификатом ФСТЭК (продление подписки Security Update: AC, IPS, CF, обновления, поддержка)"
112,110,121600013924000046,"Оказание услуг по годовой подписке на обновление версии ПК ""ГРАНД-Смета"" и годовой подписке на обновление БД «ФСНБ-2022»"
113,111,158300024624000005,"Оказание услуги по передаче прав использования электронной базы данных на условиях простой (неисключительной) лицензии - Электронная система «Госфинансы» ВИП-версия, Электронная система «Госзаказ» тариф «Премиальный», Кадровая справочная система – Система кадры (для бюджетных организаций)"
114,112,260100000424000007,Оказание услуги по предоставлению лицензии на право использовать компьютерное программное обеспечение - программное средство фильтрации негативного контента Kaspersky Security для почтовых серверов.
115,113,846600001924000040,Поставка книжной продукции для комплектования книжного фонда библиотек
116,115,310200000324000581,"Оказание услуг по передаче неисключительных (пользовательских) прав на использование программного обеспечения Модуль ""Замещение должностей"""
117,116,851200000624001189,Оказание услуг по масштабированию программного продукта автоматизированная система «Смета»
118,117,116300007024000002,"Предоставление неисключительных (пользовательских) прав на программу для ЭВМ:""Подсистема размещения государственного или муниципального заказа путем проведения торгов (аукционов) в электронной форме (Веб-Торги-КС)"" с оказанием услуг по сопровождению."
119,118,162300035324000002,"Оказание услуг по производству и размещению информационных и аналитических материалов о деятельности Думы Асбестовского городского округа в печатном средстве массовой информации, зарегистрированном в установленном законодательством РФ порядке в качестве средства массовой информации, распространяемого на территории Асбестовского городского округа"
120,119,334100000124000004,"Предоставление неисключительных прав (простой неисключительной лицензии) на использование баз данных Электронной Системы ""Госзаказ"""
121,148,175200001524000009,Услуги по продлению срока действия неисключительного непередаваемого права на использование программного обеспечения Dr.Web Security Suite
122,120,356500003024000005,Оказание услуг по продлению срока действия неисключительных прав использования лицензионной программы антивирусной защиты «Kaspersky Endpoint Security для бизнеса – Стандартный Russian Edition. 100-149 Node 1 year Renewal License» с расширением до 110 мест
123,121,846600001624000028,Поставка почтовых марок и маркированных конвертов
124,122,122300006324000018,Поставка книг печатных
125,123,108500000424000773,Оказание услуг по передаче неисключительных прав на продление антивирусного программного обеспечения Kaspersky Endpoint Security для бизнеса – Расширенный Russian Edition.
126,124,190300000224000075,Предоставление неисключительных (пользовательских) прав на программное обеспечение средство анализа защищенности
127,2034,118200000124000002,Оказание услуг по техническому сопровождению программного обеспечения
128,125,134500003824000001,"Оказание услуг по предоставлению права использования электронных баз данных на условиях простой (неисключительной) лицензии электронных систем  «Госфинансы», «Госзаказ» и «Кадровая Справочная Система «Система Кадры» (ИКТ)"
129,126,330300051224000036,Оказание услуг по передаче права использования электронной базы данных на условиях простой (неисключительной) лицензии
130,127,172300002924000011,"Марки почтовые негашеные, гербовые и аналогичные марки; Конверты, письма-секретки"
131,128,843500000224000933,"Поставка почтовых маркированных конвертов, марок почтовых не гашеных, гербовых и аналогичных"
132,129,360100006324000004,Поставка знаков почтовой оплаты Российской Федерации (почтовых марок)
133,130,351300298324000084,"Поставка информационных материалов по профилактике терроризма и экстремизма, а также минимизации и (или) ликвидации проявлений терроризма и экстремизма"
134,131,372100054724000009,Предоставление неисключительных прав на программное обеспечение для видеоконференций
135,132,132300007524000157,Услуги по предоставлению на условиях простой (неисключительной) лицензии права на использование программ для ЭВМ и баз данных
136,133,387200026124000021,Оказание услуг по предоставлению лицензий на право использовать компьютерное программное обеспечение1600
137,134,869200000224001720,"Оказание услуг по продлению неисключительных прав использования базы данных Электронной системы ""Госфинансы"" версия ВИП для бюджетных учреждений"
138,135,869200000224001717,"Оказание услуги по приобретению программного обеспечения VipNet Client 4U for Linux, сеть 604"
139,136,176200005524000348,Оказание услуг по внедрению и предоставлению неисключительных (пользовательских) прав на использование программы для ЭВМ «Автоматизация контрольно-ревизионной деятельности органов государственного (муниципального) финансового контроля (Финансовый контроль-СМАРТ)»
140,137,101300045624000034,"Поставка книг для комплектования книжных фондов Центра детского чтения «Синяя птица» Муниципального бюджетного учреждения культуры ""Централизованная библиотечная система имени Нины Николаевны Зиминой"" муниципального района Белорецкий район Республики Башкортостан в рамках национального проекта ""Культура"""
141,488,372100003424000138,Оказание услуг по внедрению и сопровождению автоматизированной информационной системы для работы приемной комиссии Университета
142,138,843500000224000925,Поставка знаков почтовой оплаты (почтовых марок)
143,139,843500000224000923,Оказание услуг по предоставлению лицензий на право использовать компьютерное программное обеспечение Kaspersky Endpoint Security для бизнеса – Стандартный Russian Edition
144,140,820500000824001183,"Оказание услуг по сопровождению региональной информационной системы Приморского края «Автоматизированная информационная система в сфере закупок «Веб-Торги», с предоставлением неисключительных (пользовательских) прав на использование"
145,141,318300017524000059,Оказание услуг по размещению информационных материалов в печатных средствах массовой информации
146,159,387200013024000036,Предоставление неисключительных прав (лицензий) на программное обеспечение для защиты ИСПДн
147,142,329200062224001422,Оказание услуг по продлению неисключительных лицензионных прав на использование антивирусного программного обеспечения Kaspersky Endpoint Security
148,143,302300075624000009,Оказание услуг по продлению действия лицензии антивирусного продукта «Dr. Web Desktop Security Suite (Комплексная защита + Центр управления)» для нужд МКУ «Хозяйственник» МО «Муйский район»
149,144,161300000124000150,Поставка государственных знаков почтовой оплаты
150,145,318200078424000141,"Продление установленной срочной неисключительной лицензии  на программное обеспечение ""Эконом Эксперт. Договоры"""
151,146,351300038424000002,Поставка учебной литературы
152,147,167300007824000003,Приобретение (поставка) знаков почтовой оплаты Российской Федерации (маркированных конвертов и почтовых марок) для нужд администрации Сладковского муниципального района Тюменской области
153,149,843500000224000913,Простая (неисключительная) лицензия на использование программного обеспечения
154,150,349300057124000038,Поставка марок почтовых
155,151,339100002524000006,"Конверты почтовые бумажные (маркированных конвертов с литерой ""А""), почтовых марок"
156,152,254100000124000033,Поставка марок почтовых
157,153,822500000324000014,Передача неисключительного права на использование программного обеспечения
158,154,129100004224000010,Услуги связи для проведения Выборочного обследования  сельскохозяйственной деятельностью личных подсобных и других индивидуальных хозяйств граждан
159,155,129100004224000008,Услуги связи для проведения Выборочного наблюдения доходов населения и участия в социальных программах
160,156,139200000124002731,Передача  неисключительных (пользовательских) прав на программное обеспечение
161,157,368300000124000373,"Поставка учебников в рамках муниципальной целевой программы «Развитие и модернизация образования в муниципальном образовании «город Ульяновск»,"
162,158,179200001924000104,"Поставка знаков почтовой оплаты (почтовые марки, маркированные конверты с литерой А)"
163,160,103100017424000002,Оказание информационных услуг по использованию системы Контур-экстерн
164,161,333300011324000105,Оказание услуг по продлению лицензии на антивирусное программное обеспечение Kaspersky Endpoint Security для бизнеса – Стандартный Russian Edition
165,162,190200000324002559,"Оказание услуг по предоставлению права использования программного обеспечения, предназначенного для видеоидентификации на основании данных видеонаблюдения"
166,163,368300000124000378,Поставка учебников печатных общеобразовательного назначения
167,164,109100003324000009,Поставка знаков почтовой оплаты
168,165,373100103924000013,Поставка научных книжных изданий зарубежных издательств К05-2024
169,166,372200247724000005,Оказание услуг по передаче неисключительных прав на использование лицензионного программного обеспечения  для нужд Второй Санкт-Петербургской Гимназии в 2024 году
170,167,145200000424000281,Выполнение работ по миграции основного центра обработки вызовов ТР АИУС «Система - 112 ЛО» на импортозамещенную операционную систему
171,168,860200000824001594,Оказание услуг по предоставлению неисключительных (пользовательских) прав на антивирусное программное обеспечение (продление лицензии)
