ord_id,ord_no,ord_title,preds,score
33,816500000624002716,"Передача неисключительных прав на использование программного обеспечения (программного продукта) для центрального программно-технического комплекса автоматизированной дактилоскопической информационной системы ""Папилон""",0,0.99944
34,187200001724000197,Выполнение работ по развитию программно-аппаратного комплекса дистанционного мониторинга и раннего обнаружения пожаров в Ханты-Мансийском автономном округе – Югре (ПАК «Лесохранитель»),0,0.99901
36,137300002324000008,Поставка почтовых марок (44зк-05/24ртс),0,0.99915
37,820500000824001157,Оказание услуг по сопровождению и обеспечению эксплуатации Единой централизованной информационной системы Приморского края по бухгалтерскому учету и отчетности с предоставлением неисключительных (пользовательских) прав на использование программ для ЭВМ,0,0.99947
38,149200002324001201,Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение (операционная система),0,0.99948
39,869200000224001654,Оказание услуги по приобретению программного обеспечения СКЗИ «КриптоПро CSP» версии 5.0,0,0.99948
1424,304200015124000018,Оказание услуг по передаче неисключительных прав (лицензий) на антивирусное программное обеспечение,0,0.99949
40,149200002324001200,Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение,0,0.99948
41,221100003024000024,"Оказание услуг по продлению неисключительных (пользовательских) лицензионных прав на программное компьютерное обеспечение ""1С -Битрикс: Управление сайтом - Стандарт"" для нужд ТФОМС СК",0,0.99947
42,859200001124001466,Приобретение знаков почтовой оплаты,0,0.99923
43,344300032824000003,"Услуги по поставке и внедрению программного обеспечения, предназначенного для автоматизации деятельности административных комиссий",0,0.99881
1926,128100001424000001,Лицензии на программное обеспечение,0,0.99939
44,168300013024000079,Поставка учебников,0,0.99878
45,129200005324000614,Оказание услуг по сопровождению государственной информационной системы обеспечения градостроительной деятельности Волгоградской области и предоставлению неисключительных прав на дополнительные модули,0,0.99924
46,372200020424000003,Поставка почтовых марок и маркированных конвертов для нужд СПб ГКУЗ «ПНД № 4» в 2024 году.,0,0.99945
47,335300022424000047,Оказание услуг по продлению неисключительного права на использование антивирусного программного обеспечения,0,0.99949
48,372200123424000030,Оказание услуг по передаче неисключительных прав использования программного комплекса «Web-система СБИС»,0,0.99947
49,856200000524000001,Предоставление лицензия простой (неисключительной) на программное обеспечение Эконом-Эксперт,0,0.99948
50,120600008224000023,"Поставка знаков почтовой оплаты, маркированных почтовых конвертов с литерой А и литерой Д для нужд администрации Черниговского округа",0,0.99583
51,372200000924000074,"Оказание услуг по сопровождению программного обеспечения ""Медицинская информационная система qMS""",0,0.99946
52,869200000224001632,"Оказание услуг по передаче права использования электронной базы данных на условиях простой (неисключительной) лицензии, содержащей методические и справочные материалы, нормативно-правовые документы по основным направлениям деятельности главного бухгалтера и финансового специалиста государственного и муниципального учреждения для принятия квалифицированных решений по тематике учета, отчетности, бюджетного контроля, применения бюджетной классификации.",0,0.99943
94,179300012624000001,"Оказание услуг по продлению неисключительного права на использование действующего лицензионного антивирусного программного обеспечения ""Kaspersky Endpoint Security"" для бизнеса - расширенный",0,0.99949
53,141100000624000007,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении выборочного обследования сельскохозяйственной деятельности личных подсобных и других индивидуальных хозяйств граждан,0,0.99753
54,141100000624000006,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении выборочного статистического наблюдения рабочей силы,0,0.99696
55,141100000624000004,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении выборочного наблюдения использования суточного фонда времени населением,0,0.97344
56,141100000624000005,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении выборочного наблюдения доходов населения и участия в социальных программах,0,0.82241
58,141100000624000003,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении комплексного наблюдения условий жизни населения,1,0.63848
59,141100000624000002,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении выборочного федерального статистического наблюдения по вопросам использования населением информационных технологий и информационно-телекоммуникационных сетей,0,0.69218
60,141100000624000001,Поставка знаков почтовой оплаты Российской Федерации (почтовые марки) для обеспечения работ при проведении выборочного наблюдения состояния здоровья населения,0,0.96396
61,121300045724000036,Поставка конвертов маркированных почтовых и государственных знаков почтовой оплаты в целях обеспечения деятельности администрации Минераловодского муниципального округа Ставропольского края,0,0.96151
95,137100001124000007,услуги по обновлению и сопровождению справочно-правовых систем,0,0.99943
62,335200014924000570,Оказание услуг по расширению простых неисключительных лицензий на имеющееся у заказчика программное обеспечение СУО «Дамаск».,0,0.99951
63,301200067524000037,Оказание услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение «Крипто-Про»,0,0.9995
64,141300007424000015,На поставку программного обеспечения Kaspersky Endpoint Security для бизнеса - Стандартный продление на 1 год для нужд администрации городского округа город Буй Костромской области,0,0.99948
65,169300028124000061,Оказание услуг по предоставлению неисключительных (пользовательских) прав на использование программы для ЭВМ «Подсистема формирования реестра расходных обязательств (РРО-СМАРТ)»,0,0.99949
66,319200043024000026,"«Поставка государственных знаков почтовой оплаты Российской Федерации (марки почтовые, маркированные почтовые конверты) для нужд КГБУЗ «Красноярское краевое бюро судебно-медицинской экспертизы» в 2024 году»",0,0.9968
67,307200015924000151,"Поставка почтовых марок для нужд ГУ РК ""Клинический кардиологический диспансер"" в 2024 году",0,0.9989
68,332200021124000020,"Поставка канцелярских товаров для нужд ГБУЗ НО ""НОКПД""",0,0.99948
69,301200058824000012,Поставка почтовых марок,0,0.99933
70,335300045424000010,на передачу неисключительных прав на использование Dallas Lock Linux/Dallas Lock 8.0-K,0,0.99947
71,169300000324000410,Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение контент-фильтрации с ограниченным сроком действия,0,0.99943
106,851200000624001206,Оказание услуг по предоставлению (передаче) права использования программного обеспечения (программ для ЭВМ) для нужд участников взаимодействия в рамках ТИС НСО на условиях простой (неисключительной) лицензии (неисключительного (пользовательского) права),0,0.99944
72,356500003024000004,"Оказание услуг по продлению неисключительных прав на использование программного обеспечения ""Платформа NanoCAD"" и  ""NanoCAD СПДС""",0,0.99947
73,349100009324000004,Оказание услуг по обновлению Автоматизированной информационной системы «Социально - гигиенический мониторинг»,0,0.99936
74,861300006424000005,Оказание услуг по предоставлению неисключительных прав пользования лицензионным программным обеспечением.,0,0.99949
75,301200081224000016,Оказание услуг по продлению неисключительных (пользовательских) прав на использование антивирусного программного обеспечения на условиях простой (неисключительной) лицензии,0,0.99947
114,361200015024001058,"Оказание услуг по сопровождению региональной информационной системы в сфере закупок товаров, работ, услуг для обеспечения нужд Сахалинской области с предоставлением неисключительных прав на использование программ для ЭВМ в 2024 году",0,0.99947
76,372200107524000005,"Поставка учебных пособий и прописей для нужд ГБОУ школа №684 ""Берегиня"" Московского района Санкт-Петербурга в 2024г.",0,0.99913
77,318300300524000009,Оказание услуг по предоставлению неисключительных прав (лицензия) на продление антивирусного программного обеспечения,0,0.99948
78,368300000124000364,Поставка учебников для надлежащего обеспечения учебного процесса.,0,0.99887
79,372200007224000011,Предоставление неисключительных прав на использование лицензионного программного обеспечения Dallas Lock для для нужд СПб ГБУ «ЦБС Петроградского района» в рамках реализации мероприятий по модернизации общедоступных библиотек Санкт-Петербурга на 2024 год,0,0.99946
80,149200002324001122,Оказание услуг по предоставлению лицензии на использование программного обеспечения модулей Directum RX,0,0.99948
81,367100008824000013,"Закупка в сфере ИКТ. Предоставление неисключительного (пользовательского) права на использование и сопровождение программ для эвм: ""Учет и администрирование поступлений в бюджетную систему (Администратор - Д) в архитектуре СМАРТ""",0,0.99939
82,358200055824000026,Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение (Закупка программного обеспечения - системы управления инцидентами на 1 год),0,0.99943
83,158200003824000018,Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение  на подсистему «EOSmobile» для межведомственной системы электронного документооборота и делопроизводства «Дело»,0,0.99945
84,162300002724000030,Услуги по передаче прав на использование (простая неисключительная лицензия) новых версий программного обеспечения DIRECTUMRX,0,0.99941
107,862300039624000050,Поставка государственных знаков почтовой оплаты (марки почтовые),0,0.99757
85,162300002724000028,"Услуги по продлению лицензии и сопровождение ПК ""Плательщики и уплаченные доходы""",0,0.99942
86,162300002724000026,Предоставление неисключительных (пользовательских) прав на использование автоматизированной информационной системы управления муниципальными закупками,0,0.99946
87,190200000324002473,Оказание услуг по предоставлению простой (неисключительной) лицензии на право использовать компьютерное программное обеспечение,0,0.99948
88,303500002824000005,оказание услуг по представлению доступа к информации системы высокоточного позиционирования на основе систем ГЛОНАСС/GPS,0,0.99938
89,145200002124000016,Предоставление права использования (простая (неисключительная) лицензия) программы для ЭВМ для проверки контрагентов,0,0.99949
90,162300018024000064,оказание услуг по предоставлению прав использования программных продуктов облачных сервисов,0,0.99939
91,826500000924001268,Оказание услуг по продлению неисключительных прав (лицензии) на использование антивирусного программного обеспечения Kaspersky,0,0.99948
92,358600004924000004,Услуга по продлению неисключительных (ограниченных) прав на программное обеспечение для антивирусной защиты Dr.Web,0,0.99947
93,162300003624000009,"Предоставление неисключительных прав на использование программы для ЭВМ ""WEB-Торги-КС""",0,0.99947
108,851200000624001204,Оказание услуг по предоставлению (передаче) права использования программного обеспечения (программ для ЭВМ) для нужд участников взаимодействия в рамках ТИС НСО на условиях простой (неисключительной) лицензии (неисключительного (пользовательского) права),0,0.99944
96,372200052824000012,"Поставка средств защиты информации, оказание услуг и выполнение работ в сфере информационной безопасности",0,0.99861
97,368300000124000372,Поставка учебников печатных общеобразовательного назначения,0,0.99935
98,351200023724000040,"Поставка полиграфической продукции в рамках программы развития студенческих инициатив ""Действуй""",0,0.99939
99,175200002824000001,Поставка государственных знаков почтовой оплаты (марка почтовая),0,0.99714
100,162200010024000001,Поставка марок почтовых и маркированных конвертов.,0,0.99915
101,369300149924000003,печатная продукция,0,0.99553
102,869600056224000065,Оказание услуг по предоставлению лицензий на право использовать антивирусное программное обеспечение,0,0.99949
103,366200035624001297,Оказание услуг по передаче неисключительных прав (лицензии) на использование программного обеспечения (ПО),0,0.99947
104,204100000424000010,Оказание услуг по передаче неисключительного права (лицензии) использования Базы данных электронной системы «Госфинансы»,0,0.99946
105,204100000424000008,Оказание услуг по передаче неисключительного права (лицензии) использования Базы данных электронной системы «Охрана труда»,0,0.99946
109,108500000424000775,"Оказание услуг по предоставлению лицензия на «Межсетевой экран с системой обнаружения вторжений Ideco UTM» 100 пользователей с сертификатом ФСТЭК (продление подписки Security Update: AC, IPS, CF, обновления, поддержка)",0,0.99948
110,121600013924000046,"Оказание услуг по годовой подписке на обновление версии ПК ""ГРАНД-Смета"" и годовой подписке на обновление БД «ФСНБ-2022»",0,0.99937
111,158300024624000005,"Оказание услуги по передаче прав использования электронной базы данных на условиях простой (неисключительной) лицензии - Электронная система «Госфинансы» ВИП-версия, Электронная система «Госзаказ» тариф «Премиальный», Кадровая справочная система – Система кадры (для бюджетных организаций)",0,0.99946
112,260100000424000007,Оказание услуги по предоставлению лицензии на право использовать компьютерное программное обеспечение - программное средство фильтрации негативного контента Kaspersky Security для почтовых серверов.,0,0.99948
113,846600001924000040,Поставка книжной продукции для комплектования книжного фонда библиотек,0,0.99773
115,310200000324000581,"Оказание услуг по передаче неисключительных (пользовательских) прав на использование программного обеспечения Модуль ""Замещение должностей""",0,0.99947
116,851200000624001189,Оказание услуг по масштабированию программного продукта автоматизированная система «Смета»,0,0.99928
117,116300007024000002,"Предоставление неисключительных (пользовательских) прав на программу для ЭВМ:""Подсистема размещения государственного или муниципального заказа путем проведения торгов (аукционов) в электронной форме (Веб-Торги-КС)"" с оказанием услуг по сопровождению.",0,0.9995
118,162300035324000002,"Оказание услуг по производству и размещению информационных и аналитических материалов о деятельности Думы Асбестовского городского округа в печатном средстве массовой информации, зарегистрированном в установленном законодательством РФ порядке в качестве средства массовой информации, распространяемого на территории Асбестовского городского округа",0,0.98265
119,334100000124000004,"Предоставление неисключительных прав (простой неисключительной лицензии) на использование баз данных Электронной Системы ""Госзаказ""",0,0.99947
148,175200001524000009,Услуги по продлению срока действия неисключительного непередаваемого права на использование программного обеспечения Dr.Web Security Suite,0,0.99947
120,356500003024000005,Оказание услуг по продлению срока действия неисключительных прав использования лицензионной программы антивирусной защиты «Kaspersky Endpoint Security для бизнеса – Стандартный Russian Edition. 100-149 Node 1 year Renewal License» с расширением до 110 мест,0,0.99947
121,846600001624000028,Поставка почтовых марок и маркированных конвертов,0,0.99936
122,122300006324000018,Поставка книг печатных,0,0.99937
123,108500000424000773,Оказание услуг по передаче неисключительных прав на продление антивирусного программного обеспечения Kaspersky Endpoint Security для бизнеса – Расширенный Russian Edition.,0,0.99949
124,190300000224000075,Предоставление неисключительных (пользовательских) прав на программное обеспечение средство анализа защищенности,0,0.99948
2034,118200000124000002,Оказание услуг по техническому сопровождению программного обеспечения,0,0.99942
125,134500003824000001,"Оказание услуг по предоставлению права использования электронных баз данных на условиях простой (неисключительной) лицензии электронных систем  «Госфинансы», «Госзаказ» и «Кадровая Справочная Система «Система Кадры» (ИКТ)",0,0.99946
126,330300051224000036,Оказание услуг по передаче права использования электронной базы данных на условиях простой (неисключительной) лицензии,0,0.99947
127,172300002924000011,"Марки почтовые негашеные, гербовые и аналогичные марки; Конверты, письма-секретки",0,0.99907
128,843500000224000933,"Поставка почтовых маркированных конвертов, марок почтовых не гашеных, гербовых и аналогичных",0,0.9993
129,360100006324000004,Поставка знаков почтовой оплаты Российской Федерации (почтовых марок),1,0.66139
130,351300298324000084,"Поставка информационных материалов по профилактике терроризма и экстремизма, а также минимизации и (или) ликвидации проявлений терроризма и экстремизма",0,0.53277
131,372100054724000009,Предоставление неисключительных прав на программное обеспечение для видеоконференций,0,0.99948
132,132300007524000157,Услуги по предоставлению на условиях простой (неисключительной) лицензии права на использование программ для ЭВМ и баз данных,0,0.99947
133,387200026124000021,Оказание услуг по предоставлению лицензий на право использовать компьютерное программное обеспечение1600,0,0.99948
134,869200000224001720,"Оказание услуг по продлению неисключительных прав использования базы данных Электронной системы ""Госфинансы"" версия ВИП для бюджетных учреждений",0,0.99947
135,869200000224001717,"Оказание услуги по приобретению программного обеспечения VipNet Client 4U for Linux, сеть 604",0,0.99945
136,176200005524000348,Оказание услуг по внедрению и предоставлению неисключительных (пользовательских) прав на использование программы для ЭВМ «Автоматизация контрольно-ревизионной деятельности органов государственного (муниципального) финансового контроля (Финансовый контроль-СМАРТ)»,0,0.99948
137,101300045624000034,"Поставка книг для комплектования книжных фондов Центра детского чтения «Синяя птица» Муниципального бюджетного учреждения культуры ""Централизованная библиотечная система имени Нины Николаевны Зиминой"" муниципального района Белорецкий район Республики Башкортостан в рамках национального проекта ""Культура""",0,0.99555
488,372100003424000138,Оказание услуг по внедрению и сопровождению автоматизированной информационной системы для работы приемной комиссии Университета,0,0.99796
138,843500000224000925,Поставка знаков почтовой оплаты (почтовых марок),0,0.99685
139,843500000224000923,Оказание услуг по предоставлению лицензий на право использовать компьютерное программное обеспечение Kaspersky Endpoint Security для бизнеса – Стандартный Russian Edition,0,0.99949
140,820500000824001183,"Оказание услуг по сопровождению региональной информационной системы Приморского края «Автоматизированная информационная система в сфере закупок «Веб-Торги», с предоставлением неисключительных (пользовательских) прав на использование",0,0.99936
141,318300017524000059,Оказание услуг по размещению информационных материалов в печатных средствах массовой информации,0,0.96875
159,387200013024000036,Предоставление неисключительных прав (лицензий) на программное обеспечение для защиты ИСПДн,0,0.99947
142,329200062224001422,Оказание услуг по продлению неисключительных лицензионных прав на использование антивирусного программного обеспечения Kaspersky Endpoint Security,0,0.99948
143,302300075624000009,Оказание услуг по продлению действия лицензии антивирусного продукта «Dr. Web Desktop Security Suite (Комплексная защита + Центр управления)» для нужд МКУ «Хозяйственник» МО «Муйский район»,0,0.99946
144,161300000124000150,Поставка государственных знаков почтовой оплаты,0,0.99885
145,318200078424000141,"Продление установленной срочной неисключительной лицензии  на программное обеспечение ""Эконом Эксперт. Договоры""",0,0.99948
146,351300038424000002,Поставка учебной литературы,0,0.99921
147,167300007824000003,Приобретение (поставка) знаков почтовой оплаты Российской Федерации (маркированных конвертов и почтовых марок) для нужд администрации Сладковского муниципального района Тюменской области,0,0.99199
149,843500000224000913,Простая (неисключительная) лицензия на использование программного обеспечения,0,0.99944
150,349300057124000038,Поставка марок почтовых,0,0.99919
151,339100002524000006,"Конверты почтовые бумажные (маркированных конвертов с литерой ""А""), почтовых марок",0,0.99895
152,254100000124000033,Поставка марок почтовых,0,0.99919
153,822500000324000014,Передача неисключительного права на использование программного обеспечения,0,0.99947
154,129100004224000010,Услуги связи для проведения Выборочного обследования  сельскохозяйственной деятельностью личных подсобных и других индивидуальных хозяйств граждан,0,0.99875
155,129100004224000008,Услуги связи для проведения Выборочного наблюдения доходов населения и участия в социальных программах,0,0.92139
156,139200000124002731,Передача  неисключительных (пользовательских) прав на программное обеспечение,0,0.99948
157,368300000124000373,"Поставка учебников в рамках муниципальной целевой программы «Развитие и модернизация образования в муниципальном образовании «город Ульяновск»,",0,0.9987
158,179200001924000104,"Поставка знаков почтовой оплаты (почтовые марки, маркированные конверты с литерой А)",0,0.99882
160,103100017424000002,Оказание информационных услуг по использованию системы Контур-экстерн,0,0.9993
161,333300011324000105,Оказание услуг по продлению лицензии на антивирусное программное обеспечение Kaspersky Endpoint Security для бизнеса – Стандартный Russian Edition,0,0.99949
162,190200000324002559,"Оказание услуг по предоставлению права использования программного обеспечения, предназначенного для видеоидентификации на основании данных видеонаблюдения",0,0.99945
