Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0154200001023000047;Электронный аукцион;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Систем КонсультантПлюс;;'232575302093657530100100560016203244';;;176624.76;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;ОРЛОВСКИЙ ОБЛАСТНОЙ СОВЕТ НАРОДНЫХ ДЕПУТАТОВ;ОРЛОВСКИЙ ОБЛАСТНОЙ СОВЕТ НАРОДНЫХ ДЕПУТАТОВ;28.12.2023;10.01.2024;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;28.12.2023;10.01.2024;
223-ФЗ;№32413162434;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Приобретение неисключительных прав (продление лицензий) на использование системы обнаружения и предотвращения атак на веб-приложения;;;1;Приобретение неисключительных прав (продление лицензий) на использование системы обнаружения и предотвращения атак на веб-приложения;3428880.00;RUB;;;;;62.01.29.000: Оригиналы программного обеспечения прочие;62.01.29.000: Оригиналы программного обеспечения прочие;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПРЕДОСТАВЛЕНИЯ ГОСУДАРСТВЕННЫХ И МУНИЦИПАЛЬНЫХ УСЛУГ""";;10.01.2024;10.01.2024;Закупка завершена;;10.01.2024;17.01.2024;
44-ФЗ;№0371100010923000028;Электронный аукцион;Оказание услуг по информационному сопровождению и обслуживанию ранее установленной и используемой версии программного продукта справочно-правовой системы Консультант Плюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость информационных услуг с установленными у Заказчика экземплярами для нужд Рыбинской больницы филиала ФБУЗ ПОМЦ ФМБА Росси;;'231526010135276104300100150026203244';;;111096.00;RUB;;;;;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;"РЫБИНСКАЯ БОЛЬНИЦА ФИЛИАЛ ФЕДЕРАЛЬНОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ЗДРАВООХРАНЕНИЯ ""ПРИВОЛЖСКИЙ ОКРУЖНОЙ МЕДИЦИНСКИЙ ЦЕНТР"" ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА";"РЫБИНСКАЯ БОЛЬНИЦА ФИЛИАЛ ФЕДЕРАЛЬНОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ЗДРАВООХРАНЕНИЯ ""ПРИВОЛЖСКИЙ ОКРУЖНОЙ МЕДИЦИНСКИЙ ЦЕНТР"" ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА";29.12.2023;10.01.2024;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;29.12.2023;10.01.2024;
44-ФЗ;№0162100004023000323;Запрос котировок в электронной форме;Услуги по управлению компьютерным оборудованием (Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс,  оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс));;'231660900206966830100100610050000244';;;346125.84;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИКО - САНИТАРНАЯ ЧАСТЬ № 32"" ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИКО - САНИТАРНАЯ ЧАСТЬ № 32"" ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА";21.12.2023;10.01.2024;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;21.12.2023;09.01.2024;
223-ФЗ;№32413163196;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;"Оказание услуг по адаптации и сопровождению экземпляров системы КонсультантПлюс для нужд филиала ППК ""Роскадастр"" по Астраханской области";;;1;"Оказание услуг по адаптации и сопровождению экземпляров системы КонсультантПлюс для нужд филиала ППК""Роскадастр"" по Астраханской области";176440.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"ПУБЛИЧНО-ПРАВОВАЯ КОМПАНИЯ ""РОСКАДАСТР""";;10.01.2024;10.01.2024;Закупка завершена;;10.01.2024;18.01.2024;
44-ФЗ;№0853500000323011674;Электронный аукцион;Оказание услуги по освещению деятельности депутатов, депутатских объединений, комитетов Законодательного Собрания Оренбургской области в печатных СМИ, в социальных сетях;;'232561005475056100100101190016399244';;;1999967.00;RUB;;;;;63.99.10.130: Услуги по сбору и обобщению фактов и информации, кроме списков адресатов;63.99.10.130: Услуги по сбору и обобщению фактов и информации, кроме списков адресатов;ЗАКОНОДАТЕЛЬНОЕ СОБРАНИЕ ОРЕНБУРГСКОЙ ОБЛАСТИ;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ОРЕНБУРГСКОЙ ОБЛАСТИ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК""";25.12.2023;10.01.2024;Определение поставщика завершено;;25.12.2023;10.01.2024;
223-ФЗ;№32413163145;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Срочное неисключительное право на программное обеспечение « Эконом-Эксперт. Договоры»,2 рабочих мест, 1 заказчик+сопровождение, 1 год.;;;1;Срочное неисключительное право на программное обеспечение « Эконом-Эксперт. Договоры»,2 рабочих мест, 1 заказчик+сопровождение, 1 год.;60000.00;RUB;;;;;62.01.29: Оригиналы программного обеспечения прочие;62.01.29: Оригиналы программного обеспечения прочие;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КОМИ ""ИЖЕМСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";;10.01.2024;10.01.2024;Закупка завершена;;10.01.2024;22.01.2024;
44-ФЗ;№0873400003523000179;Запрос котировок в электронной форме;"Оказание услуг по обеспечению функционирования, поддержания в актуальном состоянии специализированного комплекса программных средств, в том числе: -подсистема учета исполнения бюджета ""1С: Бухгалтерия государственного учреждения""";;'231972929316877290100101810016202000';;;900000.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 52581""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 52581""";25.12.2023;10.01.2024;Определение поставщика завершено;;25.12.2023;09.01.2024;
223-ФЗ;№32413160954;Закупка у единственного поставщика (подрядчика, исполнителя);"Оказание услуг на внедрение информационно-справочной системы для нужд отдела аккредитации, метрологии и стандартизации ФБУЗ ""Центр гигиены и эпидемиологии в Республике Саха (Якутия)""";;;1;"Базовые нормативные документы ИСС «Техэксперт» для нужд отдела аккредитации, метрологии и стандартизации ФБУЗ ""Центр гигиены и эпидемиологии в Республике Саха (Якутия)""";600000.00;RUB;;;;;63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов;63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ В РЕСПУБЛИКЕ САХА (ЯКУТИЯ)""";;10.01.2024;10.01.2024;Закупка завершена;;10.01.2024;;
44-ФЗ;№0846500000823000008;Электронный аукцион;Оказание услуг по адаптации и сопровождению  экземпляров Систем КонсультантПлюс;;'232482514328648250100100100016202242';;;221805.00;RUB;;;;;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;"ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БУХГАЛТЕРСКОГО УЧЕТА В СФЕРЕ СОЦИАЛЬНОЙ ПОЛИТИКИ""";"ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БУХГАЛТЕРСКОГО УЧЕТА В СФЕРЕ СОЦИАЛЬНОЙ ПОЛИТИКИ""";26.12.2023;10.01.2024;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;26.12.2023;09.01.2024;
44-ФЗ;№0172300010323000028;Электронный аукцион;Оказание информационных услуг с использованием экземпляров систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость информационных услуг с установленными у Заказчика экземплярами систем КонсультантПлюс в 2024 году;;'233781730465878170100100380026202244';;;211828.80;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ САНКТ - ПЕТЕРБУРГА ПОСЕЛОК МЕТАЛЛОСТРОЙ;МЕСТНАЯ АДМИНИСТРАЦИЯ ВНУТРИГОРОДСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ САНКТ - ПЕТЕРБУРГА ПОСЕЛОК МЕТАЛЛОСТРОЙ;27.12.2023;10.01.2024;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;27.12.2023;09.01.2024;
44-ФЗ;№0372200080823000265;Электронный аукцион;Оказание услуг по настройке, модификации, обслуживанию ранее установленного программного комплекса «Web-система СБИС»;;'232781901767378190100100600480000000';;;17033.33;RUB;;;;;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ СТАЦИОНАРНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ №2""";"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ СТАЦИОНАРНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ ""ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ №2""";22.12.2023;10.01.2024;Определение поставщика завершено;;22.12.2023;10.01.2024;
223-ФЗ;№32413163041;Прочие;Оказание услуг по сопровождению программного обеспечения.;;;1;оказание услуг по сопровождению программного обеспечения ;67200.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АПТЕКА № 51""";;10.01.2024;10.01.2024;Закупка завершена;;10.01.2024;;
223-ФЗ;№32413162647;Прочие;«Оказание услуг на продление неисключительных прав использования базы данных Электронная система «Госфинансы» для субъектов малого и среднего предпринимательства;;;1;«Оказание услуг на продление неисключительных прав использования базы данных Электронная система «Госфинансы» для субъектов малого и среднего предпринимательства;52044.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ САРАТОВСКОЙ ОБЛАСТИ ""ИСТОРИЧЕСКИЙ ПАРК ""МОЯ ИСТОРИЯ""";;10.01.2024;10.01.2024;Закупка завершена;;10.01.2024;;
44-ФЗ;№0862600015023000005;Электронный аукцион;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс);;'233668000821366800100100320016203244';;;200289.54;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР УЧЕТА ЖИЛЬЯ И РАСЧЕТА СОЦИАЛЬНЫХ ВЫПЛАТ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР УЧЕТА ЖИЛЬЯ И РАСЧЕТА СОЦИАЛЬНЫХ ВЫПЛАТ""";31.12.2023;10.01.2024;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;31.12.2023;09.01.2024;
223-ФЗ;№32413163005;Прочие;"Оказание консультационных услуг по работе с программными продуктами 1С: 1С:Бухгалтерия государственного учреждения 8; 1С:Зарплата и кадры государственного учреждения";;;1;"Оказание консультационных услуг по работе с программными продуктами 1С: 1С:Бухгалтерия государственного учреждения 8; 1С:Зарплата и кадры государственного учреждения";144000.00;RUB;;;;;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КРЫМ ""МЕДИАЦЕНТР ИМ. ИСМАИЛА ГАСПРИНСКОГО""";;10.01.2024;10.01.2024;Закупка завершена;;10.01.2024;;
44-ФЗ;№0319100000223001033;Электронный аукцион;На оказание услуг по сопровождению в эксплуатации функционирующей медицинской информационной системы;;'231246622853324660100100120210000244';;;1790880.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ ЦЕНТР СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ (Г. КРАСНОЯРСК)";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ ЦЕНТР СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ (Г. КРАСНОЯРСК)";27.12.2023;10.01.2024;Определение поставщика завершено;;27.12.2023;09.01.2024;
