Реестровый номер закупки,Наименование закупки,Классификация по ОКПД2,Дата размещения
№0173200001423001451,Выполнение работ по развитию государственной информационной системы: информационная система публикации данных и приема сообщений пользователей и поддержание ее работоспособности в 2023-2024 гг.,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения; 62.02.30.000: Услуги по технической поддержке информационных технологий,21.09.2023
№0173200001423001454,"Выполнение работ по развитию государственной информационной системы: автоматизированная информационная система «Регулирование перемещения отходов строительства, сноса и грунтов в городе Москве» (4-я очередь)",62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,21.09.2023
№0373200640923000072,Выполнение работ по развитию государственной информационной системы: автоматизированная информационная система «Портал самообслуживания кластера информационно-технологических решений Департамента информационных технологий города Москвы» в 2023 году,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,27.09.2023
№0818500000823006624,"Оказание услуг по сопровождению автоматизированных информационных систем Единый центр услуг, Портал государственных и муниципальных услуг (функций) Краснодарского края, Реестр государственных услуг (функций) Краснодарского края",62.02.30.000: Услуги по технической поддержке информационных технологий,27.09.2023
№0167200003423007088,Оказание услуг по техническому обслуживанию системы голосовых коммуникаций,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",29.09.2023
№0873500000623000028,"Оказание услуг по внедрению в организациях, подведомственных Департаменту здравоохранения города Москвы, модели централизации учетной деятельности сервиса «Система консолидированного управленческого учета» автоматизированной информационной системы города Москвы «Единая медицинская информационно-аналитическая система города Москвы» (2-я очередь)",62.02.10.000: Услуги консультативные по компьютерному оборудованию,27.09.2023
№32312766473,Предоставление права на использование отечественного программного обеспечения для виртуализации и передачу сертификатов на техническую поддержку программного обеспечения,62.01: Продукты программные и услуги по разработке и тестированию программного обеспечения,15.09.2023
№0187200001723001568,Оказание услуг по сопровождению компонента «Учет смертности и рождаемости населения Ханты-Мансийского автономного округа – Югры» государственной информационной системы «центральный узел регионального сегмента единой государственной информационной системы в сфере здравоохранения Ханты-Мансийского автономного округа – Югры»,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки",19.09.2023
№0173100009623000135,Оказание услуг по технической поддержке систем внутреннего контура интернет-ресурса Государственной Думы Федерального Собрания Российской Федерации (официального сайта)(закупка в сфере ИКТ),62.02.30.000: Услуги по технической поддержке информационных технологий,25.09.2023
№0373100005823000009,"Оказание услуг по развитию и модернизации информационной системы оказания государственной услуги «Выдача специальных разрешений на автомобильную перевозку крупногабаритных и (или) тяжеловесных грузов» в части осуществления выдачи специальных разрешений в электронном виде в рамках ""Одного окна"" и создание отдельного сервиса для перевозчиков по формированию маршрута движения без подачи заявления",62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем,27.09.2023
№0173100008723000067,"Оказание услуг по техническому сопровождению программных средств системы автоматизации делопроизводства и электронного документооборота Счетной палаты Российской Федерации (САДЭД «Дело») ",62.03.12.130: Услуги по сопровождению компьютерных систем,29.09.2023
№0356500001723000030,"Оказание услуг по сопровождению и эксплуатации государственной региональной информационной системы обеспечения градостроительной деятельности с функциями автоматизированной информационно-аналитической поддержки осуществления полномочий в области градостроительной деятельности Пермского края ",62.03.12.130: Услуги по сопровождению компьютерных систем,22.09.2023
№0187200001723001720,Оказание услуг по техническому сопровождению подсистемы «Автоматизация процесса питания учащихся в общеобразовательных организациях Ханты-Мансийского автономного округа – Югры» и подсистемы «Электронный детский сад»,62.03.12.130: Услуги по сопровождению компьютерных систем,29.09.2023
№0387200013023000207,Оказание услуг по сопровождению медицинской информационной системы «Югра»,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",29.09.2023
№0329200062223007212,Выполнение работ по внедрению и эксплуатации автоматизированной информационной системы управления парковочным пространством,"63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов; 62.01.29.000: Оригиналы программного обеспечения прочие",04.09.2023
