,word,number_of_word
4447,ГО,33
5070,поддержка,33
2556,АВ,33
4465,ПАО,33
2573,платформы,32
2455,ЭА,32
6292,инфраструктуры,32
3916,обеспечивающие,32
4299,местного,32
4890,посредством,32
3766,культурном,32
5823,лицензий,31
6623,электронном,31
6990,учреждений,31
4936,учреждении,31
194,содержащего,31
4561,Программных,31
1875,состав,31
1951,неисключительная,30
1739,Баз,30
5720,ПД,30
4822,Омск,30
4405,пользовательских,30
1184,технического,30
4997,обеспечивающих,30
4455,специальных,30
3258,Госфинансы,30
3522,копии,30
1653,Средств,30
1116,сегмента,29
6667,21,29
2088,Россети,29
4293,действия,29
6971,АУ,29
660,Электронный,29
6179,2025,29
2081,средствах,29
4106,ЦРБ,29
6500,ООО,29
4655,Владимирской,29
6778,18,29
1846,поставке,29
4673,аналитической,29
1740,Приобретение,29
6295,Информационная,28
5470,ЛО,28
4547,агентства,28
3207,ИТС,28
4680,РС,28
4261,установке,28
4720,закупка,28
119,платы,28
1243,ПРОФ,28
4225,производства,28
5270,изготовлению,28
3771,соответствии,28
1909,T,28
6977,комплекта,28
5621,автоматизированных,28
3495,2024г,27
1714,ЛИС,27
2735,ОД,27
2627,Медицина,27
1759,получение,27
6202,формируемых,27
3709,справочноправовых,27
5292,Передача,27
5306,активации,27
525,абонентскому,27
1457,разработке,27
4781,прикладного,27
397,модуль,27
3911,информационнотелекоммуникационной,27
2094,единой,27
4923,расчет,27
4875,федерального,27
4810,простая,27
2348,передачи,27
6452,ДО,26
4448,ДИ,26
2940,условиях,26
1686,Минздрава,26
7081,Московской,26
5408,развития,26
6992,Москвы,26
3837,массивов,26
4755,УСЛУГ,26
3028,Центра,25
647,автономного,25
4854,консультационному,25
6317,формированию,25
2908,ДС,25
1086,сообщений,25
2922,ТО,25
3382,взаимодействия,25
1036,ГБОУ,25
2058,самоуправления,25
944,канала,25
6584,сбор,25
7006,Омской,25
3588,Техническое,25
515,16,25
410,ФГБУ,24
4102,МО,24
4912,распространения,24
4941,предпринимательства,24
2870,справочных,24
6097,социальных,24
2139,пользователей,24
371,помощи,24
6088,малого,24
4868,адаптированных,24
2942,Договор,24
6040,внедрению,24
285,информационносправочной,24
3375,Самарская,24
6759,городская,23
6501,печатных,23
5219,оказания,23
3126,информационнотехническому,23
3188,службы,23
1065,Учет,23
5394,контроля,23
5928,Единая,23
1181,1СБухгалтерия,23
3573,видео,23
853,31,23
6122,СОИ,23
1494,делопроизводства,23
6064,нормативно,23
5947,программном,23
6724,тп,23
5344,программному,22
6868,мониторингу,22
213,МедикоСтрахового,22
2428,информационноаналитической,22
6939,областной,22
1321,112,22
6682,компьютерных,22
4629,ИБ,22
4619,защищенного,22
2994,надзор,22
984,САМСОН,22
3434,ГКУ,22
120,Обслуживания,22
5782,Автоматизации,22
3731,продление,22
3735,Населения,22
295,Калужской,22
1212,бюджетном,22
3700,товаров,22
5244,обслуживания,22
1199,Техническая,21
3358,модуля,21
1423,содержащей,21
5089,дополнительных,21
6767,которого,21
5765,доработке,21
6729,РК,21
2780,ГАУ,21
5903,модули,21
1120,13,21
665,СПД,21
901,сеть,21
5032,ресурсов,21
259,ОМС,21
627,20242025,21
3075,среднего,21
4496,отчетности,21
1090,Татарстан,21
3297,СИС,21
5451,медицинского,21
447,Муниципал,21
5683,правовая,20
5726,1СКП,20
3512,АП,20
5373,РИС,20
3384,ГИСЗ,20
4969,СИСТЕМ,20
5235,передачей,20
5505,тестированию,20
2700,значения,20
2966,функциональных,20
2197,комитет,20
5819,Смета,20
1983,простого,20
6639,ПБ,20
7027,единого,20
437,Обслуживание,20
5124,120,20
1225,Спец,20
3877,диспансер,20
2490,комплексов,19
3034,архив,19
4566,криптографической,19
5535,Автоматизированной,19
3010,ГМ,19
5751,компьютерной,19
4787,размещения,19
2867,системой,19
1366,АК,19
3790,качеств,19
4332,рамках,19
2932,продления,19
3897,созданию,19
3030,заработной,19
5515,Информационное,19
1648,Юг,19
3280,эксплуатируемого,19
3147,предоставлением,19
2548,системному,19
4023,экономического,19
2668,событий,19
2629,рабочих,19
4069,медицинских,19
5680,СОИБ,18
3385,РФ,18
3799,Управления,18
6316,Заказчику,18
3829,систему,18
902,является,18
1024,ремонт,18
5605,УР,18
3329,ГУП,18
3946,кадров,18
2412,Катарсис,18
1705,месяцев,18
804,процессов,18
1463,ЗСПД,18
1311,закупок,18
2386,ОКАЗАНИЕ,18
3420,портала,18
5285,МБ,18
2409,Ви,18
3393,копию,18
6891,Справочноправовая,18
2466,антивирусной,18
6713,Республике,18
4780,компонентов,18
6856,версия,18
5022,бизнес,18
3716,АЦК,18
611,200,18
1818,радио,18
6163,расчета,18
3617,ВА,18
2734,скорой,18
1920,специальную,18
2505,АРМ,18
6886,СИМ,18
3161,граждан,18
5688,районная,18
6838,хозяйства,18
5390,ресурса,18
3519,аппаратного,18
6303,ЦГУ,18
4266,информированию,18
5902,Kaspersky,17
6442,газете,17
5036,Ленинградской,17
5596,код,17
3257,публикации,17
263,Эксперт,17
5042,техническое,17
1384,обновление,17
514,опубликованию,17
3836,ресурсе,17
4338,Исполнителем,17
6018,регистра,17
109,программным,17
4247,настройке,17
3532,ЮРИС,17
5637,специализированного,17
1368,28,17
5648,сетевом,17
5755,ГКБ,17
3056,исполнительных,17
695,обновленные,17
4688,Security,17
5388,транспортных,17
5365,Югры,17
707,автоматизированного,17
2921,ФГБОУ,17
2306,гг,17
1071,каналам,17
2254,Финансы,17
1725,29,17
5478,подключению,17
2518,Лаборатория,17
2470,26,17
5520,документа,17
383,территорией,16
4316,организаций,16
5407,ХантыМансийского,16
1615,закупки,16
3535,54,16
3580,ВД,16
1364,управление,16
2272,Больничная,16
136,муниципальном,16
4961,аптека,16
6161,Продление,16
6824,МКУ,16
2640,текстовых,16
5298,Ростовской,16
4906,лицензионных,16
3348,антивирусного,16
2180,технологическое,16
5501,КК,16
1019,ДЗМ,16
4392,обновления,16
6536,50,16
3178,33,16
1626,ЕК,16
4390,Информационной,16
5559,строительной,16
574,Ханты,16
4156,клиническая,15
1509,Закупки,15
1074,платформе,15
5418,ней,15
442,Медицинской,15
2027,поставщика,15
4756,СМП,15
6166,СПБ,15
787,ЭС,15
3123,ТФОМС,15
6155,1СЗарплата,15
7135,Алтай,15
6093,НИИ,15
2658,государственном,15
842,градостроительной,15
5140,83,15
1972,технологического,15
5250,60,15
4813,исполнения,15
888,социальной,15
676,ИСС,15
3989,бизнеса,15
2474,виртуального,15
3814,составе,15
4917,реализации,15
651,жилищно,15
712,контроль,15
5527,Endpoint,15
118,документов,15
71,отдел,15
1000,Государственном,15
1950,процесса,15
2244,смарткомплект,15
2949,карт,15
6249,Министерства,15
4579,выполнение,15
4625,100,15
4699,данным,15
5209,информационным,15
5524,проф,14
5329,ИМЦ,14
1105,возможностей,14
987,спорта,14
1825,центральная,14
1658,КСАМУ,14
590,выпуск,14
6664,Кадры,14
1838,ЕГИС,14
1473,14,14
75,Уф,14
5299,гигиены,14
3954,Св,14
2411,СОПРОВОЖДЕНИЮ,14
3863,нем,14
2226,Волгоградской,14
5416,суде,14
5923,309,14
5653,СПО,14
547,Правительства,14
5778,анализ,14
5574,ФБУЗ,14
1121,АСУ,14
6399,БД,14
5576,информационное,14
2891,интеграции,14
5781,АЦКФинансы,14
6681,информационноконсультационному,14
5583,Новосибирск,14
1165,Краснодарского,14
4151,эпидемиологии,14
6168,МФЦ,14
6132,стоматологическая,14
7126,Виста,14
2751,ЖКХ,14
1332,35,14
1246,деятельность,14
4700,годах,14
5217,74,14
2826,актов,14
5003,данного,13
5756,ВИ,13
5105,ИЗ,13
3979,регионального,13
4460,Документооборот,13
5239,Алтайского,13
5807,политической,13
4845,телеканал,13
5007,ведению,13
3987,Централизованная,13
546,Регионального,13
5715,серверов,13
986,подготовки,13
5221,программнотехнического,13
4795,Запрос,13
5703,оперативного,13
5327,34,13
4519,кода,13
4441,одного,13
4132,Федерального,13
176,СЭД,13
3534,сервисных,13
1806,фотоматериалов,13
3166,межведомственного,13
2408,КОНСУЛЬТАНТ,13
3222,коммуникационных,13
1527,используемого,13
2676,БП,13
6473,Модуль,13
2314,сервисов,13
1483,Адаптация,13
6739,централизованной,13
2281,ПЛЮС,13
3349,депутатов,13
2235,имущества,13
7076,технических,13
1683,события,13
2016,программноаппаратного,13
2,субъектов,13
3445,качестве,13
729,сетях,13
773,работе,13
5491,дублированием,12
1696,ППК,12
4396,Чувашской,12
5593,Поликлиника,12
3272,законодательством,12
4608,пользованию,12
5650,Главы,12
807,ГМУ,12
80,интернетресурсе,12
6304,ЕГИСЗ,12
6234,проекта,12
4581,сбора,12
3874,78,12
139,ЦА,12
4662,документы,12
1969,Саха,12
5121,хозяйственной,12
4992,программной,12
469,Справочной,12
4971,Электронная,12
640,проведения,12
7001,помощь,12
1198,обнаружения,12
6978,надзора,12
4904,странице,12
4885,НПА,12
6955,имени,12
2519,Аналитик,12
1245,Базы,12
6779,44,12
6203,целях,12
5355,Контур,12
4744,общественнополитической,12
3066,функционала,12
4275,СанктПетербургского,12
6143,база,12
302,ежемесячному,12
4019,социальноэкономического,12
566,Договора,12
598,Госзаказ,12
4269,70,11
4549,65,11
3651,Красноярского,11
6694,Ставропольского,11
4687,хранение,11
1722,аукцион,11
4240,бюджетных,11
3003,установленном,11
3024,органа,11
4535,СМАРТ,11
3197,единственного,11
3619,полугодии,11
6538,образование,11
6534,76,11
3069,Дел,11
503,разделе,11
859,защищенной,11
3159,администрированию,11
3729,данными,11
3508,технологической,11
680,Сертификат,11
2511,Стандарт,11
1942,Новосибирской,11
7169,жизни,11
1159,порядке,11
5948,управлению,11
5949,сайтов,11
5976,бюджета,11
1433,хода,11
3969,правил,11
2249,обработке,11
6014,IaaS,11
4964,строительства,11
7020,учреждение,11
886,АПТ,11
4892,реестр,11
5849,мероприятий,11
562,коммунального,11
727,ремонту,11
1334,ПИ,11
1381,транспорта,11
3422,Роскадастр,11
3283,оргтехники,11
3610,актуализации,11
5606,ЮРИСзакупки,11
4257,кадрового,11
3558,Комплект,11
3383,ВистаМЕД,11
4264,абонентское,11
6378,ПРАВ,11
3370,программный,11
978,конфигураций,11
2389,121,10
4263,событиях,10
4376,Расчет,10
6036,субъекты,10
656,SE,10
429,Комплексное,10
2429,бухгалтерия,10
430,Дело,10
2381,финансовохозяйственной,10
3608,только,10
281,Сервер,10
1622,имеющих,10
2678,бюджетным,10
5342,юридически,10
6086,после,10
1771,районе,10
3720,Безопасный,10
6980,труда,10
3218,СИСТЕМЫ,10
2369,ГЛОНАСС,10
6985,ведение,10
5060,SQL,10
5112,формирования,10
1441,620,10
3441,кабинет,10
1970,17,10
166,крае,10
7119,компьютерного,10
5011,Медея,10
7,вычислительных,10
463,АУЗ,10
163,комитета,10
1899,приложения,10
3533,консультационные,10
5993,модифицированных,10
6314,изменению,10
6362,Базовые,10
3513,ресурсам,10
1365,поставки,10
6829,Оптимальный,10
214,Мониторинг,10
379,51,10
3318,Крым,10
6150,адаптированного,10
3232,социального,10
5413,нормативные,10
6622,анализа,10
6602,земель,10
231,передачу,10
945,техническим,10
3906,вопросам,10
3247,КОНСУЛЬТАНТПЛЮС,10
1304,существующей,10
4401,дистанционного,10
948,Информационные,10
115,ДЛЯ,10
2929,ПАК,10
3027,1СМедицина,10
6483,производителя,10
5567,телеканале,10
1383,системам,10
5557,КР,10
6425,ФГУП,10
2809,программа,10
4178,региональном,10
3491,местной,10
5037,Воронежской,9
4504,решающих,9
1578,Иркутской,9
3191,школа,9
2186,типовых,9
2152,аналитическая,9
2097,основных,9
1584,имеющейся,9
3537,Проф,9
3438,43,9
255,счетов,9
3961,Кодекс,9
4999,через,9
1925,РЕД,9
5006,НДС,9
1996,первом,9
3134,музей,9
3612,Обеспечение,9
368,вопросов,9
483,имеющегося,9
4400,прикладных,9
3776,Контроль,9
4712,участка,9
2807,официального,9
1750,услуга,9
2680,продуктам,9
1248,Сервис,9
3721,шт,9
1782,41,9
251,лаборатории,9
1736,обмена,9
2579,страхования,9
4287,Коми,9
1339,Вологды,9
3569,многоквартирных,9
2967,Орловской,9
195,сервисам,9
4068,поселения,9
1392,Департаменте,9
2976,комплексных,9
3743,изображений,9
4366,лекарственных,9
3301,жилищнокоммунального,9
3002,ИАС,9
1871,Стандартный,9
3755,ВС,9
4927,МР,9
1762,2022,9
4011,учёт,9
389,сетей,9
4644,Газпром,9
6309,документации,9
5943,серверного,9
5792,Разработка,9
6780,автотранспорт,9
5331,финансового,9
864,применяемых,9
82,организация,9
586,судебных,9
6177,ведении,9
6305,ОБЕСПЕЧЕНИЯ,9
7130,финансам,9
1098,бесперебойного,9
661,аппаратнопрограммного,9
6927,деятельностью,9
105,срок,9
6068,УРМ,9
5917,конфигурации,9
706,ведомственных,9
6072,информационносправочных,9
5598,транспортом,9
5737,питание,9
7171,методическому,9
6480,онлайн,9
5992,Бюджетные,9
8,функции,9
5481,Пермского,9
6885,консультационной,9
928,архива,9
6659,НУЖД,9
5913,информационнокоммуникационных,9
6020,Детская,8
5351,Талисман,8
1866,выполняющей,8
5357,органами,8
4300,Совета,8
3967,групп,8
2959,сопровождением,8
3568,КПС,8
4766,муниципальной,8
2310,Онлайн,8
3606,зарегистрированного,8
6434,системного,8
3809,ЭКС,8
7029,сад,8
1549,Федеральной,8
899,ГП,8
5753,46,8
6400,20242026,8
3586,Образование,8
1271,55,8
5383,паспорт,8
5420,обеспечением,8
3029,учреждениями,8
26,поставка,8
5564,тура,8
527,лесного,8
4413,дорог,8
6530,VipNet,8
4407,прием,8
763,расширенной,8
6555,формирование,8
3107,поддержанию,8
5461,НМИЦ,8
5655,них,8
3645,Программы,8
2366,Государственная,8
6495,функций,8
6950,локальной,8
2551,поставку,8
3146,станций,8
4632,Тариф,8
4343,могут,8
4646,интернат,8
3523,гарант,8
2605,Камчатского,8
849,Нижегородской,8
310,Губернатора,8
594,экономической,8
2657,АДАПТАЦИИ,8
1230,Правовой,8
6888,официальных,8
5052,Комплексная,8
3476,департамента,8
5926,адресу,8
4039,организацией,8
1103,платформа,8
460,анонсом,8
6352,официальной,8
6698,работоспособности,8
5118,сбору,8
7102,служба,8
6311,главной,8
1594,Программного,8
5230,медицинская,8
3889,ПРОГРАММНОГО,8
1783,имуществом,8
5010,течение,8
3328,ГАУЗ,8
5197,участниками,8
3893,Консультантплюс,8
2001,Касперского,8
3447,исполнителя,8
3894,Сертификата,8
805,оператор,8
46,Обновление,8
2711,Информационнотехнологическое,8
1200,КСП,8
3334,мировых,8
150,казенного,8
918,судей,8
103,ГБПОУ,8
4853,палаты,8
2192,контракта,8
692,имеющимися,8
5901,диспетчерской,8
4860,государственным,8
5872,оборудовании,8
152,КонсультанПлюс,8
5103,методикотехническому,8
732,Определение,8
4193,Архангельской,8
3949,Московский,8
2679,пользователя,8
5284,наблюдения,8
2686,ГРАНДСмета,8
4829,использованию,8
5649,гостехнадзора,7
523,мобильных,7
2782,общего,7
1015,Антивирус,7
1011,Счетной,7
311,итогов,7
6887,печатного,7
1823,Камин,7
6674,Судебного,7
6059,иили,7
5851,вещания,7
6879,уровня,7
45,занятости,7
4412,Планирование,7
1735,Астраханской,7
6652,Лабораторной,7
5661,Липецкой,7
4362,дней,7
2655,культуры,7
2488,линии,7
5745,ОЕ,7
5744,Edition,7
3818,платежей,7
2674,базам,7
4224,финансами,7
3798,96,7
5721,контур,7
4176,подведомственных,7
2965,Саратов,7
6633,решения,7
1397,обновлениям,7
1796,освещение,7
942,Кировской,7
1712,Кавказ,7
4144,условиям,7
4318,Кабардино,7
4325,информационнотехнологического,7
2730,схем,7
3881,Балкарской,7
3888,системами,7
4109,Управлении,7
5835,ФГБНУ,7
6027,МЗ,7
4355,защите,7
2536,это,7
2581,принадлежащих,7
3373,трансляции,7
3530,Тульской,7
4830,Департамента,7
157,Аналитика,7
1629,МТ,7
2136,планирования,7
3288,заключение,7
333,Московского,7
3511,ОКПД2,7
7069,Расширенный,7
4849,бюджетными,7
3525,95,7
2317,удаленного,7
7063,информационные,7
3529,областная,7
4457,фондом,7
6402,детей,7
3551,модификация,7
4777,фирмы,7
2312,методической,7
6998,среди,7
462,заданием,7
3468,Муниципального,7
4949,комитетов,7
800,объекта,7
6335,содержанию,7
1960,Работы,7
820,Ти,7
1963,Ульяновск,7
3360,проектов,7
5056,проектами,7
5117,WEB,7
3421,Промышленного,7
5148,КОРП,7
6359,пакет,7
3439,продукту,7
7143,Уфа,7
1998,БАРС,7
1183,котировок,7
7112,музейной,7
7107,иммунизацией,7
3321,45,7
6997,бюджетной,7
5456,персонала,7
2406,состояния,7
4478,Портал,7
6510,проведению,7
5473,информационную,7
6911,связанных,7
4592,обеспечивающей,7
4510,КАМИС,7
3115,1000,7
6526,работа,7
4501,Томской,7
57,совместной,7
5396,полугодие,7
5393,Финансов,7
4555,ресурсами,7
4471,Комитета,7
5517,домов,7
1064,предприятия,7
2356,типа,7
5368,КД,7
3033,распространяемых,7
3340,показателей,6
6045,консультационнотехнологическому,6
5916,цифровой,6
3679,фонда,6
3451,движения,6
1581,проведении,6
6315,лесных,6
3357,Smeta,6
2878,осуществления,6
3440,АТС,6
2883,разработка,6
6107,1C,6
3698,целью,6
3425,УЧРЕЖДЕНИЯ,6
5915,значимой,6
3718,машин,6
3019,назначения,6
3696,видеонаблюдения,6
3356,информационноаналитическая,6
781,настройка,6
3655,Муниципальное,6
6596,ресурсах,6
6379,сервера,6
3584,продукции,6
3193,территориально,6
6637,судов,6
3556,ЮРИСобразование,6
2944,корпоративной,6
2943,предварительно,6
6199,специализированной,6
3220,регистрации,6
6405,Оренбургской,6
855,решений,6
6157,ИНФОРМАЦИОННОЙ,6
1466,результатов,6
5986,согласно,6
3262,консультация,6
3517,ПТК,6
363,семей,6
5963,виртуальном,6
3845,аппаратных,6
769,БЮДЖЕТ,6
6229,ГКУЗ,6
3640,Исполнитель,6
1563,персональных,6
6391,центру,6
744,жителей,6
3493,участников,6
2985,оптимизации,6
3574,Бурятия,6
746,подключение,6
3306,принадлежащими,6
750,резервного,6
6186,Пензенской,6
6944,Coordinator,6
5636,Gate,6
1082,лесным,6
1234,пожаров,6
635,копирования,6
7013,этим,6
5318,переход,6
5319,образовательного,6
2307,выпусков,6
1873,бесперебойной,6
212,БОЛЬНИЦА,6
4735,СХ,6
4724,справочноинформационно,6
4660,102,6
6960,Тарификация,6
23,другие,6
4613,театр,6
5415,текущему,6
4603,нормативных,6
2426,серверной,6
4583,HW,6
5448,муниципальный,6
1291,СанктПетербургском,6
5502,Russian,6
4472,базовых,6
671,информационнотехнической,6
1326,прочие,6
628,имущественных,6
2193,Самарский,6
4859,справочноинформационных,6
1936,редакция,6
172,управлении,6
173,нормативноправовых,6
1943,бухгалтерской,6
5108,94,6
1137,спутникового,6
5125,РВ,6
5026,Энерго,6
7148,СМЭВ,6
7146,техническая,6
1126,сервисной,6
1169,помощью,6
