Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№0343200025924000042;Передача неисключительных прав использования электронной Базы Данных;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;25.01.2024
№32413214465;Услуги по технической поддержки интернет-сайта ;62.02.30.000: Услуги по технической поддержке информационных технологий;25.01.2024
№0156200009324000003;УСЛУГИ ПО ИНФОРМИРОВАНИЮ НАСЕЛЕНИЯ;"63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет; 63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям";15.01.2024
№0175200004624000002;Оказание услуг по сопровождению ранее приобретенного для нужд Министерства экологии и природных ресурсов Республики Крым Электронного периодического справочника «Система ГАРАНТ», содержащего информацию о текущем состоянии законодательства Российской Федерации;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;17.01.2024
№0175200004624000003;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;17.01.2024
№0139200000124000172;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального сервисного  программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с установленными в ГКУ «ЦСВИ» экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№0372200052624000009;"Оказание услуг по сопровождению ЛИС «Ариадна» без подключения дополнительных рабочих мест лаборатории и анализаторов с передачей неисключительных прав на обновленные модули ЛИС «Ариадна» в СПб ГБУЗ ""Городская больница № 33""";62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№0318300008924000001;"Услуга по информационному обновлению и сопровождению программного продукта «Комплексная система автоматизации управления бюджетными учреждениями «Талисман – SQL» ""Удаленно""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;18.01.2024
№0187200001724000021;Оказание услуг по предоставлению права на обновление программного обеспечения, передаче сертификата технической поддержки;"58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки";25.01.2024
№0121600021924000001;«Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензированного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс»;62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№0121200004024000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;10.01.2024
№0301300234124000004;Услуги, обеспечивающие эффективную эксплуатацию персоналом Заказчика Государственной информационной системы в сфере здравоохранения Республики Башкортостан;62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№32413213452;Поставка расширения ПК на 10000 точек , услуга по подписке на обновление локальной версии Программного Комплекса ПОЛИТАРИФ 2.0;"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки; 58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение";25.01.2024
№0819600009924000027;Оказание услуг по информационно-технологическому сопровождению программных продуктов «1С: КП ЦГУ»;62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№32413214248;Услуги по адаптации и сопровождению экземпляров Систем, иного программного обеспечения Системы КонсультантПлюс для нужд филиала ФБУЗ «ЦГиЭ в РО» в г. Шахты;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;25.01.2024
№0108500000424000052;"Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными экземплярами Систем КонсультантПлюс для нужд ГБУ РМЭ ""Перинатальный центр""";62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№32413213429;Расклейка уведомлений на информац.доски, подъезды домов (принуд.перевод на прямые договоры, должник)по области;63.99.10.110: Услуги по поиску информации за вознаграждение или на договорной основе;25.01.2024
№0384100001724000001;Услуги по сопровождению 1 С Бухгалтерия (в сфере ИКТ);62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413173401;Запрос предложений в электронной форме № 24-4001 на право заключения договора на приобретение лицензий системы бизнес-моделирования Business Studio для нужд ПАО «Россети Сибирь» ;62.01.2: Оригиналы программного обеспечения;15.01.2024
№0345200019824000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс);62.03.12.130: Услуги по сопровождению компьютерных систем;18.01.2024
№0318200013424000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№0301300244724000003;Услуги, обеспечивающие эффективную эксплуатацию персоналом Заказчика Государственной информационной системы в сфере здравоохранения Республики Башкортостан;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№0156200009324000002;УСЛУГИ ПО ИНФОРМИРОВАНИЮ НАСЕЛЕНИЯ (УППЧ);"63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям; 59.20.21.000: Услуги по производству радиопрограмм";15.01.2024
№32413203924;Право на использование комплекса «Постоянная защита» Средства защиты информации SecretNetLSP и средства защиты информации SecretNetStudio8 (бессрочная лицензия);62.01.29: Оригиналы программного обеспечения прочие;23.01.2024
№0372200052624000008;"Оказания услуг по сопровождению медицинской информационной системы «Ариадна» с передачей неисключительных прав на обновленные модули в СПб ГБУЗ ""Городская больница № 33""";62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№32413213576;Выполнение работы по изготовлению и размещению в открытом доступе в информационно-телекоммуникационной сети «Интернет» материалов о деятельности Губернатора и Правительства Астраханской области, исполнительных органов Астраханской области, а также о социально-экономическом и общественно-политическом развитии Астраханской области.;63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет;25.01.2024
№0372200057224000004;Оказание услуг по обновлению антивирусной программы;62.01.29.000: Оригиналы программного обеспечения прочие;17.01.2024
№0175200002624000002;Оказание услуг по настройке и техническому обслуживанию серверов, на которых размещены информационные системы, владельцем и оператором которых является Министерство;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;25.01.2024
№0318200003524000006;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№0321200001524000011;Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№0318200043224000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№0845300015024000001;Оказание услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс.;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;17.01.2024
№32413213721;"Информационно-технологическое сопровождение «1С:КП Медицина», для непрерывности и корректности функционирования лицензионного программного продукта, используемого ГАУ СО «Шиханский дом-интернат для граждан, имеющих психические расстройства""";62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;25.01.2024
№32413213372;"Приобретение прав пользования ПК ""ГРАНД-Смета"" для нужд филиала ПАО «Россети Волга» - «Самарские РС»";62.01.29: Оригиналы программного обеспечения прочие;25.01.2024
№32413213666;Оказание услуг по передаче лицензии на право пользования информационным сервисом «ELPUB» ;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;25.01.2024
№32413213613;Запрос котировок в электронной форме на право заключения договора на права доступа на использование сервиса автоматической email-рассылки для нужд ФБУН ЦНИИ Эпидемиологии Роспотребнадзора.;62.09.20.120: Услуги по установке программного обеспечения;25.01.2024
№0815500000524000376;Информационно-техническое сопровождение программного продукта «Ангел: административная комиссия»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;25.01.2024
№0818500004224000001;"Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта ""ПАРУС-Бюджет 8""";62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№32413213578;Оказание информационных услуг должно осуществляться на основании специального лицензионного программного обеспечения, обеспечивающего техническую совместимость информационных услуг с имеющимися у заказчика экземплярами Систем КонсультантПлюс.;62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№0306200011524000001;"Оказание услуг по технической поддержке информационных технологий (электронный периодический справочник ""Система Гарант"")";62.02.3: Услуги по технической поддержке информационных технологий;18.01.2024
№0818500003724000001;Услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№32413213212;"Услуги  по предоставлению на условиях простой (неисключительной) лицензии права на использование программ для электронно-вычислительных машин (ЭВМ) ""ГРАНД-Смета"" и Баз данных (БД) «ФСНБ-2022 в формате программы для ЭВМ «ГРАНД-Смета»";62.09.20: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки;25.01.2024
№0360300052824000005;"Оказание услуг по сопровождению используемого Электронного периодического справочника ""Система Гарант"" ";62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413213508;Поставка, адаптация и сопровождение экземпляров Системы КонсультантПлюс;63.99: Услуги информационные прочие, не включенные в другие группировки;25.01.2024
№32413213496;Оказание услуг по модификации отдельных модулей, информационно-технологическому сопровождению комплекса программных продуктов автоматизированного ведения учета (КПП АВУ) и передача неисключительных прав на использование обновлений программ ЭВМ для нужд университета ;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;25.01.2024
№32413211979;Услуги по техническому обслуживанию и ремонту ККМ;"33.12.16.000: Услуги по ремонту и техническому обслуживанию офисных машин и оборудования, кроме компьютеров и периферийного оборудования; 62.09.20.120: Услуги по установке программного обеспечения";25.01.2024
№32413213469;Услуги по информационно-технологическому сопровождению государственной информационной системы «Система электронного документооборота» органов исполнительной власти Чувашской Республики;62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№0818500006224000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№0338200009924000002;Оказание услуг по техническому и сервисному обслуживанию региональной автоматизированной системы централизованного оповещения населения Камчатского края;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413213258;Передача неисключительных прав использования баз данных спрвочных систем «Система Главбух», «Система Финдиректор», «Система Юрист»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;25.01.2024
№32413213245;Оказание услуги по развитию, техническому обслуживанию и сопровождению работы сайта заказчика и его поддоменов в информационно – телекоммуникационной сети «Интернет» для нужд Пятигорского медико-фармацевтического института-филиала ФГБОУ ВО ВолгГМУ Минздрава России;62.02.30.000: Услуги по технической поддержке информационных технологий;25.01.2024
№32413211469;Услуги по адаптации и сопровождению Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№0862300039924000003;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс);62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413213207;Выполнение работ по развитию СПО Федеральной государственной информационной системы «Аргус-Фито» (версия 1) в части оптимизации процесса оказания государственной услуги по выдаче карантинных сертификатов и интеграции с информационной системой «Одно окно» в рамках развития сервиса «Запрос фитосанитарного сертификата»;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;25.01.2024
№0806500000224000007;Оказание услуг по адаптации и сопровождению экземпляров справочной правовой системы КонсультантПлюс (ИКТ соответствует НПА);62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№32413211798;Абонементное информационно-техническое и справочно-консультационное обслуживание по использованию программных продуктов для обеспечения муниципальных нужд;62.02.30.000: Услуги по технической поддержке информационных технологий;25.01.2024
№32413211465;"Работы по обслуживанию программного продукта ""1С: Зарплата и кадры бюджетного учреждения 8""";62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№32413213157;информационное обслуживание программных продуктов 1С;62.02: Услуги консультативные, связанные с компьютерной техникой;25.01.2024
№0173300006624000001;услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного программного обеспечения, обеспечивающего совместимость с имеющимися у заказчика экземплярами Систем КонсультантПлюс ;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;18.01.2024
№32413211457;"Работы по обслуживанию программного продукта ""1С:Бухгалтерия государственного учреждения 8""";62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№32413211772;Адаптация и сопровождение экземпляров систем КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;25.01.2024
№32413211759;Запрос предложений в электронной форме № 24-4002 на право заключения договора возмездного оказания услуг по сопровождению КИСУ УИТ ПАО «Россети Сибирь» на базе информационной сиcтемы Simple One для нужд ПАО «Россети Сибирь»;62.02.2: Услуги консультативные по вопросам систем и программному обеспечению;25.01.2024
№0344200024124000001;Услуги по адаптации и сопровождению экземпляров систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в ОБУСССОКО «Краснооктябрьский дом социального обслуживания» экземплярами систем КонсультантПлюс (в том числе специальной копией системы КонсультантПлюс);62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413212266;Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс;63.11.11.000: Услуги по обработке данных;25.01.2024
№0172300004724000001;Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;18.01.2024
№0118300013324000001;оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными экземплярами Систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№0321300016824000004;Оказание  услуг по сопровождению электронного периодического справочника «Система ГАРАНТ»  (установленного у Заказчика);62.03.12.130: Услуги по сопровождению компьютерных систем;18.01.2024
№0825500000724000009;Оказание услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс (в том числе специальной копии системы), оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) дополнительных экземпляров и услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№0342300000124000039;Оказание услуг по модификации и сопровождению модифицированных экземпляров информационно-справочных систем «Техэксперт»;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;25.01.2024
№32413212984;Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ» в Филиале «ВостСибаэронавигация» ФГУП «Госкорпорация по ОрВД» в 2024 г.;62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№0121200004724000009;Оказание услуг по обеспечению функционирования, адаптации и модификации системы межведомственного электронного документооборота в Ставропольском крае для обеспечения нужд Ставропольского края;62.02.30.000: Услуги по технической поддержке информационных технологий;25.01.2024
№0152200001124000001;"Оказание услуг по сопровождению, технической поддержке и сервисному обслуживанию государственной информационной системы Омской области ""Катарсис"" (Реестровый номер 2024.001022)";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;16.01.2024
№32413212957;"Оказание услуг по техподдержке систем управления очередями  для нужд АО ""ЭнергосбыТ Плюс"", АО ""Коми энергосбытовая компания""";62.02.30.000: Услуги по технической поддержке информационных технологий;25.01.2024
№0175500000424000004;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс);62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№32413212841;Предоставление неисключительных прав на  использование антивирусного программного обеспечения антивируса Kaspersky EDR;62.01.29.000: Оригиналы программного обеспечения прочие;25.01.2024
№0318200021324000001;"Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта ""Парус-Бюджет 8""";62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№32413212811;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс ;62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№0177200000924000065;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными экземплярами Систем КонсультантПлюс у Заказчика;62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№32413212713;Оказание услуг на предоставление удалённого доступа по сети Интернет к экземплярам профессиональных справочных систем «Техэкперт».  ;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;25.01.2024
№32413212330;Информационно-техническое обслуживание программ на базе «1С: Предприятие»;62.03.12.130: Услуги по сопровождению компьютерных систем;25.01.2024
№0318100063424000001;Заказчику услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№0318200034324000001;Оказание услуги по предоставлению сертификата на техническую поддержку  программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;18.01.2024
№0318300538124000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
