Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413201321;Право заключения Договора оказания услуг по технической поддержке Программы для ЭВМ «Автоматизированная система расчета площадей и высот растительности в охранной зоне воздушной линии электропередачи на основе данных дистанционного зондирования Земли» (3547813);62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413201290;Оказание услуг по предоставлению доступа к базе данных резюме с возможностью просмотра контактной информации соискателя с использованием API и предоставлению возможности публикации вакансий для нужд АО «Организация «Агат»;63.99.10.110: Услуги по поиску информации за вознаграждение или на договорной основе;22.01.2024
№32413198480;Техническое и сервисное сопровождение АИС МФЦ;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413200310;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№32413201177;Оказание услуг по абонентскому обслуживанию  1С;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№32413201129;Право заключения договора оказания услуг по сопровождению Программы для ЭВМ «Автоматизированная система сопоставления CIM-моделей и информационной модели АС СиОИ» (3547798);62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0318200031624000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413201067;Сопровождение программы 1С;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0355100012724000001;Оказания услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными в Избирательной комиссии Пензенской области экземплярами Систем КонсультантПлюс (в том числе специальной копией Систем КонсультантПлюс);63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;11.01.2024
№32413201048;Право заключения Договора оказания услуг по технической поддержке Программы для ЭВМ «Автоматизированная система сбора и обработки информации о техническом состоянии объектов электроэнергетики и их оборудования (вторая очередь)» (3547764);62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413201014;Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства, на оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс;"63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий; 62.02.30.000: Услуги по технической поддержке информационных технологий";22.01.2024
№32413201012;"Оказание услуг по адаптации и сопровождению экземпляров Системы ""КонсультантПлюс"" для нужд филиала по Новосибирской области ";62.01.29.000: Оригиналы программного обеспечения прочие;22.01.2024
№32413200501;Поставка, адаптация и сопровождение экземпляров Систем КонсультантПлюс;63.99.10: Услуги информационные прочие, не включенные в другие группировки;22.01.2024
№32413198308;Актуализация и автоматизация услуг и шаблонов документов АИС МФЦ в МОГАУ «МФЦ» и территориально обособленных структурных подразделениях МОГАУ «МФЦ»;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413200940;Оказание услуг по технической и информационной поддержке веб-сайта;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413198282;ПОСТАВКА ЛИЦЕНЗИЙ НА ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ РАЗРАБОТКИ VR VARWIN EDUCATION;62.01.29.000: Оригиналы программного обеспечения прочие;22.01.2024
№32413200923;Оказание услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;22.01.2024
№0352300156624000001;"Оказание услуг по информационно-консультационному обслуживанию программного продукта ""1С: Предприятие"" (Реестровый номер 2024.001295)";62.03.12.130: Услуги по сопровождению компьютерных систем;11.01.2024
№32413200894;Оказание услуг по анализу информации Заказчика и выработке правил настройки системы на технологическую схему документооборота (с написанием ЧТЗ);62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№32413200885;выполнение услуг по составлению годовой отчетности;63.99.10.130: Услуги по сбору и обобщению фактов и информации, кроме списков адресатов;22.01.2024
№32413200390;"Оказание услуг по установке и обновлению ПК ""ГРАНД-Смета"" и баз данных";62.02.30: Услуги по технической поддержке информационных технологий;22.01.2024
№0325200000224000001;Оказание услуг по эксплуатации средств навигации и предоставление навигационной информации (системы диспетчеризации, мониторинга и позиционирования подвижных объектов);62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;15.01.2024
№32413200333;"Право заключения договора на оказание услуг по техническому сопровождению АПК ""СТЭК-ЭНЕРГО"".";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№0136200004124000001;Оказание услуг по адаптации и сопровождению справочно-правовой системы «Консультант Плюс»;62.03.12.130: Услуги по сопровождению компьютерных систем;13.01.2024
№0351300097424000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс.;62.03.1: Услуги по управлению компьютерным оборудованием;15.01.2024
№0853500000324000001;Оказание услуг по сопровождению прикладного программного обеспечения «Автоматизированная информационная система «ИМЦ: ТФОМС», подсистема «Адаптер для взаимодействия с ФЕРЗЛ»»;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413199105;Оказание услуг по организации и техническому администрированию информационной инфраструктуры объектов ООО «АТП ГХК»;62.03.11.000: Услуги по управлению сетями;22.01.2024
№32413200623;адаптация и сопровождение экземпляров системы КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;22.01.2024
№0372200112824000001;"Оказание информационных услуг (в том числе услуги по адаптации и сопровождению) с использованием экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость информационных услуг с установленными в СПБ ГБУ ""СРЦН ""ПРОМЕТЕЙ"" экземплярами Систем КонсультантПлюс (в том числе стационарной копией Системы КонсультантПлюс) в 2024 г.";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;15.01.2024
№32413199809;Услуги по активации сервиса технической поддержки ПАК ViPNet Coordinator HW100СU и ПО ViPNet Client;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413200562;Оказание услуг по технической поддержке Информационной системы управления проектами государственного заказчика в сфере строительства;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0173200001424000023;Оказание услуг по технической поддержке и сопровождению подсистемы, обеспечивающей управление доступом к прикладным функциям ЕМИАС, ролями, полномочиями пользователей автоматизированной информационной системы города Москвы «Единая медицинская информационно-аналитическая система города Москвы»;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413192579;"Оказание услуг по обслуживанию и сопровождению ПП ""1С: Зарплата и управление персоналом 8"" для нужд филиала по Саратовской области";62.01.29.000: Оригиналы программного обеспечения прочие;18.01.2024
№0212100001624000001;"Услуги по обслуживанию лицензионных программных продуктов системы ""1С: Предприятие 8"" (1С: Бухгалтерия)";62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№0318100063424000002;"Услуги по сопровождению, тех.поддержке и сервисному обслуживанию программного комплекса ""Катарсис""";62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№0169300038724000003;"Услуги по сопровождению электронного справочника ""Система ГАРАНТ""";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;12.01.2024
№0345500000324000002;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с ранее установленными у Заказчика экземплярами систем КонсультантПлюc;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413180002;Организация работ с оказанием комплекса услуг по формированию и ведению базы данных собственников и нанимателей по договорам соцнайма жилых помещений в многоквартирных домах и жилых домов,  начислению платы за  коммунальные услуги по холодному водоснабжению и (или) водоотведению и пени за их несвоевременную (неполную) оплату, ежемесячному формированию, печати и доставке потребителям сконвертованных платежных документов, организации приема и консультирования  потребителей, обеспечение приёма платежей ЖКХ, обеспечению информационного обмена с Принципалом и иными организациями (органами) по поручениям Принципала, размещению информации в Государственной информационной системе «ЖКХ»;63.11.11.000: Услуги по обработке данных;16.01.2024
№0318200018324000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№0373200001324000022;Электронный аукцион на оказание услуг по технической поддержке программно-аппаратного комплекса МИС MEdWork «ГКБ им. В.В. Вересаева ДЗМ» в 2024-2025 гг. по ПД;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№0368300000124000005;Оказание услуг по обновлению и информационному обслуживанию программного комплекса Smeta.ru.;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413198763;Оказание услуг по сопровождению и техническому обслуживанию системы мониторинга переходных режимов (СМПР) Томь-Усинской ГРЭС АО «Кузбассэнерго»;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0318200006324000001;Услуги по адаптации и сопровождению Систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;14.01.2024
№0318300178724000002;Передача Сертификата на оказание услуг по мониторингу событий информационной безопасности объектов ЗСПД и комплексному техническому сопровождению СОИБ;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№0362200056424000001;Услуги по адаптации и сопровождению справочно-правовой системы Консультант+;62.09.2: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки;12.01.2024
№32413200154;Услуги по сопровождению и обслуживанию программного комплекса 1С. ;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№32413200137;Комплексное сопровождение программных продуктов 1С;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№32413198619;Неисключительные права (простая неисключительная лицензия) использования Базы данных - электронной системы «Госфинансы»;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;22.01.2024
№32413200087;"Ежемесячные услуги по технической поддержке сайта государственного автономного учреждения культуры ""Саратовский государственный академический театр драмы имени И.А.Слонова "" www.saratovdrama.com";62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0318300178724000001;Услуга по обеспечению продления сервисных сертификатов производителей и доступа к обновлениям баз решающих правил на имеющиеся системы обнаружения вторжений;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№0321200022024000056;"Оказание услуг по развитию (расширению функциональных возможностей) компьютерной системы сбора и архивирования диагностических медицинских изображений и данных государственного бюджетного учреждения здравоохранения ""Ставропольская краевая клиническая больница"" на базе программного обеспечения ""ЛИНС Махаон DIKOM Архив""";62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413199307;Право заключения договора на оказание услуг по сопровождению справочника (справочной правовой системы), содержащего информацию о текущем состоянии законодательства РФ, путем предоставления текущих версий комплекта Справочника;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;22.01.2024
№0318200009924000002;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413198527;на право заключения договора  на оказание услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными  в ГБУЗ РТ «РКДЦ» ;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№32413199951;Поставка системы Консультант Плюс;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0373100072124000003;Оказание услуг по адаптации и сопровождению установленных у Заказчика  экземпляров Систем КонсультантПлюс на основе специального  лицензионного сервисного программного обеспечения  для нужд ФГБНУ «РНЦХ им. акад. Б. В. Петровского» ;62.02.30.000: Услуги по технической поддержке информационных технологий;10.01.2024
№32413198423;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413199862;"Оказание услуг по адаптации и сопровождению информационных услуг с использованием экземпляра(ов) Системы КонсультантПлюс Серии VIP для нужд Свердловского филиала  АО ""ЭнергосбыТ Плюс""";62.02.20: Услуги консультативные по вопросам систем и программному обеспечению;22.01.2024
№0175200000424000006;Услуги по сопровождению адаптированных экземпляров систем Консультант Плюс;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;12.01.2024
№0373100072124000018;Оказание услуг по предоставлению доступа к системе заказа пропусков;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413199794;"Услуги по настройке и модификации программных продуктов системы ""1С: Предприятие Бухгалтерия госучреждения""";62.01: Продукты программные и услуги по разработке и тестированию программного обеспечения;22.01.2024
№32413199753;Выполнение работ по разработке сайта для акционерного общества «Корпорация развития Республики Адыгея»;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;22.01.2024
№0301300003724000002;Оказание услуг по обеспечению эффективной эксплуатации персоналом ГИСЗ РБ на 2024 год для нужд ГБУЗ РБ Красноусольская ЦРБ;62.02.10.000: Услуги консультативные по компьютерному оборудованию;10.01.2024
№32413198892;Услуги по резервному копированию и восстановлению информации;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;22.01.2024
№0345300121124000001;Оказание услуг по поддержке информационных технологий в Ломоносовском районе Ленинградской области;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;15.01.2024
№0373100032824000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413198806;Услуга по предоставлению информационной инфраструктуры как сервиса на площадке Заказчика;63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;22.01.2024
№32413199586;Услуги на передачу неисключительных прав использования версии Электронной системы «Госфинансы» (е-ГФ) - базы данных Справочная система «Госфинансы Плюс»;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;22.01.2024
№0321200015024000001;Оказание услуг по сопровождению СПС Консультант Плюс;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413199569;Оказание услуг по по поисковому продвижению сайта lk.almazovcentre.ru;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;22.01.2024
№0318200021824000002;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№0301200047024000001;Оказание услуг, обеспечивающих эффективную эксплуатацию персоналом Заказчика Государственной информационной системы в сфере здравоохранения Республики Башкортостан в 2024 г;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;12.01.2024
№32413198181;услуги по сопровождению программы 1С;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№32413198697;сервисное обслуживание оргтехники;62.09.10.000: Услуги по установке компьютеров и периферийного оборудования;22.01.2024
№32413197844;ОКПД2  62.03.12.190 Выполнение работ по Модернизации АСУТП КАВД с заменой КИПиА КА№9 СП Райчихинская ГРЭС, в рамках инвестиционного проекта  N_505-РГРЭС-4, пгт Прогресс;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;22.01.2024
№32413199410;Услуги по предоставлению Кода активации на подключение к ОФД на 15 месяцев;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;22.01.2024
№32413198142;" Оказание услуг по предоставлению доступа к справочной системе Техэксперт :""Лаборатория. Инспекция. Сертификация""";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;22.01.2024
№32413199344;"Предоставление неисключительных прав использования базы данных - электронной системы ""Госфинансы""";63.99.10: Услуги информационные прочие, не включенные в другие группировки;22.01.2024
№0301300024024000003;Предоставление права использования и абонентское обслуживание в системе «Контур-Экстерн» на 2024г;62.02.1: Услуги консультативные по компьютерному оборудованию;12.01.2024
№0145200003024000001;Оказание услуг по адаптации и сопровождению экземпляров справочной правовой системы КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;12.01.2024
№32413199232; Услуги по информационно-технологическому сопровождению программного обеспечения информационных систем на платформе 1С:Предприятие 8;62.02.30: Услуги по технической поддержке информационных технологий;22.01.2024
№0815500000524000013;Оказание услуг по сопровождению ранее установленного у Заказчика Электронного периодического справочника «Система ГАРАНТ»;62.03.12.130: Услуги по сопровождению компьютерных систем;12.01.2024
№32413198461;Оказание услуг по обеспечению бесперебойного функционирования имеющейся у Заказчика системы автоматизации бухгалтерского бюджетного учета и отчетности;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№32413199149;Поставка программного обеспечения для нужд Федерального бюджетного учреждения здравоохранения «Центр гигиены и эпидемиологии в Республике Мордовия»;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;22.01.2024
