Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№0204100000424000003;"ЭА1 ""Услуги по адаптации и сопровождению экземпляров систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными в ТФОМС Кабардино-Балкарской Республики экземплярами Системы КонсультантПлюс для нужд ТФОМС Кабардино-Балкарской Республики""";62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0352200026124000009;"Оказание информационных услуг по приобретению и обновлению справочно-информационных баз данных ""Консультант Плюс"" (Реестровый номер 2024.007402)";62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0825500000724000028;"Услуги по сопровождению, технической поддержке и сервисному обслуживанию программного комплекса ""Катарсис"" версии 8";62.03.12.130: Услуги по сопровождению компьютерных систем;18.01.2024
№0352300080624000004;Оказание услуг по программно-информационному сопровождению системы спутникового мониторинга транспортных средств ГЛОНАСС (Реестровый номер 2024.002868);62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;17.01.2024
№0142300025624000002;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс в 2024 году для нужд администрации муниципального района Шигонский Самарской области;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;19.01.2024
№0172300004424000002;оказание услуг по адаптации и сопровождению экземпляров СПС КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Систем КонсультантПлюс;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;29.01.2024
№32413222044;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0373200000624000012;Оказание услуг по технической поддержке и сопровождению информационно-программных средств, в части заработной платы, установленных в СС и НМП им. А.С. Пучкова;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0373200000624000015;Оказание услуг по технической поддержке и сопровождению информационно-программных средств, в части бухгалтерского учета, установленного в СС и НМП им. А.С. Пучкова в 2024 г.;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0338200010524000007;Оказание услуг по сопровождению электронного периодического справочника «Система ГАРАНТ».;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;19.01.2024
№32413199944;Право заключения договора на оказание услуг по сопровождению информационных систем (АС АСИБ и ВКП) ПАО «Россети»);63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;22.01.2024
№0121600003824000003;"Оказание услуг по сопровождению системы автоматизации документооборота и делопроизводства ""Дело"" для нужд администрации Новоалександровского муниципального округа Ставропольского края в 2024 году";62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№32413221995;Оказание услуг по поставке лицензии (неисключительных прав) на использование электронной справочной системы «Охрана труда»;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;29.01.2024
№0126300029124000026;Оказание услуг по разработке, адаптации, модификации, установке, тестированию и сопровождению системы управления административно-хозяйственной деятельность на базе программного продукта «Парус»;62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0169300004524000002;"Оказание услуг по сопровождению электронного периодического справочника ""Система Гарант""";62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0133200001724000194;Оказание услуг по продлению лицензий и сервисов технической поддержки для программно-технического комплекса объекта резервирования – резервный центр обработки вызовов системы обеспечения вызова экстренных оперативных служб по единому номеру «112» на территории Ивановской области;62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0187300006524000011;Оказание услуг по настройке, интеграции и сопровождению автоматизированной информационной системы обеспечения градостроительной деятельности (АИСОГД) г. Сургута;62.03.1: Услуги по управлению компьютерным оборудованием;29.01.2024
№0351300084824000014;"Оказание услуг по продлению, сопровождению и обновлению неисключительных прав использования базы данных справочной системы"" Система Главная медсестра Плюс""";62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0351300084824000015;Оказание услуг по продлению, сопровождению и обновлению неисключительных прав использования базы данных ЭС «Госфинансы» бюджет;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0351300084824000016;Оказание услуг по продлению, сопровождению и обновлению неисключительных прав использования базы данных информационно-справочной системы «Медицина и здравоохранение», включенных в программный комплекс «Кодекс»;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0172300011124000001;Оказание услуг по адаптации и сопровождению экземпляра СПС КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Местной  Администрации внутригородского муниципального образования Санкт-Петербурга муниципальный округ Волковское экземплярами Систем КонсультантПлюс.;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0134300070224000003;Оказание услуги по публикации в средствах массовой информации;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;19.01.2024
№0319200067824000009;"Оказание услуг по сопровождению программного обеспечения медицинской информационной системы ""Программный комплекс ""Госпиталь"""", эксплуатируемого в системе здравоохранения Красноярского края за счет средств краевого бюджета и средств ФОМС в 2024 году";62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0828600002424000002;Оказание услуг по адаптации и сопровождению экземпляров справочно-правовой системы КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс для нужд администрации Киржачского района Владимирской области;62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№0142000000124000001;Оказание услуг связи, коммунальные услуг, услуги по содержанию имущества, увеличение стоимости основных средств, увеличение стоимости материальных запасов, прочие услуги;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0123300003424000001;Оказание услуг по адаптации и сопровождению экземпляров системы КонсультантПлюс в 2024 году;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№32413221850;Оказание услуг по адаптации и сопровождению адаптированного экземпляра справочно-правовой системы «КонсультантПлюс» Серии МСВУД для нужд АО «Мосметрострой»;63.11.11.000: Услуги по обработке данных;29.01.2024
№0319200067824000008;Оказание услуг по сопровождению программных продуктов: «1С: Бухгалтерия государственного учреждения 8», «1С: Зарплата и кадры государственного учреждения редакция 3.1», «1С: Медицина. Федеральные регистры», «1С: Медицина. Больничная аптека» и «1С: Медицина. Диетическое питание», предназначенных для автоматизации учета государственных и муниципальных учреждений на 2024 год для нужд КГБУЗ «Шушенская РБ» за счет средств ФОМС и средств краевого бюджета;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№32413221841;Предоставление права доступа к электронно-библиотечной системе ZNANIUM;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;29.01.2024
№0372200122424000002;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс в СПБ ГБУЗ «ПТД № 5» в2024 -2025г.;62.02.30.000: Услуги по технической поддержке информационных технологий;24.01.2024
№0152300020924000001;Оказание услуг по размещению информационных материалов о деятельности Администрации Таврического городского поселения в периодическом печатном издании (газете);63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;26.01.2024
№0177200000924000076;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№32413220720;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0225100000224000004;Услуги по сопровождению программы 1С: Предприятие;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0133300006624000001;Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0131300042924000004;Услуга по адаптации и сопровождению экземпляров справочно-правовых систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0158200003824000004;Услуги по технической поддержке информационных технологий;62.02.3: Услуги по технической поддержке информационных технологий;18.01.2024
№0361200015024000159;Оказание услуг по техническому обслуживанию защищенной сети ViPNet 12258;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0862300028724000001;Оказание услуг по сопровождению и обновлению справочно-информационных баз данных следующих экземпляров Специальных выпусков систем Консультант Плюс (услуги по адаптации и сопровождению экземпляров специальных выпусков системы) для нужд МКУ ЦСУ;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0140300040824000113;Оказание  услуг по  подготовке и публикации в периодическом печатном издании информационных (аналитических) материалов;63.99.10.130: Услуги по сбору и обобщению фактов и информации, кроме списков адресатов;29.01.2024
№0372200091024000002;"Оказание услуг по установке и настройке обновленной версии программного продукта ""Вижен-Софт: Питание в детском саду 2024"" для нужд ГБДОУ детского сада № 74 Красносельского района СПб в 2024 г";62.01.29.000: Оригиналы программного обеспечения прочие;29.01.2024
№0371300037924000002;"Оказание услуг по техническому сопровождению установленной автоматизированной системы ""Единая поликлиника"" в ГУЗ ЯО ""Брейтовская ЦРБ""";62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0372200060224000002;"Оказание услуг по сопровождению и обслуживанию комплекса программных средств ""Виста-МЕД""";62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0817200000324000502;Оказание услуг по подготовке и размещению информационных сообщений и информационно-аналитических материалов в муниципальном печатном СМИ, территорией распространения которого является Егорьевский район Алтайского края, а также по размещению информационных сообщений на интернет-ресурсе данного издания;"63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям; 73.11.11.000: Набор рекламных услуг полный";29.01.2024
№0158300041424000004;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами систем КонсультантПлюс для нужд Администрации города Зверево;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0120300008524000007;Услуги по публикации муниципальных нормативных правовых актов, официальных сообщений и иных информационных материалов в периодическом печатном издании ;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;17.01.2024
№0378300003524000004;Оказание  информационных услуг (в том числе услуг по адаптации и сопровождению) с использованием  экземпляров систем КонсультантПлюс  на основе специального лицензионного программного обеспечения, обеспечивающего совместимость информационных услуг с установленными в Администрации городского поселения экземплярами систем КонсультантПлюс (в том числе стационарной копии системы КонсультантПлюс) для нужд Администрации городского поселения;62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№0869200000224000118;Оказание услуг по сервисному сопровождению компьютерной лабораторно-информационной системы (ЛИС) «Innovasystem»;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0318200076224000001;Услуги по информационному обслуживанию экземпляров справочно-правовой системы «КонсультанПлюс»;62.03.12.130: Услуги по сопровождению компьютерных систем;18.01.2024
№0169300024824000013;Оказание услуг по сопровождению автоматизированной системы «АЦК-Финансы», установленной в финансовом управлении администрации Красноармейского муниципального района ;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413221690;Оказание услуг по техническому сопровождению и выполнение работ по реализации запросов на изменение системы мониторинга автотранспорта АО «Мособлгаз»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;29.01.2024
№0328300129424000007;Оказание услуг по размещению печатных материалов печатным средством массовой информации, распространение печатного СМИ через торговую сеть, распространяющую печатную продукцию и индивидуальных распространителей в 2024 г.;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;22.01.2024
№32413182280;Право заключения договора на предоставление права на использование программного обеспечения систем резервного копирования для нужд АО «ЦИУС ЕЭС»;62.01.29.000: Оригиналы программного обеспечения прочие;17.01.2024
№0319300170724000001;Оказание информационных услуг с использованием экземпляров Систем Консультант Плюс в 2024 году для нужд администрации Идринского района Красноярского края.;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;19.01.2024
№0177200000924000088;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс  на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс);62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0122200002524000173;Оказание услуг по технической поддержке Единой информационной системы «Демография. Версия 2»;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0335200002524000006;Услуги по приобретению и технической поддержке средств защиты;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0109300012424000001;Оказание услуг по установке, тестированию, адаптации и сопровождению ранее приобретенного экземпляра текущих версий СИМ «Система ГАРАНТ».;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0158200003824000003;Услуги по технической поддержке информационных технологий;62.02.3: Услуги по технической поддержке информационных технологий;18.01.2024
№0372100021724000008;Оказание услуг по сопровождению модулей автоматизированной информационной системы (АИС) «1С: Колледж Проф» для нужд СПб ГБПОУ «АПТ»;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0348200048724000001;Оказание услуг по адаптации и сопровождению справочно-правовой системы;62.02.3: Услуги по технической поддержке информационных технологий;29.01.2024
№0361200015024000158;Оказание услуг по сопровождению программного обеспечения (программ для ЭВМ) информационной подсистемы мониторинга родовспоможения Регионального фрагмента Единой государственной информационной системы в сфере здравоохранения Сахалинской области;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0162100014124000001;Оказание услуг по адаптации и сопровождению экземпляров системы Консультант Плюс;62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0302300004324000002;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;18.01.2024
