Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№0128200000124000020;Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) Юрьев-Польского района Владимирской области для нужд Законодательного Собрания Владимирской области;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;19.01.2024
№0128200000124000016;Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) Кольчугинского района Владимирской области для нужд Законодательного Собрания Владимирской области;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;19.01.2024
№0128200000124000015;Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) Вязниковского района Владимирской области для нужд Законодательного Собрания Владимирской области;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;19.01.2024
№0128200000124000012;Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) г. Александров Владимирской области для нужд Законодательного Собрания Владимирской области;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;19.01.2024
№32413236223;Передача неисключительных прав использования корпоративной системы обмена сообщениями и проведения видео и аудио конференцсвязи на условиях предоставления простой (неисключительной) лицензии;62.01.29.000: Оригиналы программного обеспечения прочие;31.01.2024
№0136500001124000164;Оказание услуг по доработке ведомственных информационных систем (доработка и интеграция государственной информационной системы обеспечения градостроительной деятельности Тверской области с платформой машиночитаемых цифровых административных регламентов);63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;31.01.2024
№0119200000124000016;"ЭА-№-23/24 «Оказание услуг по технической поддержке ведомственной информационной системы ""Управление лесным фондом и администрирование поступлений в бюджетную систему Российской Федерации"" (программный продукт АВЕРС: Управление лесным фондом. ПРОФ)»";62.02.30.000: Услуги по технической поддержке информационных технологий;17.01.2024
№32413236213;"0073-Оказание услуг по адаптации и сопровождению СПС ""КонсультантПлюс"" в 2024 г.";62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0128200000124000017;Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) Селивановского района Владимирской области для нужд Законодательного Собрания Владимирской области;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;19.01.2024
№0128200000124000014;Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) г. Вязники Владимирской области для нужд Законодательного Собрания Владимирской области;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;19.01.2024
№32413232843;ОКПД2 - 62.01.29.000. Лицензии CommuniGate Pro (Лот №43601-ПРО ДЭК-2024-СахаЭ);62.01.29.000: Оригиналы программного обеспечения прочие;31.01.2024
№0365300082124000001;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0838500000324000006;Оказание услуг по информационному обслуживанию (обновлению) ранее используемой справочно-правовой системы «Гарант»;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0158300030024000013;"Оказание услуг по сопровождению электронного периодического справочника ""Система Гарант""";62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0334500001624000001;оказание услуг по предоставлению неисключительных прав на использование базы данных ЭС «Госфинансы»;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;31.01.2024
№0301200042324000012;Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ» в ГБУЗ РДКБ на  2024 год;62.03.12.130: Услуги по сопровождению компьютерных систем;23.01.2024
№0128200000124000018;Оказание услуг по производству и размещению информации о деятельности Законодательного Собрания Владимирской области в печатном средстве массовой информации (печатном СМИ) Гороховецкого района Владимирской области для нужд Законодательного Собрания Владимирской области;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;19.01.2024
№32413236166;Оказание услуг по адаптации и сопровождению Систем КонсультантПлюс на основе специального программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Систем КонсультантПлюс).;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0875200000524000001;Оказание услуг по адаптации и сопровождению экземпляров Систем «КонсультантПлюс», оказываемые на основе специального лицензионного программного обеспечения, обеспечивающего совместимость с ранее установленными у заказчика экземплярами справочно-правовой системы «КонсультантПлюс»;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;31.01.2024
№32413236158;Услуги по адаптации и сопровождению экземпляра СПС Консультант;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№32413236139;Оказание услуг по адаптации и сопровождению Системы Консультант для Ивангородского гуманитарного технического института (филиала) ГУАП.;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0372200155324000022;Оказание услуг по передаче неисключительных прав на использование баз данных  электронной Справочной Системы «Главная медсестра» для нужд Санкт-Петербургского государственного бюджетного учреждения здравоохранения «Стоматологическая поликлиника №9» в 2024;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;31.01.2024
№32413236134;на оказание информационных услугпо сопровождению ранее установленной информационной справочной системы нормативно-технической документации«ТЕХЭКСПЕРТ: Базовые нормативные документы. Лаборатория»для нужд ФГБУЗ ЦГиЭ № 122 ФМБА России ;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;31.01.2024
№32413236121;Оказание услуг по сопровождению Электронного периодического справочника «Система Гарант» .;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№32413236108;"Информационно-вычислительные услуги по сопровождению комплексной информационной системы управления финансово-хозяйственной деятельностью ""Парус-Бюджет 8"".";62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0190200000324000222;Оказание услуг по системному администрированию и обслуживанию оргтехники;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;22.01.2024
№0744200000224000396;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0123200000324000104;Оказание услуг по сопровождению программного продукта «Конфигурация для 1С Предприятие 8.3 «Учет медикаментов в больницах»;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№32413235522;"Услуги по продлению информационного обслуживания программных продуктов "" 1С: учреждения 8"", "" 1С: Зарплата и кадры бюджетного учреждения 8""";62.02.20: Услуги консультативные по вопросам систем и программному обеспечению;31.01.2024
№0848600006824000005;"Оказание услуг по предоставлению видеоизображения для системы технологического обеспечения региональной общественной безопасности и оперативного управления ""Безопасный регион"" на территории Московской области";63.11.21.000: Услуги по передаче потокового видео;25.01.2024
№0109300011524000002;Оказание услуг по сопровождению формируемых Исполнителем экземпляров текущих версий СИМ «Система ГАРАНТ», содержащих информацию о текущем состоянии законодательства Российской Федерации, после адаптации под потребности Заказчика, путем предоставления в электронном виде по каналам связи посредством телекоммуникационной сети Интернет.;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;31.01.2024
№0116300000124000069;"Актуализация схемы теплоснабжения городского округа ""город Якутск"" на 2025 год";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;31.01.2024
№0304200003124000001;Оказание услуг по техническому сопровождению при эксплуатации специального программного обеспечения информационной системы, выполняющей функции региональной государственной информационной системы в сфере здравоохранения ;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№32413236082;Запрос котировок в электронной форме №2/ЗКТЭ-ТЛЦ Белый Раст/24 на право заключения договора по сопровождению Решения Технологической платформы включающую в себя клиентскую сторону пользовательского интерфейса и программно-аппаратную часть, отвечающую за функционирование ее внутренней части;62.01: Продукты программные и услуги по разработке и тестированию программного обеспечения;31.01.2024
№0318200014824000001;"Услуга по информационному обновлению и сопровождению программного продукта ""Комплексная система автоматизации управления бюджетными учреждениями ""Талисман-SQL"" в 2024 году.";62.03.12.130: Услуги по сопровождению компьютерных систем;24.01.2024
№0187200001724000029;Оказание услуг по сопровождению и технической поддержке государственной информационной системы «Государственный заказ»;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0132200002124000004;Информирование населения о деятельности Законодательного Собрания в СМИ в информационно-телекоммуникационной сети Интернет и периодическом печатном СМИ;"63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет; 63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям";23.01.2024
№32413234751;211227 Услуги по технической поддержке , CEO оптимизации, контекстной рекламе;63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет;31.01.2024
№32413234691;Оказание услуг по информационному обеспечению научно-исследовательских и опытно-конструкторских работ по созданию новой техники и прогрессивных технологий, проводимых Уфимским университетом;63.11.11.000: Услуги по обработке данных;31.01.2024
№0372100037424000006;"Техническое сопровождение медицинской информационной системы ""Инфоклиника"" в 2024 году";62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413234678;"Оказание услуг по абонентскому обслуживанию (оказанию разовых и регулярных услуг по сопровождению) программного продукта ""Парус-Бюджет 8""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;31.01.2024
№0154100005424000002;"Оказание услуг по предоставлению простой неисключительной лицензии на использование базы данных электронной системы ""Госфинансы"" в сфере ИКТ";62.02.30.000: Услуги по технической поддержке информационных технологий;23.01.2024
№32413235941;"Оказание услуг по информационно - техническому сопровождению и обновлению , электронной версии справочно - правовой системы "" Консультант плюс""";62.01.29.000: Оригиналы программного обеспечения прочие;31.01.2024
№0375200049024000018;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс.;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0318300183924000016;"Оказание услуг по техническому сопровождению средств защиты информации защищенной сети VipNet №1988 для ГБУЗ ""Темрюкская ЦРБ"" МЗ КК";62.02.30.000: Услуги по технической поддержке информационных технологий;23.01.2024
№0118300004524000007;"Сопровождение Электронного периодического справочника ""Система ГАРАНТ"" (информационный продукт вычислительной техники)";63.11.11.000: Услуги по обработке данных;31.01.2024
№0351300080624000007;Оказание услуг по продлению, обновлению и сопровождению неисключительных прав использования базы данных электронных справочных систем (ЭС);62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;23.01.2024
№0128200000124000284;Оказание услуг по технической поддержке автономной пользовательской копии программы для ЭВМ «Дневник самоконтроля качества жизни»;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0137100002524000004;Оказание услуг по размещению (трянсляции) видеороликов социальной рекламы по безопасности дорожного движения в социальных сетях сетевого издания;63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет;31.01.2024
№0816300023424000004;Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными в МКУ «Управление муниципальными закупками» экземплярами систем КонсультантПлюс (в том числе специальной копией системы КонсультантПлюс) для нужд МКУ «Управление муниципальными закупками»;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0161300002724000001;"Публикация материалов в средствах массовой информации МО ""Томаринский городской округ""";63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;23.01.2024
№0134300013524000005;"Передача неисключительных прав использования базы данных электронной системы ""Гранд смета""";62.01.29.000: Оригиналы программного обеспечения прочие;31.01.2024
№0349300001724000003;На право использования и абонентское обслуживание системы защищенного электронного документооборота, предназначенной для формирования и отправки отчетности в контролирующие органы;"58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.02.30.000: Услуги по технической поддержке информационных технологий";26.01.2024
№0361200015024000225;Предоставление сертификата активации сервиса технической поддержки системы криптографической защиты информации сети ViPNet 6116;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0123300001924000002;Оказание услуг по адаптации и сопровождению экземпляров справочно-правовой системы «Консультант Плюс»;62.03.12.130: Услуги по сопровождению компьютерных систем;23.01.2024
№32413233779;Техническая поддержка платформы ИДПОЗнание;62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0372200101624000003;Оказание услуг по предоставлению доступа к информационному сервису 1С:КП ГУ Базовый.;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№32413235807;Сопровождение программ 1С;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;31.01.2024
№0324300114024000003;Оказание услуг по технической поддержке информационных технологий для нужд муниципального казенного учреждения «Центр обеспечения функционирования образовательных организаций Северодвинска»;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413235194;Право заключения договора на техническое сопровождение СТЭК-Энерго.;62.03.12.130: Услуги по сопровождению компьютерных систем;31.01.2024
№0572400000124000003;Выполнение работ по развитию и техническому сопровождению информационных систем Предприятия.;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;31.01.2024
№0817200000324000597;Оказание услуг по подготовке и размещению информационных сообщений и информационно-аналитических материалов в муниципальном печатном СМИ, территорией распространения которого является Мамонтовский район Алтайского края, а также по размещению информационных сообщений на интернет-ресурсе данного издания;"63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям; 73.11.11.000: Набор рекламных услуг полный";31.01.2024
№0318300034524000034;Оказание услуг по предоставлению сертификата на техническое сопровождение средств защиты информации сегмента защищенной сети ViPNet;62.01.29.000: Оригиналы программного обеспечения прочие;31.01.2024
№32413234418;"Оказание услуг по выпуску файла лицензии и Абонемента на лицензионное обслуживание программного продукта ""Парус-Бюджет""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;31.01.2024
№0304200004524000012;" Оказание услуг по адаптации и сопровождению экземпляров систем КонсультантПлюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными  в ГБУЗ ""Перинатальный центр"" Минздрава КБР  экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс) для нужд ГБУЗ ""Перинатальный центр"" Минздрава КБР ";63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;31.01.2024
№0218100005524000002;Оказание услуг по комплексному сопровождению интегральной информационной системы состоящей из  программных продуктов Biosmart, 1С: «Бухгалтерия государственного учреждения», «Зарплата и кадры государственного учреждения», «Медицина. Больничная аптека», «Документооборот государственного учреждения», «Медицина. Поликлиника 3», «Отель», «Медицина. Диетическое питание»;62.03.12.130: Услуги по сопровождению компьютерных систем;26.01.2024
№0118300013324000057;"Оказание услуг по обеспечению технической поддержки информационной системы ""РусГИС""";62.02.30.000: Услуги по технической поддержке информационных технологий;31.01.2024
№0161200001824000003;"Оказание информационных услуг по опубликованию материалов, освещающих деятельность депутатов Сахалинской областной Думы в газете, территорией распространения которой является муниципальное образование городской округ ""Охинский"" Сахалинской области";63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;22.01.2024
№0161200001824000004;"Оказание информационных услуг по опубликованию материалов, освещающих деятельность депутатов Сахалинской областной Думы в газете, территорией распространения которой является муниципальное образование ""Холмский городской округ""";63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;22.01.2024
