Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413228817;"Ежемесячное абонентское обслуживание программного продукта « 1С: Бухгалтерия КОРП 8»; « 1С : ЗУП 8».";62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем;30.01.2024
№0891200000624000111;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс на 2024 год (00000122-ЭА);62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0891200000624000022;Оказание услуг по продлению сопровождения Комплекта Системы ГАРАНТ (00000005-ЭА);62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№0149300003524000008;Оказание услуг по адаптации и сопровождению экземпляров справочных правовых систем КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;30.01.2024
№32413228780;Оказание услуг по обновлению, обслуживанию и поддержке 1С7, 1С8 ;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0352300211324000003;Оказание услуг по программному сопровождению (технической поддержке) медицинских информационных систем «Медея и средства автоматизации учета «Прививки» (Реестровый номер 2024.007929);62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0372200134924000002;Оказание услуг по по адаптации и сопровождению экземпляров СПС КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№32413228759;Оказание услуг по передаче права использования программы для ЭВМ «ЛИК:ЭКСПЕРТ»;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0801300012124000004;Оказание услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного сервисного  программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс).;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0855200000524000098;Оказание услуг по сопровождению программного продукта АС «Смета»;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№0862300042024000002;"Оказание услуг по сопровождению и технической поддержке ранее установленного используемого программного продукта ""ГрадИнфо""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;30.01.2024
№0352300074824000008;Оказание услуг по программному сопровождению Модуля «Интеграция» Медицинской информационной системы «Медея» (Реестровый номер 2024.007706);62.02.30.000: Услуги по технической поддержке информационных технологий;30.01.2024
№0345300041224000003;Оказание услуг по техническому обслуживанию и сопровождению программного продукта «УЧЕТ МЕДИКАМЕНТОВ В БОЛЬНИЦАХ» в 2024 году;62.03.1: Услуги по управлению компьютерным оборудованием;12.01.2024
№0340200003324000257;Услуги по технической поддержке информационной системы «Информационная система управления проектами государственного заказчика в сфере строительства»;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0301300092724000002;Оказание услуг по сопровождению и адаптации программного продукта;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0145300006424000021;"Оказание услуг по обслуживанию медицинской информационной системы ГБУЗ ЛО ""Гатчинская КМБ"" на 1 полугодие 2024 года";62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0101300050924000003;Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс, на основе специального лицензионного программного обеспечения,обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем Консультант Плюс на 2024г.-2025г. для нужд Администрация муниципального района Мишкинский район РБ.;62.01.29.000: Оригиналы программного обеспечения прочие;30.01.2024
№0318200015824000001;Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.3: Услуги по технической поддержке информационных технологий;23.01.2024
№0340200003324000258;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Заказчика экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0324300114024000007;"Услуги по технической поддержке информационных технологий для нужд Муниципального казенного учреждения ""Центр обеспечения функционирования образовательных организаций Северодвинска""";62.02.3: Услуги по технической поддержке информационных технологий;30.01.2024
№0806500000224000019;оказание услуг по продлению сертификата прямой технической поддержки уровня расширенный на СКЗИ регионального сегмента защищенной ViPNet сети Министерства просвещения Российской Федерации №837 «Дети России» в сфере ИКТ в соответствии с НПА;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;19.01.2024
№0103100023124000003;Сопровождение справочно-правовых систем;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№32413228585;"Оказание услуг по сопровождению ПП ""1С: Зарплата и управление персоналом 8"" для нужд филиала по Курской области ";62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;30.01.2024
№0372200097424000001;Оказание информационных услуг с использованием экземпляров систем СПС КонсультантПлюс в 2024 году;63.99.10.110: Услуги по поиску информации за вознаграждение или на договорной основе;19.01.2024
№32413226843;Оказание услуг по настройке аппаратуры спутниковой навигации системы спутникового мониторинга транспортных средств;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;30.01.2024
№32413223319;Права на программу для ЭВМ Kasper Endpoins Security for 95 user  Kasper for Mail Server 120 user;62.01: Продукты программные и услуги по разработке и тестированию программного обеспечения;29.01.2024
№0342300007024000003;"Оказание услуг по сопровождению АИС ""ИМЦ: Анализ счетов"" для нужд государственного бюджетного учреждения здравоохранения Самарской области «Сызранская центральная городская и районная больница».";62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0358300191124000006;Продление неисключительных прав использования базы данных справочной системы «Главная медсестра», версия для лечебно-профилактических организаций, Премиальная версия.;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0318300353424000003;Оказание услуг по информационно-технологическому сопровождению системы «1С: Предприятие» на 1 год;62.03.12.130: Услуги по сопровождению компьютерных систем;17.01.2024
№0162300041124000001;"Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс"".";62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413228447;Поставка, адаптация и сопровождение экземпляров Систем КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;30.01.2024
№0318300198124000001;Оказание услуг по поставке сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№32413228420;Оказание услуг по информационно-технической поддержке Автоматизированной билетно-пропускной системы «Лента»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;30.01.2024
№0318300183924000015;"Оказание услуг по сопровождению программного обеспечения автоматизированной системы оперативного управления диспетчерской службой скорой медицинской помощи (АСОУ ДС СМП) для нужд ГБУЗ ""Темрюкская ЦРБ"" МЗ КК";62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем;22.01.2024
№32413228247;Поставка, настройка, обслуживание навигационного оборудования и систем мониторинга объектов.;63.11.1: Услуги по обработке данных, размещению, услуги по предоставлению приложений и прочей инфраструктуры информационных технологий, услуги, связанные с созданием и использованием баз данных и информационных ресурсов;30.01.2024
№0806300011824000001;"Оказание услуг по адаптации и сопровождению экземпляров справочно-правовых систем ""КонсультантПлюс""";62.03.12.130: Услуги по сопровождению компьютерных систем;23.01.2024
№0321200001924000007;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультатнтПлюс ( в т.ч. специальной копии системы), оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие)услуг с ранее установленными у заказчика экземплярами Системы.;62.03.12.130: Услуги по сопровождению компьютерных систем;30.01.2024
№32413225851;Право использования и обновление программного обеспечения;62.01.29.000: Оригиналы программного обеспечения прочие;30.01.2024
№0129200003724000012;Услуги информационных агентств для обеспечения государственных нужд Волгоградской областной Думы;63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям;30.01.2024
№0834600007724000001;Оказание услуг по передаче неисключительных прав на программное обеспечение и предоставлению доступа к консультациям по программному обеспечению;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
