Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413179774;Услуги по информационно-технологическому сопровождению программных продуктов  ;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413178304;Проведение неконкурентной закупки «У единственного источника»«На право заключения договора по сервисному обслуживанию рабочего места пользователя, сервисному обслуживанию периферийного оборудования вычислительной техники, предоставления услуг «облачного» сервиса, предоставления доступа и возможности использования информационных систем, предоставление доступа к системе АЛДОР, предоставление услуг проведения отборов, предоставление доступа к ПО и системе СПАРК для нужд ООО «Теплосеть» на период январь-декабрь 2024 года».;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413179750;Продление подписки программного обеспечения Directum HR Pro;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413178993;Услуга по предоставлению права использования программы для ЭВМ «Автоматизированная - информационная система «ЮРИС» (модуль «Закупки»)» и базы данных «Справочно-правовая система «ЮРИС-закупки» (простая неисключительная лицензия)                                                                   ;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;16.01.2024
№32413179745;Консультационные услуги по сопровождению программ;62.03: Услуги по управлению компьютерным оборудованием;16.01.2024
№32413178535;"Оказание услуг по информационно-техническому сопровождению информационной системы ""Единая карта"" (ИС ЕК)";62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413178857;Поставка, адаптация и сопровождение экземпляров системы КонсультантПлюс;63.99.10: Услуги информационные прочие, не включенные в другие группировки;16.01.2024
№32413178767;Запрос котировок в электронной форме для субъектов малого и среднего предпринимательства на оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс.;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413178041;Оказание услуг по сопровождению и развитию сайта НИИ кардиологии Томского НИМЦ;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413178730;Услуги по созданию веб-приложения «Личный кабинет обучающегося» на базе программного обеспечения «1С:Университет»;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;16.01.2024
№32413179382;Оказание услуг по предоставлению доступа к RTK поправкам;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;16.01.2024
№32413179347;Оказание услуг по формированию, печати и доставке потребителям Заказчика единого платежного документа;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;16.01.2024
№32413178648;Услуга по предоставлению права использования программы для ЭВМ «Автоматизированная - информационная система «ЮРИС» (модуль «Образование»)» и базы данных «Справочно-правовая система «ЮРИС-образование» (простая неисключительная лицензия);63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;16.01.2024
№32413177550;"На оказание услуг по сопровождению, обновлению банков данных и информационному обслуживанию справочно-правовой системы ""Консультант Плюс"".";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;16.01.2024
№32413179278;Оказание информационных услуг с использованием ранее установленных экземпляров системы «ГАРАНТ» (услуги по адаптации и сопровождению);62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413179231;Оказание услуг, связанных с программным продуктом «1С: Единая: метрологическая платформа»;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;16.01.2024
№32413179020;Оказание услуг информационно-технической поддержки Системы мониторинга и управления транспортом;62.02.30: Услуги по технической поддержке информационных технологий;16.01.2024
№32413178980;Комплексное сопровождение программных продуктов 1С;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;16.01.2024
№32413177154;"Поставка, адаптация и сопровождение экземпляров систем КонсультантПлюс для нужд КГУП ""РКС""";62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413177231;Оказание услуг на поставку, адаптацию и сопровождение экземпляров систем КОНСУЛЬТАНТПЛЮС;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413178932;2024/9-61 Предоставление неисключительного права на операционные системы и системы резервного копирования;Сведения включены в описание каждого лота;16.01.2024
№32413178929;Оказание информационных услуг по адаптации и сопровождению экземпляров Системы КонсультантПлюс на период с 01.01.2024г. По 31.12.2024г. для нужд филиала «НТИИМ» ФКП «НИО «ГБИП России»;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413178919;Поставка программного обеспечения;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413178909;оказание услуг по абонентскому обслуживанию программных продуктов 1С;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413178877;Право заключения договора оказания услуг по техническому обслуживанию программы для ЭВМ «Программное обеспечение мониторинга синхронных качаний активной мощности по данным СМПР в режиме реального времени» (СКАМ) (3539392);62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413178812;Комплексное сопровождение программных продуктов 1С;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;16.01.2024
№32413177194;Услуги по адаптации и сопровождению экземпляров справочно-правовой системы;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;16.01.2024
№32413177167;Оказание комплексной услуги по защите автоматизированного рабочего места;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413177056;"оказание услуг по консультационно-методологическому обслуживанию программного продукта системы ""1С: Предприятие""";"62.0: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";16.01.2024
№32413177867;Оказание услуг по абонентскому обслуживанию программ 1С в 1 полугодии 2024 года;62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413178619;"Услуги по сопровождению лабораторной  информационной системы ""Акросс-Клиническая лаборатория"" для нужд АУЗ ВО ""ВОККДЦ"" ";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;16.01.2024
№32413178601;Комплексное сопровождение программных продуктов 1С;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;16.01.2024
№32413178488;2024/9-59 Оказание услуг по сопровождению геоинформационной системы (ActiveMap);62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413178051;Информационное обслуживание программных  продуктов;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;16.01.2024
№32413177624;Услуга по предоставлению права использования программы для ЭВМ «Автоматизированная - информационная система «ЮРИС» (модуль «Закупки»)» и базы данных «Справочно-правовая система «ЮРИС-закупки» (простая неисключительная лицензия).;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;16.01.2024
№32413177101;Оказание услуг по техническому сопровождению автоматизированной информационной системы телефонного обслуживания АО «Водоканал»;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413177100;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413178297;Обеспечение бесперебойной работы, автоматизированной электронной билетной базы программного комплекса для ЭВМ АИС ПБ Поддержка интеграции с программным комплексом ЦОД УПБ для нужд ГЦМСИР;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;16.01.2024
№32413178293;"Услуги по информационному сопровождению  системы "" КонсультантПлюс""";62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413177562;Сопровождение 1С и СЭД;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413177233;№ КЭнК-002-30-24-ЗЦ «Оказание услуг по адаптации и сопровождению экземпляров систем «Консультант Плюс» на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг по адаптации и сопровождению с установленными в ООО «КЭнК»;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;16.01.2024
№32413178226;Оказание услуг по сопровождению единой системы электронного документооборота и делопроизводства (ЕСЭД);62.03.12.130: Услуги по сопровождению компьютерных систем;16.01.2024
№32413178181;Оказание информационно-технологических услуг по поддержке ЕОС НСИ;62.09.20.120: Услуги по установке программного обеспечения;16.01.2024
№32413177472;Услуга по предоставлению права использования программы для ЭВМ «Автоматизированная - информационная система «ЮРИС» (модуль «Закупки»)» и базы данных «Справочно-правовая система «ЮРИС-закупки» (простая неисключительная лицензия).;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;16.01.2024
№32413177745;Услуги по использованию справочно-правовых систем (Гарант) для нужд ООО «ОРЦ» (пролонгация договора № С-3490/ОРЦ/20-071 от 21.08.2020);62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;16.01.2024
№32413178134;Оказание услуг по поставке сертификата технической поддержки ПК «Ampire»;62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413177196;Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;16.01.2024
№32413178027;Предоставление лицензии Dr.Web Desktop Security Suite (АВ) 65 ПК 12 месяцев;62.09.20.120: Услуги по установке программного обеспечения;16.01.2024
№32413177407;Услуга по предоставлению права использования программы для ЭВМ «Автоматизированная - информационная система «ЮРИС» (модуль «Образование»)» и базы данных «Справочно-правовая система «ЮРИС-образование» (простая неисключительная лицензия).;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;16.01.2024
№32413177147;Оказание услуг по предоставлению доступа к справочной системе «Техэксперт: Лаборатория. Инспекция. Сертификация» ;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;16.01.2024
№32413177568;"услуга по предоставлению сертификата на техническую поддержку программного продукта ""ПАРУС-Бюджет 8""";62.02.30.000: Услуги по технической поддержке информационных технологий;16.01.2024
№32413177138;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными в Якутском филиале ФГБУ «Главрыбвод» экземплярами Систем КонсультантПлюс;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;16.01.2024
№32413174902;Услуги по технической поддержке единой системы электронного документооборота;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413174355;"Оказание услуг по адаптации и сопровождения экземпляров справочно-правовой Системы ""КонсультантПлюс""";62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413176791;Оказание информационно-консультационных услуг.;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413176599;информационные услуги;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;15.01.2024
№32413176562;Оказание услуг по актуализации схемы теплоснабжения муниципального образования «город Новоуральск» на 2025 год с отображением результатов в МГеоИС – интерактивной карте жилищно-коммунального хозяйства, с представлением интересов заказчика при проведении публичных слушаний по рассмотрению схемы теплоснабжения;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;15.01.2024
№32413176866;Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение «Автоматизированная информационная система «Государственная итоговая аттестация»;62.01.29.000: Оригиналы программного обеспечения прочие;15.01.2024
№32413176802;Сопровождение программного обеспечения «1С: Бухгалтерия государственного учреждения 8» и «1С:Зарплата и кадры бюджетного учреждения 8»;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413176706;Оказания услуг по оплате за право использовать Сервисы Платформы «Яндекс.Облако»;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;15.01.2024
№32413175147;оказание услуг по внедрению;62.02: Услуги консультативные, связанные с компьютерной техникой;15.01.2024
№32413176627;Оказание услуг поиска, идентификации иностранных компаний (юридических лиц), обработки и предоставления информации об их деятельности и состоянии в форме коммерческих бизнес-справок для нужд АО «РЭП»;63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;15.01.2024
№32413176238;ЗАПРОС КОТИРОВОК В ЭЛЕКТРОННОЙ ФОРМЕ на право заключения договора на оказание услуг по оказанию услуг по техническому обслуживанию, сопровождению и поддержке информационных систем для нужд АО «Калининградская генерирующая компания»;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413176585;Услуги по предоставлению прав на доступ, сопровождение и использование данных СПС КонсультантПлюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;15.01.2024
№32413176516;Сервисное и консультационное обслуживание экономических и лицензионных программ 1С: Бухгалтерия 8 и 1С: Зарплата и кадры, 1С: Предприятие 8 для бюджетных учреждений, 1С: Школьное питание.;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413176511;Оказание услуг по адаптации и сопровождению экземпляров системы Консультант плюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;15.01.2024
№32413173895;Разработка програмного продукта для учета участия в тушении пожаров и расчета начислений заработной платы в разрезе случаев пожаров;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;15.01.2024
№32413176434;Услуги по техническому сопровождению сайта;62.02.30: Услуги по технической поддержке информационных технологий;15.01.2024
№32413176023;Услуга по абонентскому обслуживанию ранее установленного электронного периодического справочника Система Гарант» для нужд ГАУ СО ОК ДЮСАШ «РИФ»»;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413176384;2024/9-65 Предоставление неисключительного права на лицензии Tiles API Яндекс.Карт;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;15.01.2024
№32413176382;оказание компьютерных и информационных услуг - обслуживание компьютерной техники за январь 2024г.;62.09.2: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки;15.01.2024
№32413173233;Поставка сертификатов активации сервиса совместной технической поддержки ПАК ViPNet ;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413176283;выполнение работ по по ежемесячному обслуживанию программного продукта «1С:Предприятие»;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413173706;"информационно-техническое сопровождение медицинской информационной системы для организации рабочего процесса КГБПОУ ""ВБМК"" филиал Артемовская Стоматологическая Поликлиника";62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413176191;Оказание услуг по технической поддержке и обслуживанию модернизированной информационной системы на основе программных продуктов «1С: Предприятие 8» для автоматизации учета финансово-хозяйственной деятельности;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413176180;Оказание услуг по информационно-техническому сопровождению программных продуктов системы «1С: Предприятие 8» для ФГБОУВО «РГУП;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413174690;Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413175733;оказание услуг по предоставлению доступа по сети интернет к ранее установленному СИС «Техэксперт: Базовые нормативные документы. Лаборатория. Инспекция. Сертификация» ;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413175307;Услуга по предоставлению права использования программы для ЭВМ «Автоматизированная - информационная система «ЮРИС» (модуль «Образование»)» и базы данных «Справочно-правовая система «ЮРИС-образование» (простая неисключительная лицензия).;63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;15.01.2024
№32413175305;Работы по разработке мобильного приложения ОКФЦ-72;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;15.01.2024
№32413176108;Оказание услуг по информационному сопровождению программ системы «1С», а также связанные с сопровождением консультационные услуги.;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413175240;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413176059;2024/9-63 Оказание услуг по сопровождению комплекса GridСomBPM;62.02.30.000: Услуги по технической поддержке информационных технологий;15.01.2024
№32413176024;Оказание услуг, связанных с использованием  программного продукта «ПАРУС»;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;15.01.2024
№32413175987;Оказание услуг по технической поддержке программного обеспечения GeoRitm;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;15.01.2024
№32413175145;Услуги по разработке цифровых сервисов медицинского учреждения и технической поддержки чат-ботов;63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;15.01.2024
№32413175980;Сопровождение 1С;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413175967;"Закупка у единственного поставщика на заключение договора возмездного оказания информационных услуг по сопровождению программных продуктов ""1С: Предприятие"" с января по июнь 2024 г.";62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
№32413175946;    Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы).;62.03.12.130: Услуги по сопровождению компьютерных систем;15.01.2024
