Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№32110995525;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;7009-05G-К-Y05-00313-2022 «Поставка сертификатов технической поддержки оборудования Cisco»;;;1;7009-05G-К-Y05-00313-2022 «Поставка сертификатов технической поддержки оборудования Cisco»;318747.68;RUB;;;;;62.02.30: Услуги по технической поддержке информационных технологий;62.02.30: Услуги по технической поддержке информационных технологий;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСНЕФТЬ НАДЗОР""";;27.12.2021;24.01.2022;Работа комиссии;;27.12.2021;31.01.2022;
223-ФЗ;№32211044625;Закупка у единственного поставщика (подрядчика, исполнителя);Оказание информационно-консультационных услуг по абонементному обслуживанию программных средств (ПС) для автоматизации управленческой деятельности на предприятии ПС  «1С:Предприятие»;;;1;Оказание информационно-консультационных услуг по абонементному обслуживанию программных средств (ПС) для автоматизации управленческой деятельности на предприятии ПС  «1С:Предприятие»;40000.00;RUB;;;;;62.03.12: Услуги по управлению компьютерными системами;62.03.12: Услуги по управлению компьютерными системами;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ РОСТОВСКОЙ ОБЛАСТИ ""РЕГИОНАЛЬНЫЙ ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР""";;18.01.2022;18.01.2022;Работа комиссии;;18.01.2022;;
223-ФЗ;№32211044605;Закупка у единственного поставщика (подрядчика, исполнителя);Оказание услуг по абонементному информационно-технологическому сопровождению программных продуктов системы «1С: Предприятие»;;;1;Услуги по абонементному информационно-технологическому сопровождению программных продуктов системы «1С:Предприятие»;33816.00;RUB;;;;;62.03.12: Услуги по управлению компьютерными системами;62.03.12: Услуги по управлению компьютерными системами;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ РОСТОВСКОЙ ОБЛАСТИ ""РЕГИОНАЛЬНЫЙ ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР""";;18.01.2022;18.01.2022;Работа комиссии;;18.01.2022;;
44-ФЗ;№0173200001421002127;Закрытый аукцион;"Оказание услуг по комплексному сопровождению и техническому обслуживанию ГАИС ""Сфера""";;'212770203815077020100106180010000000';;;538737268.26;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ОРДЕНА ЛЕНИНА И ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ МЕТРОПОЛИТЕН ИМЕНИ В.И.ЛЕНИНА""";ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ;24.12.2021;18.01.2022;Подача заявок;;24.12.2021;31.01.2022;
44-ФЗ;№0173200001421002129;Закрытый аукцион;Оказание услуг по комплексному сопровождению и техническому обслуживанию модулей, обеспечивающих управление проходами и подготовку идентификационных данных для осуществления транзакций;;'212770203815077020100114810010000000';;;99452501.96;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ОРДЕНА ЛЕНИНА И ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ МЕТРОПОЛИТЕН ИМЕНИ В.И.ЛЕНИНА""";ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ;24.12.2021;18.01.2022;Подача заявок;;24.12.2021;31.01.2022;
223-ФЗ;№32211037578;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Услуги по сопровождению 1С;;;1;Услуги по сопровождению 1С;150000.00;RUB;;;;;62.03: Услуги по управлению компьютерным оборудованием;62.03: Услуги по управлению компьютерным оборудованием;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЛЕЧЕБНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ""ИЗУМРУД""";;17.01.2022;17.01.2022;Работа комиссии;;17.01.2022;25.01.2022;
223-ФЗ;№32211033305;Прочие;1200-B05-К-Y05-01404-2022 «Услуги технического сопровождения программного обеспечения TDMS»;;;1;1200-B05-К-Y05-01404-2022 «Услуги технического сопровождения программного обеспечения TDMS»;500252.76;RUB;;;;;62.09.2: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки;62.09.2: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ - ПРИКАМЬЕ""";;14.01.2022;14.01.2022;Работа комиссии;;14.01.2022;04.02.2022;
223-ФЗ;№32211030298;Закупка у единственного поставщика (подрядчика, исполнителя);Закупка у единственного поставщика;;;1;Оказание услуг по информационному сопровождению установленных экземпляров информационно-справочной системы «Техэксперт»;370000.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"АВТОНОМНОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННАЯ ЭКСПЕРТИЗА ПРОЕКТОВ ДОКУМЕНТОВ ТЕРРИТОРИАЛЬНОГО ПЛАНИРОВАНИЯ, ПРОЕКТНОЙ ДОКУМЕНТАЦИИ И РЕЗУЛЬТАТОВ ИНЖЕНЕРНЫХ ИЗЫСКАНИЙ""";;13.01.2022;13.01.2022;Работа комиссии;;13.01.2022;;
223-ФЗ;№32211025321;Прочие;"Оказание услуг по сопровождении АСОП ""Удобный Маршрут""";;;1;"Оказание услуг по сопровождении АСОП ""Удобный Маршрут""";975568.00;RUB;;;;;63: Услуги в области информационных технологий;63: Услуги в области информационных технологий;"МУНИЦИПАЛЬНОЕ ПРЕДПРИЯТИЕ ГОРОДА ОМСКА ""ПАССАЖИРСЕРВИС""";;12.01.2022;12.01.2022;Работа комиссии;;12.01.2022;20.01.2022;
223-ФЗ;№32111015295;Прочие;Установка компьютерной сети;;;1;Установка компьютерной сети;139794.00;RUB;;;;;62.03.11: Услуги по управлению сетями;62.03.11: Услуги по управлению сетями;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ  - СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ  ШКОЛА С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ № 148;;30.12.2021;31.12.2021;Работа комиссии;;30.12.2021;28.12.2021;
223-ФЗ;№32111014951;Конкурс в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Оказание услуг по разработке, адаптации и модификации программного обеспечения МПГУ в 2022 году;;;1;Оказание услуг по разработке, адаптации и модификации программного обеспечения МПГУ в 2022 году;9498000.00;RUB;;;;;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ПЕДАГОГИЧЕСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""";;30.12.2021;30.12.2021;Работа комиссии;;30.12.2021;10.01.2022;
44-ФЗ;№0318200050221000020;Электронный аукцион;Поставка услуги по информационному обнавлению и соправождению программного продукта;;'212235203617923520100100330036203244';;;111595.05;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ТЕМРЮКСКАЯ ЦЕНТРАЛИЗОВАННАЯ БУХГАЛТЕРИЯ УЧРЕЖДЕНИЙ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ТЕМРЮКСКАЯ ЦЕНТРАЛИЗОВАННАЯ БУХГАЛТЕРИЯ УЧРЕЖДЕНИЙ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ""";21.12.2021;30.12.2021;Работа комиссии;;21.12.2021;29.12.2021;
44-ФЗ;№0173200001421002216;Закрытый конкурс;Оказание услуг по технической поддержке, эксплуатационно-техническому обслуживанию структурированных кабельных систем и кабельных распределительных сетей телевидения;;'212771087800077030100102810010000244';;;15650555.44;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;ДЕПАРТАМЕНТ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ ГОРОДА МОСКВЫ;ДЕПАРТАМЕНТ ГОРОДА МОСКВЫ ПО КОНКУРЕНТНОЙ ПОЛИТИКЕ;30.12.2021;30.12.2021;Подача заявок;;30.12.2021;31.01.2022;
44-ФЗ;№0362100041321000094;Закрытый аукцион;Предоставление права использования и услуг абонентского обслуживания системы «Контур.Экстерн» для нужд федерального казенного учреждения «Управление финансового обеспечения Министерства обороны Российской Федерации по Центральному военному округу» в 2022 году;;'211667232858766850100101000016202242';;;278147.34;RUB;;;;;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФИНАНСОВОГО ОБЕСПЕЧЕНИЯ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ЦЕНТРАЛЬНОМУ ВОЕННОМУ ОКРУГУ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФИНАНСОВОГО ОБЕСПЕЧЕНИЯ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ЦЕНТРАЛЬНОМУ ВОЕННОМУ ОКРУГУ""";30.12.2021;30.12.2021;Подача заявок;;30.12.2021;13.01.2022;
223-ФЗ;№32111006518;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Право заключения договора на Предоставление неисключительного права пользования и оказание услуг технической поддержки программного обеспечения для управления информацией (Dassault Systemes) для нужд АО «Атомэнергопроект» (лот №867ИТ/А-021 / АЭП_ПО_116);;;1;Право заключения договора на Предоставление неисключительного права пользования и оказание услуг технической поддержки программного обеспечения для управления информацией (Dassault Systemes) для нужд АО «Атомэнергопроект» (лот №867ИТ/А-021 / АЭП_ПО_116);31078517.40;RUB;;;;;"62.01.29.000: Оригиналы программного обеспечения прочие; 62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки";"62.01.29.000: Оригиналы программного обеспечения прочие; 62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМЭНЕРГОПРОЕКТ""";;29.12.2021;29.12.2021;Работа комиссии;;29.12.2021;14.01.2022;
223-ФЗ;№32110997362;Прочие;"Выполнение работ по монтажу систем автоматической пожарной сигнализации оповещения и управления эвакуацией людей при пожаре на объекте ООО ""Водоканал"" по адресу: г. Чапаевск, ул. Кооперативная, 3.";;;1;"Выполнение работ по монтажу систем автоматической пожарной сигнализации оповещения и управления эвакуацией людей при пожаре на объекте ООО ""Водоканал"" по адресу: г. Чапаевск, ул. Кооперативная, 3.";1477178.11;RUB;;;;;"62: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ""ВОДОКАНАЛ""";;28.12.2021;28.12.2021;Работа комиссии;;28.12.2021;;
44-ФЗ;№0321100030321000349;Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ;Оказание услуг по подготовке и передаче обновлений, оказанию консультационных услуг на программный продукт «Система управления номерным фондом» в 2022 году ;;'211262801765926280100100250016202242';;;127286.17;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ ""ЖЕМЧУЖИНА КАВКАЗА""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ ""ЖЕМЧУЖИНА КАВКАЗА""";27.12.2021;27.12.2021;Подача заявок;;;13.01.2022;
44-ФЗ;№0321100030321000348;Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ;Оказание услуг по подготовке и передаче обновлений, оказанию консультационных услуг на программный продукт «Санаториум» в 2022 году ;;'211262801765926280100100250026202242';;;947206.37;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ ""ЖЕМЧУЖИНА КАВКАЗА""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ ""ЖЕМЧУЖИНА КАВКАЗА""";27.12.2021;27.12.2021;Подача заявок;;;13.01.2022;
44-ФЗ;№0342100039621000005;Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ;"Услуги по информационному сопровождению установленного комплекта справочной правовой системы ""Система Гарант""";;'211631700808863170100100090016203242';;;440088.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФИНАНСОВОГО ОБЕСПЕЧЕНИЯ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО САМАРСКОЙ ОБЛАСТИ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ФИНАНСОВОГО ОБЕСПЕЧЕНИЯ МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО САМАРСКОЙ ОБЛАСТИ""";27.12.2021;27.12.2021;Подача заявок;Субъектам малого предпринимательства, социально ориентированным некоммерческим организациям;;12.01.2022;
223-ФЗ;№32110988830;Прочие;Приобретение прав пользования программным обеспечением SAP и оказание услуг по сопровождению программного обеспечения SAP.;;;1;Приобретение прав пользования программным обеспечением SAP и оказание услуг по сопровождению программного обеспечения SAP.;772694874.90;RUB;;;;;"62.02.30: Услуги по технической поддержке информационных технологий; 46.51.10.120: Услуги по оптовой торговле программным обеспечением";"62.02.30: Услуги по технической поддержке информационных технологий; 46.51.10.120: Услуги по оптовой торговле программным обеспечением";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМНЫЙ ЭНЕРГОПРОМЫШЛЕННЫЙ КОМПЛЕКС""";;24.12.2021;24.12.2021;Работа комиссии;;24.12.2021;;
44-ФЗ;№0862100000221000268;Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ;Оказание услуг по технической поддержке информационных технологий по сопровождению комплектов электронного периодического справочника Система Гарант», ранее установленных и используемых федеральным казенным учреждением Объединенное стратегическое командование Центрального военного округа», для нужд федерального казенного учреждения Объединенное стратегическое командование Центрального военного округа в 2022 году.;;'211667033496266700100102780026202242';;;2507592.48;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННОЕ СТРАТЕГИЧЕСКОЕ КОМАНДОВАНИЕ ЦЕНТРАЛЬНОГО ВОЕННОГО ОКРУГА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННОЕ СТРАТЕГИЧЕСКОЕ КОМАНДОВАНИЕ ЦЕНТРАЛЬНОГО ВОЕННОГО ОКРУГА""";23.12.2021;23.12.2021;Подача заявок;;;12.01.2022;
44-ФЗ;№0373100026121000153;Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ;Оказание услуг по сервисному сопровождению и обновлению комплексной автоматизированной системы управления финансово-хозяйственной деятельностью на базе программного продукта Парус-Бюджет 10;;'211773114970777310100101470016203242';;;574231.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОЛИКЛИНИКА № 6""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ПОЛИКЛИНИКА № 6""";23.12.2021;23.12.2021;Подача заявок;;;10.01.2022;
223-ФЗ;№32110974600;Прочие;Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс;;;1;Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс;326338.08;RUB;;;;;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙБЫТСЕРВИС""";;22.12.2021;22.12.2021;Работа комиссии;;22.12.2021;22.12.2021;
44-ФЗ;№0348100080021000177;Закрытый аукцион с учетом положений ст. 111 Закона № 44-ФЗ;Выполнение работ по техническому обслуживанию автоматизированной информационно-измерительной системы коммерческого учета электроэнергии;;'211502802007750280100100370016209244';;;152750.00;RUB;;;;;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ-ПРОФИЛАКТОРИЙ ""ПОРЕЧЬЕ"" СЛУЖБЫ ВНЕШНЕЙ РАЗВЕДКИ РОССИЙСКОЙ ФЕДЕРАЦИИ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ-ПРОФИЛАКТОРИЙ ""ПОРЕЧЬЕ"" СЛУЖБЫ ВНЕШНЕЙ РАЗВЕДКИ РОССИЙСКОЙ ФЕДЕРАЦИИ""";20.12.2021;20.12.2021;Подача заявок;;;29.12.2021;
