sentiment,Классификация по ОКПД2_x,Наименование закупки_x,Реестровый номер закупки,Закупки по,Дата размещения
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"""Оказание услуги по содержанию и эксплуатации программно-аппаратного комплекса автоматизированной системы управления наружным освещением (далее – АСУНО) «Кулон» на действующей сети автомобильных дорог общего пользования федерального значения."" (лот 121)",№0348100042423000091,44-ФЗ,08.09.2023
Не подходит,62.03.1: Услуги по управлению компьютерным оборудованием,(0870-р) Услуги по передаче неисключительных прав на модули,№0163200000323005205,44-ФЗ,09.08.2023
Скорее нет,62.03.1: Услуги по управлению компьютерным оборудованием,(0985-р) Услуги по сопровождению программного продукта,№0163200000323005360,44-ФЗ,16.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"(1161-р) Оказание услуг по техническому сопровождению региональной централизованной системы «Управление скорой и неотложной медицинской помощью (в том числе, санитарной авиацией)»",№0163200000323006181,44-ФЗ,25.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"«Оказание услуг по передаче неисключительных (пользовательских) лицензионных прав, сопровождению и технической поддержке программного обеспечения «Парус-Бюджет 8»»",№0301300247623000790,44-ФЗ,05.09.2023
Не подходит,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,"«ОКАЗАНИЕ УСЛУГ ПО ПЕРЕДАЧЕ СРОЧНЫХ НЕИСКЛЮЧИТЕЛЬНЫХ ЛИЦЕНЗИОННЫХ ПРАВ НА ПО «ЭКОНОМ-ЭКСПЕРТ. ДОГОВОРЫ"", ""ЭКОНОМ-ЭКСПЕРТ. ОНЛАЙН +РАСЧЁТ НМЦК ДЛЯ ЛЕКАРСТВЕННЫХ ПРЕПАРАТОВ, 6 РАБОЧИХ МЕСТ, 1 ЗАКАЗЧИК + СОПРОВОЖДЕНИЕ»",№0371500000723000257,44-ФЗ,22.08.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,«Оказание услуг по подписке 1С» для субъектов малого и среднего предпринимательства,№32312762637,223-ФЗ,14.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,«Услуга по сопровождению и консультационной поддержке АИС «Имущество» в городском округе город Уфа Республики Башкортостан»,№0301300247623000803,44-ФЗ,06.09.2023
Скорее нет,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,"1. Оказание услуг по сопровождению автоматизированной системы «Адресная социальная помощь» и интегрируемых программных комплексов «Интеграция АС «АСП», с целью интеграции с «региональным порталом государственных и муниципальных услуг» и с «системой межведомственного электронного взаимодействия»: 1.1 предоставление права на использование программного обеспечения АСУПД «Тула» (регистрационный номер в ЕРРПО № 5251 от 29.04.2016, Свидетельство о государственной регистрации № 2014610425 от 09.01.2014) включая обновления и дополнительные функциональные возможности программного обеспечения, на условиях предоставления простой (неисключительной) лицензии; 1.2 предоставление права на использование программного обеспечения Автоматизированной системы «Точка интеграции со СМЭВ и ПГУ» (регистрационный номер в ЕРРПО № 15795 от 05.12.2022) включая обновления и дополнительные функциональные возможности программного обеспечения, на условиях предоставления простой (неисключительной) лицензии.",№0154200000723000709,44-ФЗ,31.08.2023
Скорее да,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",101-2023 Оказание услуг по техническому сопровождению регионального сегмента единой государственной информационной системы в сфере здравоохранения Кабардино-Балкарской Республики,№0304200002723000098,44-ФЗ,01.08.2023
Скорее да,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки",1117-р Оказание услуги по миграции автоматизированной информационной системы организации процесса выдачи специальных разрешений на движение крупногабаритных и (или) тяжеловесных транспортных средств по автомобильным дорогам общего пользования регионального и межмуниципального значения Смоленской области на сервер автоматизированной системы весового и габаритного контроля на дорогах регионального и межмуниципального значения Смоленской области,№0163200000323005871,44-ФЗ,13.09.2023
Не подходит,62.02.1: Услуги консультативные по компьютерному оборудованию,"1127-р Услуги по техническому освидетельствованию в целях списания компьютерной техники, оргтехники, и прочей техники",№0163200000323006014,44-ФЗ,18.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",13_Оказание услуг по информационно-техническому сопровождению программы «1С: Предприятие» уровня ИТС Бюджет ПРОФ для нужд Лениногорского филиала КНИТУ-КАИ ,№32312675586,223-ФЗ,15.08.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",14_Оказание услуг в области информационных технологий по продлению неисключительных (пользовательских) лицензионных прав электронной базы данных «Госфинансы»,№32312735782,223-ФЗ,05.09.2023
Скорее нет,62.02.30.000: Услуги по технической поддержке информационных технологий,"2023/244/226 Закупка услуг (услуги по программированию системы пульта контроля и управления охранно-пожарный ""С2000М"" Болид, созданию новых сценариев для исполнительных устройств, программирование релейных выходов, разделов и групп разделов, отрисовка приборов в АРМ «Орион» и комплексная проверка работоспособности систем автоматической пожарной сигнализации (АПС), системы оповещения и управления эвакуацией людей при пожаре (СОУЭ), системы противодымной вентиляции в ФГБНУ НИИР им. В.А. Насоновой)",№0373100023823000266,44-ФЗ,25.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,2023/244/226 Закупка услуг по развитию МИС Интерин ,№0373100023823000282,44-ФЗ,12.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,2023/9-68 Оказание услуг по сопровождению автоматизированной системы «Управление и мониторинг электрозарядными станциями»,№32312649597,223-ФЗ,07.08.2023
Не подходит,Сведения включены в описание каждого лота,"2023/9-71 Предоставление неисключительного права на лицензии и сертификаты ViPNet, UserGate",№32312711095,223-ФЗ,28.08.2023
,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,2023/9-73 Предоставление неисключительного права на лицензии Пирамида 2.0.,№32312801162,223-ФЗ,27.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"2023-09879 = Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс  на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами Систем КонсультантПлюс",№0131200001023009304,44-ФЗ,29.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,2023-10039 = Оказание услуг по информационному сопровождению систем «КонсультантПлюс»,№0131200001023009303,44-ФЗ,29.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,2023-10043 = Оказание информационных услуг по сопровождению и обновлению ранее установленных  у заказчика версий электронного периодического справочника «Система ГАРАНТ»,№0131200001023009048,44-ФЗ,22.08.2023
Подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,2023-10152/Оказание услуг по техническому сопровождению и обеспечению функционирования государственной информационной системы Воронежской области «Региональная система управления данными»,№0131200001023009733,44-ФЗ,11.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,2023-10395 = Оказание услуг по информационно-техническому сопровождению программы «1С Бухгалтерия государственного учреждения 2.0»,№0131200001023009584,44-ФЗ,06.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,2023-10657 Оказание услуг по предоставлению сертификатов на полную техническую поддержку ПО TrueConf,№0131200001023009864,44-ФЗ,13.09.2023
Скорее да,62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем,2023-10684 Выполнение работ по развитию (модернизации) функционала информационно-поисковой системы цифрового фонда пользования на документы архивного фонда Воронежской области: создание подсистемы платных архивных услуг,№0131200001023009863,44-ФЗ,13.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,2023-11200 = Оказание услуг по адаптации и сопровождению комплекта СПС КонсультантПлюс в 2024 году,№0131200001023010668,44-ФЗ,26.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,2023-11204 = Оказание услуг по передаче неисключительных лицензионных прав на использование антивирусного программного обеспечения,№0131200001023010362,44-ФЗ,21.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"2023-11341 = Оказание услуг по обслуживанию програмного обеспечения ""1С:Бухгалтерия 8 ПРОФ"" и ""1С: Зарплата и управление персоналом""",№0131200001023010666,44-ФЗ,26.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"2023-11421 = Оказание услуг по сопровождению информационной базы на платформе «1С: Предприятие 8.3» (конфигурации «Зарплата и кадры государственного учреждения (ред. 3.1)», «Бухгалтерия государственного учреждения (ред. 2)», «Больничная аптека (ред. 2»)",№0131200001023011001,44-ФЗ,29.09.2023
,62.02.30.000: Услуги по технической поддержке информационных технологий,2023-11427 = Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс,№0131200001023011000,44-ФЗ,29.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"2023-11586 = Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Государственного Заказчика экземплярами Систем КонсультантПлюс",№0131200001023010998,44-ФЗ,29.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"2023-11587 = Услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) услуг с ранее установленными у Государственного Заказчика экземплярами систем КонсультантПлюс",№0131200001023010997,44-ФЗ,29.09.2023
Подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,2023-11791_Выполнение работ по развитию государственной информационной системы «Система гарантированного информационного обмена органов государственной власти и органов местного самоуправления Воронежской области»,№0131200001023010863,44-ФЗ,28.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,2024/9-10 Оказание услуг по сопровождению ИАС Контрагент,№32312696049,223-ФЗ,22.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,2024/9-11 Оказание услуг по сопровождению справочников и услуг по сопровождению Системы управления мастер данными 1С МДМ,№32312687970,223-ФЗ,18.08.2023
,Сведения включены в описание каждого лота,2024/9-12 Предоставление квалифицированных сертификатов электронной подписи и права на использование корпоративного центра регистрации (удостоверяющего центра),№32312685812,223-ФЗ,18.08.2023
Не подходит,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,"2024/9-13 Предоставление права использования: ФСС ""Система Финансовый директор"", КСС ""Система Кадры"", ЭС ""Госзаказ"", ЭС ""Охрана труда"", ЮСС ""Система Юрист"",ЭС ""Промбезопасность""",№32312710932,223-ФЗ,28.08.2023
Затрудняюсь,62.02.30.000: Услуги по технической поддержке информационных технологий,2024/9-14 Оказание услуг по мониторингу и реагированию на инциденты информационной безопасности для АО «Сетевая компания»,№32312737238,223-ФЗ,05.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,2024/9-8 Оказание услуг по сопровождению ПО: Автоматизированная система учёта ресурсов (АСУР) электрической сети на базе программного продукта GE Smallworld Electric Office,№32312663341,223-ФЗ,10.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,2024/9-9 Оказание услуг по сопровождению ПК Энергобилинг,№32312696045,223-ФЗ,22.08.2023
Затрудняюсь,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие,208165_Выполнение работ по приведению системы обработки пакета документов для подготовки иска к сетевой организации в соответствие Методике МТ-259-1 АО «Мосэнергосбыт»  ,№32312642540,223-ФЗ,03.08.2023
Подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,208437_«Оказание услуги по доработке и технической поддержке корпоративного сайта» ООО «МосОблЕИРЦ»  ,№32312752577,223-ФЗ,11.09.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",208471_«Покопийное обслуживание МФУ и принтеров для нужд АО «ТГК-11»»,№32312751057,223-ФЗ,11.09.2023
Не подходит,62.09.20.120: Услуги по установке программного обеспечения,208540_ОЗП_Сервисное обслуживание ЭГСР ТА-3 СП ТЭЦ-3 для нужд АО «ТГК-11»,№32312774347,223-ФЗ,19.09.2023
Не подходит,62.09.20.120: Услуги по установке программного обеспечения,208541_ОЗП_Сервисное обслуживание ЭГСР ТА-10 СП ТЭЦ-3 для нужд АО «ТГК-11»,№32312772417,223-ФЗ,18.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,208588_Оказание информационных услуг по сопровождению системы Консультант плюс для нужд ООО «Северная сбытовая компания»,№32312789712,223-ФЗ,22.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,208666_Техническое обслуживание технологического видеонаблюдения для Пермской ГРЭС,№32312806359,223-ФЗ,28.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,23-101607 Передача неисключительных прав на использование программного средства антивирусной защиты,№0169300000123001208,44-ФЗ,10.08.2023
Затрудняюсь,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",23-101943 оказание услуг по доработке и технической поддержке  модулей «Архивный отдел» и «Реестр выдачи ордеров на производство земляных работ» для нужд Администрации города Челябинска,№0169300000123001397,44-ФЗ,18.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"23Т0410050.0013. Оказание услуг по поддержанию работоспособности и аварийному восстановлению оборудования цифровых АТС (АУ, СЭС, ЦЭС) для нужд Мурманского филиала ПАО «Россети Северо-Запад»",№32312774550,223-ФЗ,19.09.2023
Не подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,265-ПЗЕИ/2023 Оказание услуг информационно- технологического сопровождения программного продукта «ИБР: Управление технологическими присоединениями 10»,№32312751060,223-ФЗ,11.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,311/2023 Оказание услуг по настройке и квалификации сервера Openlab для нужд ФГБУ «НЦЭСМП» Минздрава России,№0373100093223000281,44-ФЗ,25.09.2023
Не подходит,62.09.20.120: Услуги по установке программного обеспечения,33/2023-ЕП Оказание услуг по настройке и внедрению программно-аппаратного комплекса UserGate C150 ,№32312641390,223-ФЗ,03.08.2023
Скорее нет,62.02.30.000: Услуги по технической поддержке информационных технологий,"349-150  Оказание услуг по передаче прав лицензий и оказание услуг по сопровождению и развитию медицинской информационной системы ""Медиалог"" для нужд НГФ ФГБУ ""ГНЦДК"" Минздрава России",№32312711354,223-ФЗ,28.08.2023
Подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"№ 101 Оказание услуг по сопровождению Государственной информационной системы Удмуртской Республики «Управление финансово-экономической деятельностью государственных органов Удмуртской Республики, органов местного самоуправления в Удмуртской Республике и подведомственных им учреждений» для нужд автономного учреждения «Центр цифровых технологий Удмуртской Республики»",№32312727488,223-ФЗ,01.09.2023
Подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,№ 102 Оказание услуг по сопровождению Государственной информационной системы «Автоматизированная информационная система управления бюджетным процессом Удмуртской Республики» для нужд автономного учреждения «Центр цифровых технологий Удмуртской Республики»,№32312727246,223-ФЗ,01.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"№ 103/24/25-КБ на оказание услуг связи по предоставлению доступа к сети передачи данных и использованию линий связи, передачу данных по каналам связи для нужд филиала ФГБУ ФСНКЦ  ФМБА России КБ № 42",№0319100004923000521,44-ФЗ,11.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"№ 104/24/25-КБ на оказание услуг по информационному сопровождению Системы КонсультантПлюс, эксплуатируемой филиалом ФГБУ ФСНКЦ  ФМБА России КБ № 42",№0319100004923000522,44-ФЗ,11.08.2023
Не подходит,"62.09.20: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки","№ 15 Услуги по передаче неисключительных прав на установку и использование операционной системы специального назначения ""Astra Linux Special Edition"" для нужд АПОУ УР ""ТРИТ ИМ. А.В. ВОСКРЕСЕНСКОГО""",№32312654429,223-ФЗ,08.08.2023
Скорее нет,62.09.10.000: Услуги по установке компьютеров и периферийного оборудования,№ 23 - ЭА 2 - 625: работы по модернизации сети передачи данных для обеспечения бесперебойного функционирования подсистем государственной информационной системы в сфере здравоохранения Липецкой области «Региональный сегмент единой государственной информационной системы в сфере здравоохранения»,№0846500000623000613,44-ФЗ,22.09.2023
Скорее нет,62.09.10.000: Услуги по установке компьютеров и периферийного оборудования,"№ 23 – ЭА 2 – 626: работы по модернизации защищенной сети передачи данных значимого объекта критической информационной инфраструктуры – государственная информационная система в сфере здравоохранения Липецкой области «Региональный сегмент единой государственной информационной системы в сфере здравоохранения», включая выполнение работ по предотвращению влияния внешних воздействий на функционирование защищенной сети",№0846500000623000615,44-ФЗ,27.09.2023
Скорее да,62.03.12.130: Услуги по сопровождению компьютерных систем,№ 23 - ЭА 2 - 640: услуги по сопровождению прикладного программного обеспечения информационной системы «Электронный детский сад»,№0846500000623000622,44-ФЗ,29.09.2023
Скорее да,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,"№ 23 – ЭК 2 – 562: работы по модификации государственной информационной системы обеспечения градостроительной деятельности с функциями автоматизированной информационно-аналитической поддержки осуществления полномочий в области градостроительной деятельности и адаптированными возможностями региональной геоинформационной системы Липецкой области в части второй очереди интеграции с ГИСОГД РФ, расширения функциональности геоинформационной подсистемы и интеграции с ФГИС «Единая цифровая платформа «Национальная система пространственных данных» (6 этап)",№0846500000623000553,44-ФЗ,14.08.2023
Скорее нет,62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем,"№ 23 - ЭК 2 - 565: работы по созданию и внедрению интеграционной платформы (единой платформы управления транспортной системой), а также подсистемы светофорного управления и подсистемы мониторинга параметров транспортных потоков интеллектуальной транспортной системы Липецкой городской агломерации",№0846500000623000566,44-ФЗ,18.08.2023
Скорее да,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,№ 23-ЭА-101 Работы по адаптации автоматизированной информационной системы ОБУ «УМФЦ Липецкой области» для предоставления услуг Социального фонда Российской Федерации,№0346200018523000101,44-ФЗ,03.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,№ 23-ЭА-107 Услуги по предоставлению сертификата технической поддержки системы управления базами данных Postgres Pro Certified,№0346200018523000107,44-ФЗ,12.09.2023
Подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,№ 23-ЭА-108 Работы по адаптации автоматизированной информационной системы ОБУ «УМФЦ Липецкой области» для предоставления услуг Социального фонда Российской Федерации,№0346200018523000108,44-ФЗ,15.09.2023
Подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,№ 23-ЭА-109 Работы по развитию автоматизированной информационной системы многофункциональных центров предоставления государственных и муниципальных услуг Липецкой области,№0346200018523000109,44-ФЗ,15.09.2023
Подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,№ 23-ЭА-83 Работы по адаптации автоматизированной информационной системы многофункциональных центров предоставления государственных и муниципальных услуг Липецкой области для ОБУ «УМФЦ Липецкой области»,№0346200018523000083,44-ФЗ,03.08.2023
Подходит,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,№ 23-ЭА-85 Работы по модернизации автоматизированной информационной системы многофункциональных центров предоставления государственных и муниципальных услуг Липецкой области,№0346200018523000085,44-ФЗ,03.08.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,№ 2446-аэф//т Поставка программного обеспечения - системы виртуализации «РЕД Виртуализация» и предоставление неисключительных (пользовательских) прав на её использование,№0163200000323005735,44-ФЗ,07.09.2023
Подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,№ 48-ЭА-23: услуги по усовершенствованию региональной информационной системы «Электронная школа»,№0146200000123000048,44-ФЗ,21.08.2023
Подходит,62.03.12.130: Услуги по сопровождению компьютерных систем,"№ 91 Оказание услуг по обеспечению функционирования платформы государственной информационной системы Удмуртской Республики «Единая система, обеспечивающая межведомственное электронное взаимодействие в Удмуртской Республике» и платформы информационной системы Удмуртской Республики «Система электронного документооборота государственных учреждений в Удмуртской Республике» для нужд автономного учреждения «Центр цифровых технологий Удмуртской Республики»",№32312785121,223-ФЗ,21.09.2023
